CFIHOS unique code,UNECE code,unit of measure name,unit of measure symbol,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,unit of measure dimension name,measurement system code CFIHOS unique code,measurement system code,unit of measure synonym name
CFIHOS-65000612,P24,kilohenry,kH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000613,C14,millihenry,mH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000614,,megahenry,MH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000615,C43,nanohenry,nH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000616,,terahenry,TH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000617,B90,microhenry,uH,CFIHOS-45000103,INDUCT,inductance,CFIHOS-60001649,SI,
CFIHOS-65000618,,centiohm,cohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000619,,deciohm,dohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000620,,exaohm,Eohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000621,,femtoohm,fohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000622,A87,gigaohm,Gohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000623,,kilohm,kohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000624,E45,milliohm,mohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000625,,megohm,Mohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000626,P22,nanoohm,nohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000627,,picoohm,pohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000628,H44,teraohm,Tohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000629,B94,microohm,uohm,CFIHOS-45000020,RESIST,resistance,CFIHOS-60001649,SI,
CFIHOS-65000630,WEB,weber,Wb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000631,,centiweber,cWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000632,,deciweber,dWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000633,,exaweber,EWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000634,,femtoweber,fWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000635,,gigaweber,GWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000636,P11,kiloweber,kWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000637,C33,milliweber,mWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000638,,megaweber,MWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000639,,nanoweber,nWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000640,,picoweber,pWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000641,,teraweber,TWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000642,,microweber,uWb,CFIHOS-45000119,MAGFLX,magnetic flux,CFIHOS-60001649,SI,
CFIHOS-65000643,,centivolt,cV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000644,,decivolt,dV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000645,,femtovolt,fV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000646,,gigavolt,GV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000647,2Z,millivolt,mV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000648,B78,megavolt,MV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000649,,nanovolt,nV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000650,N99,picovolt,pV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000651,,teravolt,TV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000652,D82,microvolt,uV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,CFIHOS-60001649,SI,
CFIHOS-65000653,,joule per gram-mole,J/mol,CFIHOS-45000089,ENPMOL,molar energy,CFIHOS-60001649,SI,
CFIHOS-65000654,,BTU per pound-mass-mole,Btu[IT]/lbmol,CFIHOS-45000089,ENPMOL,molar energy,,,
CFIHOS-65000655,,thousand calorie per gram-mole,kcal[th]/mol,CFIHOS-45000089,ENPMOL,molar energy,,,
CFIHOS-65000656,,kilojoule per kilogram-mole,kJ/kmol,CFIHOS-45000089,ENPMOL,molar energy,CFIHOS-60001649,SI,
CFIHOS-65000657,,megajoule per kilogram-mole,MJ/kmol,CFIHOS-45000089,ENPMOL,molar energy,CFIHOS-60001649,SI,
CFIHOS-65000658,D57,watt per steradian,W/sr,CFIHOS-45000152,RADINT,radiant intensity,CFIHOS-60001649,SI,
CFIHOS-65000659,JOU,joule,J,CFIHOS-45000086;CFIHOS-45000041,ENERGY;MOMFOR,energy;moment of force,CFIHOS-60001649,SI,
CFIHOS-65000660,,British thermal unit,Btu[IT],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000661,,thermochemical British thermal unit,Btu[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000662,,United Kingdom British thermal unit,Btu[UK],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000663,,calorie [International Table],cal[IT],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000664,R4,calorie,cal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000665,A57,erg,erg,CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000666,A53,electronvolt,eV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000667,,quad,quad,CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000668,,European Community therm,therm[EC],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000669,,United Kingdom therm,therm[UK],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000670,,United States therm,therm[US],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000671,NU,newton metre,N.m,CFIHOS-45000041,MOMFOR,moment of force,CFIHOS-60001649,SI,
CFIHOS-65000672,,million BTU,1E6 Btu[IT],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000673,GWH,gigawatt hour,GW.h,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000674,,horsepower hour,hp.h,CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000675,,metric-horsepower hour,hp[metric].h,CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000676,KWH,kilowatt hour,kW.h,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000677,,megawatt hour,MW.h,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000678,,terrawatt hour,TW.h,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000679,,thousand foot pound-force,1000 lbf.ft,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000680,,dekanewton metre,daN.m,CFIHOS-45000041,MOMFOR,moment of force,CFIHOS-60001649,SI,
CFIHOS-65000681,DN,decinewton metre,dN.m,CFIHOS-45000041,MOMFOR,moment of force,CFIHOS-60001649,SI,
CFIHOS-65000682,,thousand gram-force metre,kgf.m,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000683,,kilonewton metre,kN.m,CFIHOS-45000041,MOMFOR,moment of force,CFIHOS-60001649,SI,
CFIHOS-65000684,B48,foot pound-force,lbf.ft,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000685,85,inch pound-force,lbf.in,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000686,,pound-mass square foot per second squared,lbm.ft2/s2,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000687,N46,foot poundal,pdl.ft,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000688,,US ton-force foot,tonf[US].ft,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000689,,US ton-force mile,tonf[US].mi,CFIHOS-45000041,MOMFOR,moment of force,,,
CFIHOS-65000690,A13,attojoule,aJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000691,,hundredth of calorie,ccal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000692,,centielectronvolt,ceV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000693,,centijoule,cJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000694,,tenth of calorie,dcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000695,,decielectronvolt,deV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000696,,decijoule,dJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000697,,million million million calorie,Ecal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000698,,exaelectronvolt,EeV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000699,A68,exajoule,EJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000700,,femtocalorie,fcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000701,,femtoelectronvolt,feV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000702,A70,femtojoule,fJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000703,,thousand million calorie,Gcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000704,A85,gigaelectronvolt,GeV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000705,GV,gigajoule,GJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000706,,thousand calorie,kcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000707,B29,kiloelectronvolt,keV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000708,KJO,kilojoule,kJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000709,,thousandth of calorie,mcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000710,,million calorie,Mcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000711,B71,megaelectronvolt,MeV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000712,,millielectronvolt,meV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000713,C15,millijoule,mJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000714,3B,megajoule,MJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000715,,nanocalorie,ncal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000716,,nanoelectronvolt,neV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000717,,nanojoule,nJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000718,,picocalorie,pcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000719,,picoelectronvolt,peV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000720,,picojoule,pJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000721,,million million calorie,Tcal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000722,,teraelectronvolt,TeV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000723,D30,terajoule,TJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000724,,millionth of calorie,ucal[th],CFIHOS-45000086,ENERGY,energy,,,
CFIHOS-65000725,,microelectronvolt,ueV,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000726,,microjoule,uJ,CFIHOS-45000086,ENERGY,energy,CFIHOS-60001649,SI,
CFIHOS-65000727,WTT,watt,W,CFIHOS-45000016;CFIHOS-45000101,POWER;HTFLOR,power;heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000728,,horsepower,hp,CFIHOS-45000016,POWER,power,,,
CFIHOS-65000729,,hydraulic-horsepower,hp[hyd],CFIHOS-45000016,POWER,power,,,
CFIHOS-65000730,,ton-refrigeration,tonRefrig,CFIHOS-45000016,POWER,power,,,
CFIHOS-65000731,P14,joule per second,J/s,CFIHOS-45000101,HTFLOR,heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000732,,million BTU per hour,1E6 Btu[IT]/h,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000733,,BTU per hour,Btu[IT]/h,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000734,,BTU per minute,Btu[IT]/min,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000735,,BTU per second,Btu[IT]/s,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000736,,calorie per hour,cal[th]/h,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000737,,exajoule per julian-year,EJ/a,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000738,,erg per julian-year,erg/a,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000739,,thousand calorie per hour,kcal[th]/h,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000740,K16,foot pound-force per minute,lbf.ft/min,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000741,A74,foot pound-force per second,lbf.ft/s,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000742,,megajoule per julian-year,MJ/a,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000743,,quad per julian-year,quad/a,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000744,,terajoule per julian-year,TJ/a,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000745,,millionth of calorie per second,ucal[th]/s,CFIHOS-45000101,HTFLOR,heat flow rate,,,
CFIHOS-65000746,,centiwatt,cW,CFIHOS-45000016,POWER,power,CFIHOS-60001649,SI,
CFIHOS-65000747,,deciwatt,dW,CFIHOS-45000016,POWER,power,CFIHOS-60001649,SI,
CFIHOS-65000748,,exawatt,EW,CFIHOS-45000016,POWER,power,CFIHOS-60001649,SI,
CFIHOS-65000749,,femtowatt,fW,CFIHOS-45000016,POWER,power,CFIHOS-60001649,SI,
CFIHOS-65000750,A90,gigawatt,GW,CFIHOS-45000016;CFIHOS-45000101,POWER;HTFLOR,power;heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000751,C31,milliwatt,mW,CFIHOS-45000016;CFIHOS-45000101,POWER;HTFLOR,power;heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000752,MAW,megawatt,MW,CFIHOS-45000016;CFIHOS-45000101,POWER;HTFLOR,power;heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000753,C49,nanowatt,nW,CFIHOS-45000016;CFIHOS-45000101,POWER;HTFLOR,power;heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000754,C75,picowatt,pW,CFIHOS-45000016,POWER,power,CFIHOS-60001649,SI,
CFIHOS-65000755,D31,terawatt,TW,CFIHOS-45000016;CFIHOS-45000101,POWER;HTFLOR,power;heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000756,D80,microwatt,uW,CFIHOS-45000016;CFIHOS-45000101,POWER;HTFLOR,power;heat flow rate,CFIHOS-60001649,SI,
CFIHOS-65000757,M53,metre per Pascal,m/Pa,CFIHOS-45000106,LENPP,length per pressure,CFIHOS-60001649,SI,
CFIHOS-65000758,K17,foot per psi,ft/psi,CFIHOS-45000106,LENPP,length per pressure,,,
CFIHOS-65000759,,metre per kilopascal,m/kPa,CFIHOS-45000106,LENPP,length per pressure,CFIHOS-60001649,SI,
CFIHOS-65000760,,barrel,bbl,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000761,,UK fluid-ounce,floz[UK],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000762,,US fluid-ounce,floz[US],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000763,,UK gallon,gal[UK],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000764,,US gallon,gal[US],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000765,,UK pint,pt[UK],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000766,,US pint,pt[US],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000767,,UK quart,qt[UK],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000768,,US quart,qt[US],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000769,,teradarcy-API metre,TD[API].m,CFIHOS-45000141,PRMLEN,permeability length,CFIHOS-60001649,SI,
CFIHOS-65000770,,thousand barrel,1000 bbl,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000771,FC,thousand cubic foot,1000 ft3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000772,,thousand UK gallon,1000 gal[UK],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000773,,thousand US gallon,1000 gal[US],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000774,R9,thousand cubic metre,1000 m3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000775,,million million cubic foot,1E12 ft3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000776,,million barrel,1E6 bbl,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000777,FM,million cubic foot,1E6 ft3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000778,,millionth of US gallon,1E-6 gal[US],CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000779,HMQ,million cubic metre,1E6 m3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000780,,thousand million barrel,1E9 bbl,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000781,,thousand million cubic foot,1E9 ft3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000782,,acre foot,acre.ft,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000783,CMQ,cubic centimetre,cm3,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000784,DMQ,cubic decimetre,dm3,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000785,,hectare metre,ha.m,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000786,H20,cubic kilometre,km3,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000787,MMQ,cubic millimetre,mm3,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000788,,square micrometre metre,um2.m,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000789,,darcy foot,D.ft,CFIHOS-45000141,PRMLEN,permeability length,,,
CFIHOS-65000790,,darcy metre,D.m,CFIHOS-45000141,PRMLEN,permeability length,,,
CFIHOS-65000791,,millidarcy foot,mD.ft,CFIHOS-45000141,PRMLEN,permeability length,,,
CFIHOS-65000792,,millidarcy metre,mD.m,CFIHOS-45000141,PRMLEN,permeability length,,,
CFIHOS-65000793,INQ,cubic inch,in3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000794,,cubic mile,mi3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000795,YDQ,cubic yard,yd3,CFIHOS-45000033,VOLUME,volume,,,
CFIHOS-65000796,HLT,hectolitre,hL,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000797,MLT,millilitre,mL,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-65000798,,cubic metre per radian,m3/rad,CFIHOS-45000181,VPROT,volume per rotation,CFIHOS-60001649,SI,
CFIHOS-65000799,,cubic foot per radian,ft3/rad,CFIHOS-45000181,VPROT,volume per rotation,,,
CFIHOS-65000800,,cubic metre per revolution,m3/rev,CFIHOS-45000181,VPROT,volume per rotation,,,
CFIHOS-65000801,A39,cubic metre per kilogram,m3/kg,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000802,,litre per hundred kilogram,0.01 L/kg,CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000803,,barrel per UK ton-mass,bbl/ton[UK],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000804,,barrel per US ton-mass,bbl/ton[US],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000805,,cubic centimetre per gram,cm3/g,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000806,N28,cubic decimetre per kilogram,dm3/kg,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000807,,cubic decimetre per ton,dm3/t,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000808,,cubic foot per kilogram,ft3/kg,CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000809,,cubic foot per pound-mass,ft3/lbm,CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000810,,cubic foot per 94-pound-sack,ft3/sack[94lbm],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000811,,UK gallon per pound-mass,gal[UK]/lbm,CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000812,,US gallon per pound-mass,gal[US]/lbm,CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000813,,US gallon per 94-pound-sack,gal[US]/sack[94lbm],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000814,,US gallon per UK ton-mass,gal[US]/ton[UK],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000815,,US gallon per US ton-mass,gal[US]/ton[US],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000816,H83,litre per kilogram,L/kg,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000817,,litre per tonne,L/t,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000818,,litre per UK ton-mass,L/ton[UK],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000819,,cubic metre per gram,m3/g,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000820,,cubic metre per tonne,m3/t,CFIHOS-45000177,VOLPM,volume per mass,CFIHOS-60001649,SI,
CFIHOS-65000821,,cubic metre per UK ton-mass,m3/ton[UK],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000822,,cubic metre per US ton-mass,m3/ton[US],CFIHOS-45000177,VOLPM,volume per mass,,,
CFIHOS-65000823,,cubic metre per gram-mole,m3/mol,CFIHOS-45000180,VPMOL,molar volume,CFIHOS-60001649,SI,
CFIHOS-65000824,,cubic decimetre per kilogram-mole,dm3/kmol,CFIHOS-45000180,VPMOL,molar volume,CFIHOS-60001649,SI,
CFIHOS-65000825,,cubic foot per pound-mass-mole,ft3/lbmol,CFIHOS-45000180,VPMOL,molar volume,,,
CFIHOS-65000826,,litre per kilogram-mole,L/kmol,CFIHOS-45000180,VPMOL,molar volume,CFIHOS-60001649,SI,
CFIHOS-65000827,,litre per gram-mole,L/mol,CFIHOS-45000180,VPMOL,molar volume,CFIHOS-60001649,SI,
CFIHOS-65000828,,cubic metre per kilogram-mole,m3/kmol,CFIHOS-45000180,VPMOL,molar volume,CFIHOS-60001649,SI,
CFIHOS-65000829,,cubic centimetre per thirty minute,1/30 cm3/min,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000830,,thousand barrel per day,1000 bbl/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000831,F1,thousand cubic foot per day,1000 ft3/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000832,TQD,thousand cubic metre per day,1000 m3/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000833,,thousand cubic metre per hour,1000 m3/h,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000834,,million barrel per day,1E6 bbl/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000835,,million cubic foot per day,1E6 ft3/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000836,,million cubic metre per day,1E6 m3/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000837,,barrel per day,bbl/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000838,,barrel per hour,bbl/h,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000839,,barrel per minute,bbl/min,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000840,G48,cubic centimetre per hour,cm3/h,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-65000841,G49,cubic centimetre per minute,cm3/min,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-65000842,2J,cubic centimetre per second,cm3/s,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-65000843,J93,cubic decimetre per second,dm3/s,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-65000844,K22,cubic foot per day,ft3/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000845,2L,cubic foot per minute,ft3/min,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000846,E17,cubic foot per second,ft3/s,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000847,,UK gallon per day,gal[UK]/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000848,,UK gallon per hour,gal[UK]/h,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000849,,UK gallon per minute,gal[UK]/min,CFIHOS-45000034,VOLFLO,volume flow rate,,,
CFIHOS-65000850,,US gallon per day,gal[US]/d,CFIHOS-45000034,VOLFLO,volume flow rate,,,
