CFIHOS unique code,property name,property definition,property data type,property data type length,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,property picklist name CFIHOS unique code,property picklist name,property existence reason description,property synonym name
CFIHOS-40000781,upper limit liquid density,A liquid density which is the highest density at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000002,DENSI,,,IOGP JIP33 Alignment,
CFIHOS-40000782,lower limit liquid density,A liquid density which is the lowest density at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000002,DENSI,,,IOGP JIP33 Alignment,
CFIHOS-40000783,normal specific heat ratio Cp/Cv,The specific heat ratio which is the normal specific heat for the process medium.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000784,upper limit specific heat ratio Cp/Cv,The specific heat ratio which is the highest specific heat for the process medium.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000785,lower limit specific heat ratio Cp/Cv,The specific heat ratio which is the lowest specific heat for the process medium.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000786,upper limit operating liquid dynamic viscosity,The highest dynamic viscosity of the fluid in liquid phase at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000004,VISDYN,,,IOGP JIP33 Alignment,
CFIHOS-40000787,lower limit operating liquid dynamic viscosity,The lowest dynamic viscosity of the fluid in liquid phase at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000004,VISDYN,,,IOGP JIP33 Alignment,
CFIHOS-40000788,total dissolved salts,The amount of dissolved salts.,Number,,CFIHOS-45000015,MPROPO,,,IOGP JIP33 Alignment,
CFIHOS-40000789,particle size,Average solid particle size in fluid.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000790,particle concentration,Average solid particle concentration in fluid.,Number,,CFIHOS-45000015,MPROPO,,,IOGP JIP33 Alignment,
CFIHOS-40000791,alternate operating volume flow rate,A volume flow rate that is the alternate conditions volume flow rate at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000792,rated flow net positive suction head available,NPSHA that is available for a particular pumping system at rated flow condition.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000793,normal flow net positive suction head available,NPSHA that is available for a particular pumping system at normal flow condition.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000794,upper limit flow net positive suction head available,NPSHA that is available for a particular pumping system at highest flow condition.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000795,lower limit flow net positive suction head available,NPSHA that is available for a particular pumping system at lowest flow condition.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000796,alternate flow positive suction head available,NPSHA that is available for a particular pumping system at alternate flow condition.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000797,NPSHA available at 120% of rated flow,NPSHA that is available for a particular pumping system at 120% of rated flow condition.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000798,rated operating temperature,The rated temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,IOGP JIP33 Alignment,
CFIHOS-40000799,alternate operating temperature,The temperature at an alternate case at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,IOGP JIP33 Alignment,
CFIHOS-40000800,rated discharge pressure,The discharge pressure to which an installed item is rated.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000801,alternative operating pressure,The rated pressure at which a functional or physical object is expected to operate in alternate conditions.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000802,rated operating suction pressure,The rated suction pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000803,normal operating suction pressure,The normal suction pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000804,rated operating differential pressure,The rated differential pressure at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000805,alternative design differential pressure,The differential pressure at which a functional or physical object is designed for in alternate conditions.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000806,rated operating differential head pressure,The differential pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000807,alternative operating differential head pressure,The rated differential pressure head at which a functional or physical object is expected to operate in alternate conditions.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000808,rated hydraulic power,The rated power that the pumping action takes.,Number,,CFIHOS-45000016,POWER,,,IOGP JIP33 Alignment,
CFIHOS-40000809,upper limit diameter,The upper limit intercept made by the circumference on a straight line through the centre of a circle.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000810,lower limit diameter,The designed intercept made by the circumference on a straight line through the centre of a circle.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000811,proposal curve best efficiency point flow (at rated impeller diameter),Flow at Best Efficiency Point (BEP) of the proposed curve at rated impeller diameter.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000812,lower limit thermal mass flow,Minimum mass flow measured by a thermal mass flow element.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000813,lower limit stable flow,Minimum flow that can be sustained stably.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000814,start of operating flow region,The beginning of the range of flow in operating conditions.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000815,end of operating flow region,The end of the range of flow in operating conditions.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000816,start of allowable operating flow region,The beginning of the range of allowable flow in operating conditions.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000817,end of allowable operating flow region,The end of the range of allowable flow in operating conditions.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000818,upper limit head at rated impeller,The head that is the highest that can be obtained for the rated impeller.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000819,upper limit power at rated impeller,The power that is the highest allowed for the rated impeller.,Number,,CFIHOS-45000016,POWER,,,IOGP JIP33 Alignment,
CFIHOS-40000820,NPSH3 at rated flow,The net positive suction head available to a pump under test at a the rated flow when the pump head is decreased by 3 percent as a result of cavitation caused by a decreasing available suction head.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000821,NPSH3 at 120 % of flow,The net positive suction head available to a pump under test at a 120% of the rated flow when the pump head is decreased by 3 percent as a result of cavitation caused by a decreasing available suction head.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000822,NPSHa-NPSH3 margin at rated flow,The net positive suction head available at rated flow minus the NPSH3; the net positive suction head available to a pump under test at a the rated flow when the pump head is decreased by 3 percent as a result of cavitation caused by a decreasing available suction head.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000823,NPSHa-NPSH3 margin in allowable operating region,The net positive suction head in the operating range of flow minus the NPSH3; the net positive suction head available to a pump under test at a the operating range of flow when the pump head is decreased by 3 percent as a result of cavitation caused by a decreasing available suction head.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000824,specific pump suction-specific speed,The rotational speed which is the suction-specific rotational speed for the pump.,Number,,CFIHOS-45000036,ANGVEL,,,IOGP JIP33 Alignment,
CFIHOS-40000825,upper limit allowable sound pressure level,"The highest allowable acoustic wave strength, which is the local pressure deviation from the ambient (average or equilibrium) atmospheric pressure, caused by a sound wave.",Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000826,upper limit sound power level,The highest sound pressure level at which a functional or physical object is designed.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000827,number of vanes,The number of vanes.,Number,,CFIHOS-45000037,COUNT,,,IOGP JIP33 Alignment,
CFIHOS-40000828,drain nominal size,The nominal size of the drain.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000829,pressure casing vent size,The nominal size of the casing vent.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000830,pump discharge head maximum allowable working pressure,The pump discharge head MAWP.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000831,pump column maximum allowable working pressure,The pump column MAWP.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000832,pump bowl maximum allowable working pressure,The pump bowl MAWP.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000833,pump suction barrel or can maximum allowable working pressure,The pump suction barrel or can MAWP.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000834,line shaft bearing quantity,Specify the quantity of line shaft bearings required.,Number,,CFIHOS-45000037,COUNT,,,IOGP JIP33 Alignment,
CFIHOS-40000835,low liquid level elevation,Specify the process liquid low level elevation.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000836,sump floor elevation,Specify the sump floor elevation.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000837,sump diameter,Specify the diameter of the sump in which the proposed pump will be installed.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000838,grade to top of pump discharge connection dimension,Specify the grade to top of proposed pump discharge connection dimension.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000839,pump length (grade to underside of pump inlet bell or strainer dimension),Specify the proposed pump length (grade to underside of pump inlet bell or strainer dimension) below grade.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000840,grade to first stage impeller centerline dimension,Specify the grade to the proposed pump first stage impeller centerline dimension.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000841,grade to liquid minimum submergence level dimension,Specify the grade to pump process liquid minimum submergence level dimension.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000842,upper limit static sealing pressure,The highest static sealing pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000843,lower limit static sealing pressure,The lowest dynamic viscosity of the fluid in liquid phase at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000844,upper limit dynamic sealing pressure,The highest dynamic sealing pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000845,lower limit dynamic sealing pressure,The lowest dynamic viscosity of the fluid in liquid phase at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,IOGP JIP33 Alignment,
CFIHOS-40000846,upper limit seal design temperature,The highest seal design temperature at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,IOGP JIP33 Alignment,
CFIHOS-40000847,lower limit seal design temperature,The lowest dynamic viscosity of the fluid in liquid phase at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,IOGP JIP33 Alignment,
CFIHOS-40000848,driver nameplate power,Specify the driver nameplate power.,Number,,CFIHOS-45000016,POWER,,,IOGP JIP33 Alignment,
CFIHOS-40000849,required trip speed,"Specify the required trip speed if adjustable speed drive is specified for the proposed pump. Applicable to electrical ASD, fluid coupling, magnetically coupled ASD, steam turbine, diesel engine and HPRT drives.",Number,,CFIHOS-45000036,ANGVEL,,,IOGP JIP33 Alignment,
CFIHOS-40000850,number of accelerometers,Specify the number of accelerometers required.,Number,,CFIHOS-45000037,COUNT,,,IOGP JIP33 Alignment,
CFIHOS-40000851,number of vibration probes per radial bearing,Specify the number of vibration proximity probes per radial bearing required.,Number,,CFIHOS-45000037,COUNT,,,IOGP JIP33 Alignment,
CFIHOS-40000852,number of temperature probes per radial bearing,Specify the number of temperature probes per radial bearing required.,Number,,CFIHOS-45000037,COUNT,,,IOGP JIP33 Alignment,
CFIHOS-40000853,average relative humidity,The high-voltage switchgear and controlgear average value of the relative humidity measured over a period of 24h in accordance with IEC 62271-1.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000854,rated short-duration power-frequency withstand voltage (Ud),The high-voltage switchgear and controlgear prescribed root mean square value of sinusoidal power frequency voltage that the equipment shall withstand during tests made under specified conditions and for a specific time.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000855,rated lightning impulse withstand voltage (Up) kV peak,The high-voltage switchgear and controlgear level of lightning over-voltages that the equipment may withstand.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000856,rated short-time phase to earth withstand current,The value of rated short-time phase to earth current the equipment can withstand.,Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000857,rated peak phase to earth withstand current,The rated peak phase to earth withstand current the equipment can withstand.,Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000858,rated duration of short circuit,The high-voltage switchgear and controlgear rated duration of short circuit the equipment can withstand in accordance with IEC 62271-1.,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000859,auxiliary circuits voltage,The auxiliary circuit rated voltage.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000860,duty point shaft power,Specify the driven load maximum duty power requirement. This value should include any sizing margin requirements.,Number,,CFIHOS-45000016,POWER,,,IOGP JIP33 Alignment,
CFIHOS-40000861,external radial loading on the motor shaft end,The maximum anticipated radial loading on the shaft end for belt driven loads.,Number,,CFIHOS-45000039,FORCE,,,IOGP JIP33 Alignment,
CFIHOS-40000862,external axial loading on the motor shaft end,The maximum anticipated axial loading on the shaft end.,Number,,CFIHOS-45000039,FORCE,,,IOGP JIP33 Alignment,
CFIHOS-40000863,moment of inertia of the load,The maximum moment of inertia of the load (Jext).,Number,,CFIHOS-45000131,MOMINT,,,IOGP JIP33 Alignment,
CFIHOS-40000864,full load current,The motor full load current (FLC) while operating at rated voltage and rated frequency.,Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000865,upper limit operating voltage,The voltage which is the highest voltage at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000866,lower limit operating voltage,The voltage which is the lowest voltage at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000867,upper limit design frequency,The highest frequency at which a functional or physical object is designed for.,Number,,CFIHOS-45000009,FREQU,,,IOGP JIP33 Alignment,
CFIHOS-40000868,lower limit design frequency,The lowest frequency at which a functional or physical object is designed for.,Number,,CFIHOS-45000009,FREQU,,,IOGP JIP33 Alignment,
CFIHOS-40000869,pull-up torque,"The smallest steady-state asynchronous torque that the electric motor develops between zero speed and the speed which corresponds to the breakdown torque, when the motor is supplied at 100 % rated voltage and rated frequency.",Number,,CFIHOS-45000041,MOMFOR,,,IOGP JIP33 Alignment,
CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,"The greatest steady-state root mean square current taken from the line with the motor held at rest, over all angular positions, at 100% rated voltage and frequency, as a per unit value of full load current (Is/In) including positive tolerance.",Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000871,declared locked-rotor current at 80% rated voltage,"The greatest steady-state root mean square current taken from the line with the motor held at rest, over all angular positions, at 80% rated voltage and frequency, as a per unit value of full load current (Is/In) including positive tolerance.",Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000872,declared locked-rotor torque at 100% rated voltage,"The smallest measured torque the motor develops at its shaft and with the rotor locked, over all its angular positions, at 100% rated voltage and rated frequency.",Number,,CFIHOS-45000041,MOMFOR,,,IOGP JIP33 Alignment,
CFIHOS-40000873,declared locked-rotor torque at 80% rated voltage,"The smallest measured torque the motor develops at its shaft and with the rotor locked, over all its angular positions, at 80% rated voltage and rated frequency.",Number,,CFIHOS-45000041,MOMFOR,,,IOGP JIP33 Alignment,
CFIHOS-40000874,locked-rotor power factor at 100% rated voltage,"The power factor with the rotor locked, at rated voltage and frequency.",Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000875,moment of inertia of the motor,The electric motor moment of inertia (Jm) as defined in IEC 60034-1.,Number,,CFIHOS-45000131,MOMINT,,,IOGP JIP33 Alignment,
CFIHOS-40000876,upper limit permissible starting time at 100% rated voltage,The maximum allowable duration of time for the motor to reach its rated speed at 100% rated voltage whilst starting from 'hot'.,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000877,upper limit permissible starting time at 80% rated voltage,The maximum allowable duration of time for the motor to reach its rated speed at 80% rated voltage whilst starting from 'hot'.,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000878,rated torque at 1/1 load,A torque that is a torque of an electric rotating machine working at its full load.,Number,,CFIHOS-45000041,MOMFOR,,,IOGP JIP33 Alignment,
CFIHOS-40000879,rated breakdown torque,"The maximum steady-state asynchronous torque which the motor develops without an abrupt drop in speed, when the motor is supplied at the rated voltage and frequency.",Number,,CFIHOS-45000041,MOMFOR,,,IOGP JIP33 Alignment,
CFIHOS-40000880,efficiency at 100% rated output,The efficiency of the motor whilst operating at 100% rated power.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000881,efficiency at 75% rated output,The efficiency of the motor whilst operating at 75% rated power.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000882,efficiency at 50% rated output,The efficiency of the motor whilst operating at 50% rated power.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000883,power factor at 100% rated output,The cosine of the angle between active power and apparent power when the motor is operated at 100% rated power.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000884,power factor at 75% rated output,The cosine of the angle between active power and apparent power when the motor is operated at 75% rated power.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000885,power factor at 50% rated output,The cosine of the angle between active power and apparent power when the motor is operated at 50% rated power.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000886,upper limit permissible motor sound power level at full load,The maximum permissible motor A-weighted sound power level at full load.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000887,upper limit declared motor sound power level at no-load,The maximum declared motor A-weighted sound power level at no-load.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000888,upper limit declared motor sound power level at full load,The manufacturer expected sound power level at full load.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000889,number of junction box cable gland entries,The number of cable gland or multi-cable transit details in the junction box.,Number,,CFIHOS-45000037,COUNT,,,IOGP JIP33 Alignment,
CFIHOS-40000890,junction box cable entry size,The size of cable gland entries in main junction box.,Number,,CFIHOS-45000011,LENGTH,,,IOGP JIP33 Alignment,
CFIHOS-40000891,specific starting requirement locked rotor current,The specific locked rotor current. Expressed as per unit value of rated current (Is/In).,Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000892,locked-rotor torque in % of full load torque at 100% of rated voltage,"The smallest measured torque the motor develops at its shaft and with the rotor locked, over all its angular positions, at rated voltage and frequency.",Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000893,locked-rotor torque in % of full load torque at 80% of rated voltage,"The smallest measured torque the motor develops at its shaft and with the rotor locked, over all its angular positions, at 80% rated voltage and rated frequency.",Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000894,locked-rotor withstand time (hot/cold) at 100 % rated voltage,The locked-rotor withstand time at 100 % rated voltage from hot and from cold (expressed as x/x s).,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000895,locked-rotor withstand time (hot/cold) at 80 % rated voltage,The locked-rotor withstand time at 80 % rated voltage from hot and from cold (expressed as x/x s).,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000896,rated torque,The steady-state asynchronous rotor torque while delivering rated power at the rated voltage and frequency.,Number,,CFIHOS-45000041,MOMFOR,,,IOGP JIP33 Alignment,
CFIHOS-40000897,upper limit permissible sound pressure level at no load,The maximum permissible motor A-weighted sound pressure level at a reference distance of 1 metre at no load.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000898,upper limit sound pressure level at no load,Specify the maximum motor A-weighted sound pressure level at a reference distance of 1 metre at no-load.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000899,upper limit sound pressure level at rated load,The maximum motor A-weighted sound pressure level at a reference distance of 1 metre at rated load.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000900,re-greasing interval,The maximum recommended greasing interval when re-greaseable bearings have been provided.,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000901,first lateral critical speed,The first lateral critical speed at which the rotor-bearing support system is in a state of resonance.,Number,,CFIHOS-45000036,ANGVEL,,,IOGP JIP33 Alignment,
CFIHOS-40000902,tE time at rated voltage,Specify tE time as defined in IEC 60079-7 at rated voltage.,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000903,tE time at 80 % voltage,Specify tE time as defined in IEC 60079-7 at 80 % motor voltage.,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000904,oil quantity for self-lubricated sleeve bearings,The recommended oil quantity for self-lubricating sleeve bearings when they are provided.,Number,,CFIHOS-45000033,VOLUME,,,IOGP JIP33 Alignment,
CFIHOS-40000905,upper limit cooling water differential temperature,The maximum difference between inlet and outlet cooling water temperature at rated load and maximum ambient temperature.,Number,,CFIHOS-45000028,TEMP,,,IOGP JIP33 Alignment,
CFIHOS-40000906,cold air temperature at rated power,The cold air temperature of the heat exchanger at rated power.,Number,,CFIHOS-45000028,TEMP,,,IOGP JIP33 Alignment,
CFIHOS-40000907,hot air temperature at rated power,The hot air temperature of the heat exchanger at rated power.,Number,,CFIHOS-45000028,TEMP,,,IOGP JIP33 Alignment,
CFIHOS-40000908,lower limit operating speed,The speed which is the lowest speed at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000036,ANGVEL,,,IOGP JIP33 Alignment,
CFIHOS-40000909,peak-to-peak voltage at the fundamental frequency,The peak-to-peak phase to earth voltage at the fundamental frequency in accordance with IEC 60034-18-42.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000910,phase-to-earth jump voltage,The change in phase-to-earth voltage at the terminals of the machine occurring at the start of each impulse in accordance with IEC 60034-18-42.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000911,peak-to-peak impulse voltage at the impulse voltage repetition rate,The impulse peak-to-peak voltage at the impulse voltage repetition rate in accordance with IEC 60034-18-42.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000912,impulse voltage rise time,The time for the voltage to rise from 10 % to 90 % of its final value in accordance with IEC 60034 18-42.,Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000913,voltage at upper limit continuous operating speed at maximum torque,The voltage at the motor terminals at maximum continuous operating speed at the upper torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000914,voltage at lower limit continuous operating speed,The voltage at the motor terminals at minimum continuous operating speed at the upper torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000038,VOLTAG,,,IOGP JIP33 Alignment,
CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,The current at maximum continuous operating speed at the upper torque value of the load window in accordance with IEC 61800-4.,Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000916,current at lower limit continuous operating speed at maximum torque,The current at minimum continuous operating speed at the upper torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000007,ECURR,,,IOGP JIP33 Alignment,
CFIHOS-40000917,efficiency at upper limit continuous operating speed at upper torque value,The efficiency at maximum continuous operating speed at the maximum torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000918,efficiency at lower limit continuous operating speed,The efficiency at maximum continuous operating speed at the maximum torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000919,power factor at upper limit continuous operating speed,The cosine of the angle between active power and apparent power at the upper limit continuous operating speed at the upper torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000920,power factor at lower limit continuous operating speed,The cosine of the angle between active power and apparent power at the lower limit continuous operating speed at the upper torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000921,upper limit sound pressure level at no load at maximum continuous speed,The maximum sound pressure level at no load at maximum continuous speed at a reference distance of 1 metre.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000922,upper limit sound pressure level within the load envelope,The maximum motor A-weighted sound pressure level at a reference distance of 1 metre within the load envelope including harmonic noise content.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000923,ramp-up time to minimum speed,"The recommended range of acceptable time or maximum allowable time for the converter to ramp up the motor to minimum speed, to ensure proper lubrication of the motor bearings.",Number,,CFIHOS-45000031,TIME,,,IOGP JIP33 Alignment,
CFIHOS-40000924,upper limit permissible sound pressure level at no load at maximum continuous speed,The maximum permitted A-weighted sound pressure level at 1 metre at no load at maximum continuous speed.,Number,,CFIHOS-45000021,SOUND,,,IOGP JIP33 Alignment,
CFIHOS-40000925,upper limit cooling water flow rate,The maximum cooling water flow rate during operation.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
CFIHOS-40000926,efficiency at maximum continuous operating speed at maximum torque,The efficiency at maximum continuous operating speed at the upper torque value of the load window as per IEC 61800-4.,Number,,CFIHOS-45000019,RATIO,,,IOGP JIP33 Alignment,
CFIHOS-40000927,maximum cooling water flow rate,The maximum cooling inlet water pressure as per project specification and site conditions.,Number,,CFIHOS-45000034,VOLFLO,,,IOGP JIP33 Alignment,
