CFIHOS unique code,coding source code,CFIHOS code equivalent value
CFIHOS-30000598,POSC CAESAR,RDS5792527
CFIHOS-30000599,STEPLIB,670034
CFIHOS-30000599,ISO 15926 part4,8935
CFIHOS-30000599,ISO 14224:2016,AM
CFIHOS-30000599,POSC CAESAR,RDS11526604
CFIHOS-30000600,STEPLIB,670048
CFIHOS-30000600,ISO 15926 part4,8942
CFIHOS-30000600,ISO 14224:2016,HT
CFIHOS-30000600,POSC CAESAR,RDS11524787
CFIHOS-30000601,STEPLIB,670053
CFIHOS-30000601,ISO 15926 part4,8944
CFIHOS-30000601,ISO 14224:2016,LB
CFIHOS-30000601,POSC CAESAR,RDS11525462
CFIHOS-30000602,STEPLIB,670057
CFIHOS-30000602,ISO 15926 part4,8948
CFIHOS-30000602,ISO 14224:2016,LA
CFIHOS-30000602,POSC CAESAR,RDS11475477
CFIHOS-30000603,STEPLIB,670162
CFIHOS-30000603,ISO 15926 part4,8973
CFIHOS-30000603,POSC CAESAR,RDS5788099
CFIHOS-30000604,STEPLIB,670116
CFIHOS-30000604,ISO 15926 part4,8987
CFIHOS-30000604,POSC CAESAR,RDS11524067
CFIHOS-30000605,STEPLIB,670117
CFIHOS-30000605,ISO 15926 part4,8988
CFIHOS-30000605,POSC CAESAR,RDS11524112
CFIHOS-30000606,STEPLIB,670122
CFIHOS-30000606,ISO 15926 part4,8991
CFIHOS-30000606,POSC CAESAR,RDS11526244
CFIHOS-30000607,ISO 15926 part4,4219
CFIHOS-30000607,STEPLIB,70469
CFIHOS-30000607,POSC CAESAR,RDS418769
CFIHOS-30000608,POSC CAESAR,RDS2224581
CFIHOS-30000609,POSC CAESAR,RDS1324006581
CFIHOS-30000610,POSC CAESAR,RDS2224583
CFIHOS-30000611,POSC CAESAR,RDS2224584
CFIHOS-30000612,ISO 15926 part4,2430
CFIHOS-30000612,STEPLIB,250035
CFIHOS-30000612,POSC CAESAR,RDS869039
CFIHOS-30000613,POSC CAESAR,RDS13611245
CFIHOS-30000614,POSC CAESAR,RDS1330047681
CFIHOS-30000615,POSC CAESAR,RDS1289414621
CFIHOS-30000616,STEPLIB,252105
CFIHOS-30000616,ISO 15926 part4,2788
CFIHOS-30000616,POSC CAESAR,RDS859859
CFIHOS-30000617,STEPLIB,251116
CFIHOS-30000617,ISO 15926 part4,2794
CFIHOS-30000617,POSC CAESAR,RDS316394
CFIHOS-30000618,ISO 14224:2016,EC
CFIHOS-30000618,POSC CAESAR,RDS1299946361
CFIHOS-30000619,POSC CAESAR,RDS7210699
CFIHOS-30000620,POSC CAESAR,RDS475559
CFIHOS-30000621,STEPLIB,10665
CFIHOS-30000621,POSC CAESAR,RDS2224587
CFIHOS-30000622,POSC CAESAR,RDS1325271521
CFIHOS-30000623,STEPLIB,250270
CFIHOS-30000623,ISO 15926 part4,3092
CFIHOS-30000623,POSC CAESAR,RDS874169
CFIHOS-30000623,ISO 14224:2016,SG
CFIHOS-30000624,POSC CAESAR,RDS1289791601
CFIHOS-30000626,ISO 15926 part4,3250
CFIHOS-30000626,STEPLIB,70889
CFIHOS-30000626,POSC CAESAR,RDS7135931
CFIHOS-30000627,STEPLIB,40117
CFIHOS-30000627,POSC CAESAR,RDS1299927291
CFIHOS-30000628,POSC CAESAR,RDS13610390
CFIHOS-30000629,STEPLIB,130794
CFIHOS-30000629,ISO 15926 part4,3390
CFIHOS-30000629,POSC CAESAR,RDS5796125
CFIHOS-30000630,STEPLIB,520610
CFIHOS-30000630,ISO 15926 part4,8838
CFIHOS-30000630,POSC CAESAR,RDS1016684
CFIHOS-30000631,STEPLIB,491495
CFIHOS-30000631,ISO 15926 part4,8260
CFIHOS-30000631,POSC CAESAR,RDS7953828
CFIHOS-30000631,ISO 14224:2016,TH
CFIHOS-30000632,STEPLIB,40217
CFIHOS-30000632,POSC CAESAR,RDS284714
CFIHOS-30000633,STEPLIB,670204
CFIHOS-30000633,ISO 15926 part4,8992
CFIHOS-30000633,POSC CAESAR,RDS11525282
CFIHOS-30000634,ISO 15926 part4,10552
CFIHOS-30000634,POSC CAESAR,RDS6331685
CFIHOS-30000635,ISO 15926 part4,10178
CFIHOS-30000635,STEPLIB,820005
CFIHOS-30000635,POSC CAESAR,RDS283859
CFIHOS-30000636,ISO 15926 part4,10199
CFIHOS-30000636,STEPLIB,820034
CFIHOS-30000636,POSC CAESAR,RDS292229
CFIHOS-30000636,ISO 14224:2016,VACH
CFIHOS-30000637,POSC CAESAR,RDS1280084541
CFIHOS-30000638,ISO 15926 part4,10211
CFIHOS-30000638,STEPLIB,820020
CFIHOS-30000638,POSC CAESAR,RDS297539
CFIHOS-30000638,ISO 14224:2016,VAAF
CFIHOS-30000639,ISO 15926 part4,10217
CFIHOS-30000639,STEPLIB,70084
CFIHOS-30000639,POSC CAESAR,RDS6329587
CFIHOS-30000640,ISO 15926 part4,4312
CFIHOS-30000640,STEPLIB,70776
CFIHOS-30000640,ISO 14224:2016,FGBA
CFIHOS-30000640,POSC CAESAR,RDS17604520
CFIHOS-30000641,ISO 15926 part4,4374
CFIHOS-30000641,POSC CAESAR,RDS5767545
CFIHOS-30000642,ISO 15926 part4,10251
CFIHOS-30000642,STEPLIB,70122
CFIHOS-30000642,POSC CAESAR,RDS11274560
CFIHOS-30000643,ISO 15926 part4,4417
CFIHOS-30000643,STEPLIB,70145
CFIHOS-30000643,ISO 14224:2016,IPFS
CFIHOS-30000643,POSC CAESAR,RDS880154
CFIHOS-30000644,POSC CAESAR,RDS1286872861
CFIHOS-30000645,POSC CAESAR,RDS304379
CFIHOS-30000646,ISO 15926 part4,4520
CFIHOS-30000646,STEPLIB,70230
CFIHOS-30000646,POSC CAESAR,RDS418544
CFIHOS-30000647,STEPLIB,70579
CFIHOS-30000647,POSC CAESAR,RDS2224589
CFIHOS-30000648,STEPLIB,520146
CFIHOS-30000648,ISO 15926 part4,8676
CFIHOS-30000648,POSC CAESAR,RDS1339832331
CFIHOS-30000649,ISO 15926 part4,10350
CFIHOS-30000649,POSC CAESAR,RDS292499
CFIHOS-30000650,POSC CAESAR,RDS1048796831
CFIHOS-30000652,POSC CAESAR,RDS2224590
CFIHOS-30000653,STEPLIB,400039
CFIHOS-30000653,ISO 15926 part4,7247
CFIHOS-30000653,POSC CAESAR,RDS309329
CFIHOS-30000654,ISO 15926 part4,4677
CFIHOS-30000654,STEPLIB,70324
CFIHOS-30000654,ISO 14224:2016,IPPS
CFIHOS-30000654,POSC CAESAR,RDS743399
CFIHOS-30000655,STEPLIB,520022
CFIHOS-30000655,ISO 15926 part4,8759
CFIHOS-30000655,POSC CAESAR,RDS4316825252
CFIHOS-30000656,ISO 14224:2016,DR
CFIHOS-30000656,POSC CAESAR,RDS286379
CFIHOS-30000657,STEPLIB,100328
CFIHOS-30000657,ISO 14224:2016,NODN
CFIHOS-30000657,POSC CAESAR,RDS5855670
CFIHOS-30000658,POSC CAESAR,RDS2224592
CFIHOS-30000659,POSC CAESAR,RDS1295598271
CFIHOS-30000659,ISO 14224:2016,TC
CFIHOS-30000660,ISO 15926 part4,10554
CFIHOS-30000660,STEPLIB,820153
CFIHOS-30000660,POSC CAESAR,RDS292589
CFIHOS-30000660,ISO 14224:2016,VA
CFIHOS-30000661,ISO 15926 part4,4818
CFIHOS-30000661,STEPLIB,70700
CFIHOS-30000661,POSC CAESAR,RDS267929
CFIHOS-30000662,ISO 14224:2016,IPFS
CFIHOS-30000662,POSC CAESAR,RDS1026717301
CFIHOS-30000663,ISO 15926 part4,4742
CFIHOS-30000663,POSC CAESAR,RDS460394
CFIHOS-30000664,ISO 15926 part4,4597
CFIHOS-30000664,STEPLIB,70286
CFIHOS-30000664,POSC CAESAR,RDS418364
CFIHOS-30000665,ISO 15926 part4,4310
CFIHOS-30000665,POSC CAESAR,RDS461879
CFIHOS-30000666,ISO 15926 part4,4293
CFIHOS-30000666,STEPLIB,71001
CFIHOS-30000666,POSC CAESAR,RDS289844
CFIHOS-30000667,POSC CAESAR,RDS2224585
CFIHOS-30000668,POSC CAESAR,RDS2224582
CFIHOS-30000669,POSC CAESAR,RDS2224586
CFIHOS-30000670,POSC CAESAR,RDS2224591
CFIHOS-30000671,ISO 15926 part4,4413
CFIHOS-30000671,STEPLIB,70530
CFIHOS-30000671,POSC CAESAR,RDS461834
CFIHOS-30000672,ISO 15926 part4,4518
CFIHOS-30000672,STEPLIB,70575
CFIHOS-30000672,ISO 14224:2016,IPLS
CFIHOS-30000672,POSC CAESAR,RDS880784
CFIHOS-30000673,ISO 15926 part4,4667
CFIHOS-30000673,STEPLIB,71205
CFIHOS-30000673,POSC CAESAR,RDS462104
CFIHOS-30000674,ISO 15926 part4,4795
CFIHOS-30000674,STEPLIB,70409
CFIHOS-30000674,POSC CAESAR,RDS445454
CFIHOS-30000675,ISO 15926 part4,4434
CFIHOS-30000675,STEPLIB,70541
CFIHOS-30000675,POSC CAESAR,RDS462644
CFIHOS-30000676,ISO 15926 part4,4426
CFIHOS-30000676,STEPLIB,70429
CFIHOS-30000676,POSC CAESAR,RDS935459
CFIHOS-30000677,ISO 15926 part4,4519
CFIHOS-30000677,STEPLIB,70228
CFIHOS-30000677,ISO 14224:2016,IPLS
CFIHOS-30000677,POSC CAESAR,RDS316754
CFIHOS-30000678,STEPLIB,251154
CFIHOS-30000678,ISO 15926 part4,3211
CFIHOS-30000678,POSC CAESAR,RDS935594
CFIHOS-30000679,ISO 14224:2016,EP
CFIHOS-30000679,POSC CAESAR,RDS18141154
CFIHOS-30000680,POSC CAESAR,RDS2224588
CFIHOS-30000681,ISO 15926 part4,10487
CFIHOS-30000681,STEPLIB,820928
CFIHOS-30000681,POSC CAESAR,RDS431279
CFIHOS-30000682,ISO 15926 part4,10472
CFIHOS-30000682,POSC CAESAR,RDS7018938
CFIHOS-30000683,STEPLIB,130108
CFIHOS-30000683,ISO 15926 part4,7622
CFIHOS-30000683,ISO 14224:2016,CE
CFIHOS-30000683,POSC CAESAR,RDS13068410
CFIHOS-30000684,STEPLIB,130177
CFIHOS-30000684,ISO 15926 part4,7875
CFIHOS-30000684,POSC CAESAR,RDS7191198
CFIHOS-30000685,STEPLIB,130281
CFIHOS-30000685,ISO 15926 part4,8280
CFIHOS-30000685,POSC CAESAR,RDS313289
CFIHOS-30000686,POSC CAESAR,RDS1299047481
CFIHOS-30000687,ISO 15926 part4,4514
CFIHOS-30000687,STEPLIB,70224
CFIHOS-30000687,ISO 14224:2016,IPLS
CFIHOS-30000687,POSC CAESAR,RDS462689
CFIHOS-30000688,ISO 15926 part4,4568
CFIHOS-30000688,STEPLIB,70841
CFIHOS-30000688,POSC CAESAR,RDS648404
CFIHOS-30000689,ISO 15926 part4,4585
CFIHOS-30000689,STEPLIB,70279
CFIHOS-30000689,POSC CAESAR,RDS1008989
CFIHOS-30000690,POSC CAESAR,RDS317159
CFIHOS-30000697,ISO 15926 part4,8653
CFIHOS-30000697,POSC CAESAR,RDS5785737
CFIHOS-30000698,ISO 15926 part4,8811
CFIHOS-30000698,ISO 14224:2016,HBHT
CFIHOS-30000698,POSC CAESAR,RDS2194378711
CFIHOS-30000699,POSC CAESAR,RDS1286904151
CFIHOS-30000706,POSC CAESAR,RDS276479
CFIHOS-30000708,ISO 15926 part4,8650
CFIHOS-30000708,POSC CAESAR,RDS282554
CFIHOS-30000710,POSC CAESAR,RDS414093041
CFIHOS-30000712,ISO 14224:2016,CI
CFIHOS-30000712,ISO 14224:2016,OIWI
CFIHOS-30000712,POSC CAESAR,RDS7170184
CFIHOS-30000713,POSC CAESAR,RDS1322424091
CFIHOS-30000714,ISO 14224:2016,FL
CFIHOS-30000715,ISO 14224:2016,CI
CFIHOS-30000717,ISO 14224:2016,CI
CFIHOS-30000717,ISO 14224:2016,OIWI
CFIHOS-30000718,POSC CAESAR,RDS16556883
CFIHOS-30000719,POSC CAESAR,RDS16705128
CFIHOS-30000719,ISO 14224:2016,TM
CFIHOS-30000720,POSC CAESAR,RDS287324
CFIHOS-30000721,POSC CAESAR,RDS13029500
CFIHOS-30000722,POSC CAESAR,RDS289439
CFIHOS-30000724,POSC CAESAR,RDS8641357
CFIHOS-30000725,POSC CAESAR,RDS16557063
CFIHOS-30000726,POSC CAESAR,RDS16553733
CFIHOS-30000727,ISO 15926 part4,2780
CFIHOS-30000727,POSC CAESAR,RDS281249
CFIHOS-30000728,ISO 15926 part4,3238
CFIHOS-30000728,POSC CAESAR,RDS875204
CFIHOS-30000730,POSC CAESAR,RDS13029359
CFIHOS-30000731,ISO 15926 part4,2374
CFIHOS-30000731,POSC CAESAR,RDS1026134
CFIHOS-30000732,STEPLIB,250612
CFIHOS-30000732,ISO 15926 part4,3461
CFIHOS-30000732,POSC CAESAR,RDS875159
CFIHOS-30000733,STEPLIB,251505
CFIHOS-30000733,ISO 15926 part4,2553
CFIHOS-30000733,POSC CAESAR,RDS869129
CFIHOS-30000734,STEPLIB,251409
CFIHOS-30000734,ISO 15926 part4,2770
CFIHOS-30000734,POSC CAESAR,RDS860534
CFIHOS-30000735,ISO 15926 part4,2774
CFIHOS-30000735,POSC CAESAR,RDS316439
CFIHOS-30000736,ISO 14224:2016,CS
CFIHOS-30000736,POSC CAESAR,RDS16700620
CFIHOS-30000737,POSC CAESAR,RDS16551297
CFIHOS-30000738,ISO 15926 part4,10354
CFIHOS-30000738,POSC CAESAR,RDS11142220
CFIHOS-30000739,ISO 15926 part4,10473
CFIHOS-30000739,POSC CAESAR,RDS5794370
CFIHOS-30000742,STEPLIB,71213
CFIHOS-30000743,STEPLIB,640064
CFIHOS-30000743,POSC CAESAR,RDS5762464
CFIHOS-30000745,STEPLIB,250118
CFIHOS-30000745,ISO 15926 part4,2654
CFIHOS-30000745,POSC CAESAR,RDS877859
CFIHOS-30000746,STEPLIB,250487
CFIHOS-30000746,ISO 15926 part4,3617
CFIHOS-30000746,POSC CAESAR,RDS877949
CFIHOS-30000747,ISO 15926 part4,4225
CFIHOS-30000747,STEPLIB,70016
CFIHOS-30000747,POSC CAESAR,RDS6569030
CFIHOS-30000748,ISO 15926 part4,4402
CFIHOS-30000748,POSC CAESAR,RDS5786237
CFIHOS-30000749,ISO 15926 part4,4741
CFIHOS-30000749,STEPLIB,70375
CFIHOS-30000749,POSC CAESAR,RDS648674
CFIHOS-30000750,ISO 15926 part4,4719
CFIHOS-30000750,POSC CAESAR,RDS5773110
CFIHOS-30000752,STEPLIB,100119
CFIHOS-30000752,ISO 14224:2016,HEP
CFIHOS-30000752,ISO 14224:2016,SH
CFIHOS-30000754,STEPLIB,100243
CFIHOS-30000754,ISO 15926 part4,3830
CFIHOS-30000754,POSC CAESAR,RDS11015765
CFIHOS-30000754,ISO 14224:2016,SH
CFIHOS-30000755,STEPLIB,100137
CFIHOS-30000755,ISO 15926 part4,3844
CFIHOS-30000755,ISO 14224:2016,HEST
CFIHOS-30000755,POSC CAESAR,RDS419084
CFIHOS-30000756,ISO 15926 part4,3805
CFIHOS-30000756,ISO 14224:2016,HBIF
CFIHOS-30000756,POSC CAESAR,RDS293264
CFIHOS-30000757,POSC CAESAR,RDS5767025
CFIHOS-30000758,ISO 15926 part4,8761
CFIHOS-30000758,POSC CAESAR,RDS43168252108
CFIHOS-30000759,ISO 15926 part4,8621
CFIHOS-30000759,POSC CAESAR,RDS304334
CFIHOS-30000800,ISO 15926 part4,1795
CFIHOS-30000800,POSC CAESAR,RDS779695261
CFIHOS-30000801,ISO 15926 part4,2332
CFIHOS-30000801,STEPLIB,251411
CFIHOS-30000801,POSC CAESAR,RDS962729
CFIHOS-30000802,POSC CAESAR,RDS284219
CFIHOS-30000803,ISO 15926 part4,2338
CFIHOS-30000803,POSC CAESAR,RDS876239
CFIHOS-30000804,ISO 15926 part4,2353
CFIHOS-30000804,STEPLIB,251558
CFIHOS-30000804,POSC CAESAR,RDS873359
CFIHOS-30000805,ISO 15926 part4,2354
CFIHOS-30000805,STEPLIB,250007
CFIHOS-30000805,ISO 14224:2016,EMAC
CFIHOS-30000805,POSC CAESAR,RDS472994
CFIHOS-30000806,POSC CAESAR,RDS5791066
CFIHOS-30000806,ISO 14224:2016,VABA
CFIHOS-30000807,ISO 15926 part4,10163
CFIHOS-30000807,POSC CAESAR,RDS416654
CFIHOS-30000807,ISO 14224:2016,VABA
CFIHOS-30000808,POSC CAESAR,RDS431594
CFIHOS-30000809,ISO 15926 part4,10189
CFIHOS-30000809,POSC CAESAR,RDS5791128
CFIHOS-30000809,ISO 14224:2016,VABP
CFIHOS-30000810,ISO 15926 part4,10190
CFIHOS-30000810,POSC CAESAR,RDS416609
CFIHOS-30000810,ISO 14224:2016,VABP
CFIHOS-30000811,ISO 14224:2016,DC
CFIHOS-30000812,ISO 15926 part4,10203
CFIHOS-30000812,ISO 14224:2016,DC
CFIHOS-30000812,POSC CAESAR,RDS292364
CFIHOS-30000812,ISO 14224:2016,VAES
CFIHOS-30000813,ISO 15926 part4,4275
CFIHOS-30000813,STEPLIB,70045
CFIHOS-30000813,POSC CAESAR,RDS878669
CFIHOS-30000814,POSC CAESAR,RDS432899
CFIHOS-30000815,ISO 15926 part4,10212
CFIHOS-30000815,ISO 14224:2016,VASC
CFIHOS-30000817,ISO 14224:2016,VADI
CFIHOS-30000818,ISO 15926 part4,10221
CFIHOS-30000818,POSC CAESAR,RDS421019
CFIHOS-30000818,ISO 14224:2016,VADI
CFIHOS-30000819,STEPLIB,250523
CFIHOS-30000820,STEPLIB,250120
CFIHOS-30000820,ISO 14224:2016,EMDC
CFIHOS-30000820,POSC CAESAR,RDS472949
CFIHOS-30000821,ISO 15926 part4,8520
CFIHOS-30000821,POSC CAESAR,RDS4316635584
CFIHOS-30000822,POSC CAESAR,RDS552689
CFIHOS-30000823,ISO 15926 part4,2709
CFIHOS-30000823,ISO 14224:2016,PTDT
CFIHOS-30000823,POSC CAESAR,RDS877994
CFIHOS-30000824,ISO 15926 part4,10249
CFIHOS-30000824,POSC CAESAR,RDS11142670
CFIHOS-30000824,ISO 14224:2016,VADC
CFIHOS-30000825,ISO 15926 part4,10250
CFIHOS-30000825,POSC CAESAR,RDS11142715
CFIHOS-30000825,ISO 14224:2016,VADC
CFIHOS-30000827,ISO 15926 part4,3751
CFIHOS-30000827,POSC CAESAR,RDS444779
CFIHOS-30000827,ISO 14224:2016,SH
CFIHOS-30000828,ISO 14224:2016,PR
CFIHOS-30000828,ISO 14224:2016,PRFL
CFIHOS-30000829,ISO 14224:2016,IPFS
CFIHOS-30000834,ISO 15926 part4,4430
CFIHOS-30000834,STEPLIB,71286
CFIHOS-30000834,POSC CAESAR,RDS1007639
CFIHOS-30000835,ISO 15926 part4,4433
CFIHOS-30000835,STEPLIB,71287
CFIHOS-30000835,POSC CAESAR,RDS1007684
CFIHOS-30000836,ISO 15926 part4,2900
CFIHOS-30000836,POSC CAESAR,RDS913544
CFIHOS-30000837,ISO 15926 part4,10302
CFIHOS-30000837,POSC CAESAR,RDS17079788
CFIHOS-30000837,ISO 14224:2016,VAGA
CFIHOS-30000838,ISO 15926 part4,10303
CFIHOS-30000838,POSC CAESAR,RDS416519
CFIHOS-30000838,ISO 14224:2016,VAGA
CFIHOS-30000839,ISO 15926 part4,10313
CFIHOS-30000839,POSC CAESAR,RDS5767330
CFIHOS-30000839,ISO 14224:2016,VAGL
CFIHOS-30000840,ISO 15926 part4,10314
CFIHOS-30000840,POSC CAESAR,RDS416204
CFIHOS-30000840,ISO 14224:2016,VAGL
CFIHOS-30000841,ISO 15926 part4,8601
CFIHOS-30000841,POSC CAESAR,RDS16042131
CFIHOS-30000841,ISO 14224:2016,VESE
CFIHOS-30000843,STEPLIB,130143
CFIHOS-30000843,ISO 15926 part4,7730
CFIHOS-30000843,POSC CAESAR,RDS407017331
CFIHOS-30000847,STEPLIB,70247
CFIHOS-30000848,ISO 14224:2016,VAMO
CFIHOS-30000849,ISO 14224:2016,VAMO
CFIHOS-30000850,ISO 15926 part4,10362
CFIHOS-30000850,POSC CAESAR,RDS6329980
CFIHOS-30000850,ISO 14224:2016,VAMO
CFIHOS-30000851,ISO 14224:2016,VANE
CFIHOS-30000852,ISO 15926 part4,10364
CFIHOS-30000852,POSC CAESAR,RDS421064
CFIHOS-30000852,ISO 14224:2016,VANE
CFIHOS-30000853,ISO 15926 part4,4578
CFIHOS-30000853,ISO 14224:2016,IPLS
CFIHOS-30000853,POSC CAESAR,RDS7945427
CFIHOS-30000854,ISO 15926 part4,3142
CFIHOS-30000854,POSC CAESAR,RDS913544
CFIHOS-30000856,ISO 15926 part4,10391
CFIHOS-30000856,ISO 14224:2016,VASP
CFIHOS-30000857,ISO 15926 part4,10395
CFIHOS-30000857,POSC CAESAR,RDS645794
CFIHOS-30000857,ISO 14224:2016,VACH
CFIHOS-30000858,ISO 14224:2016,IPFS
CFIHOS-30000859,ISO 15926 part4,10400
CFIHOS-30000859,POSC CAESAR,RDS5791353
CFIHOS-30000859,ISO 14224:2016,VAPG
CFIHOS-30000860,ISO 15926 part4,10402
CFIHOS-30000860,POSC CAESAR,RDS421109
CFIHOS-30000860,ISO 14224:2016,VAPG
CFIHOS-30000861,ISO 15926 part4,10419
CFIHOS-30000861,ISO 14224:2016,VASV
CFIHOS-30000862,STEPLIB,130217
CFIHOS-30000862,ISO 15926 part4,8023
CFIHOS-30000862,ISO 14224:2016,PURE
CFIHOS-30000862,POSC CAESAR,RDS420749
CFIHOS-30000863,ISO 14224:2016,PR
CFIHOS-30000863,ISO 14224:2016,PRRI
CFIHOS-30000864,STEPLIB,130231
CFIHOS-30000864,ISO 15926 part4,8046
CFIHOS-30000864,ISO 14224:2016,PORO
CFIHOS-30000864,POSC CAESAR,RDS420749
CFIHOS-30000866,ISO 15926 part4,10482
CFIHOS-30000866,POSC CAESAR,RDS873224
CFIHOS-30000867,ISO 14224:2016,HES
CFIHOS-30000867,ISO 14224:2016,SH
CFIHOS-30000869,ISO 15926 part4,8850
CFIHOS-30000869,POSC CAESAR,RDS283949
CFIHOS-30000870,STEPLIB,251433
CFIHOS-30000870,ISO 15926 part4,3451
CFIHOS-30000870,POSC CAESAR,RDS963719
CFIHOS-30000873,ISO 15926 part4,10522
CFIHOS-30000873,POSC CAESAR,RDS610424
CFIHOS-30000873,ISO 14224:2016,VACH
CFIHOS-30000874,ISO 15926 part4,3590
CFIHOS-30000874,POSC CAESAR,RDS876464
CFIHOS-30000875,ISO 15926 part4,8884
CFIHOS-30000875,POSC CAESAR,RDS431690821
CFIHOS-30000876,ISO 15926 part4,10605
CFIHOS-30000876,POSC CAESAR,RDS6327600
CFIHOS-30000876,ISO 14224:2016,VACH
CFIHOS-30000877,ISO 15926 part4,3146
CFIHOS-30000877,ISO 14224:2016,PTOT
CFIHOS-30000877,POSC CAESAR,RDS878309
CFIHOS-30000878,ISO 15926 part4,7180
CFIHOS-30000880,POSC CAESAR,RDS314774
CFIHOS-30000881,ISO 15926 part4,8921
CFIHOS-30000881,POSC CAESAR,RDS11525327
CFIHOS-30000882,POSC CAESAR,RDS297494
CFIHOS-30000883,POSC CAESAR,RDS467369
CFIHOS-30000885,ISO 15926 part4,1813
CFIHOS-30000885,POSC CAESAR,RDS444869
CFIHOS-30000887,ISO 14224:2016,PI
CFIHOS-30000887,POSC CAESAR,RDS1330900681
CFIHOS-30000889,POSC CAESAR,RDS1295560811
CFIHOS-30000890,ISO 14224:2016,ER
CFIHOS-30000891,ISO 15926 part4,3744
CFIHOS-30000891,POSC CAESAR,RDS440549
CFIHOS-30000892,POSC CAESAR,RDS1280056841
CFIHOS-30000894,ISO 15926 part4,3778
CFIHOS-30000894,POSC CAESAR,RDS441134
CFIHOS-30000895,ISO 15926 part4,4442
CFIHOS-30000896,POSC CAESAR,RDS304244
CFIHOS-30000897,ISO 15926 part4,4501
CFIHOS-30000898,ISO 15926 part4,8659
CFIHOS-30000901,POSC CAESAR,RDS306269
CFIHOS-30000905,POSC CAESAR,RDS1289777110
CFIHOS-30000908,ISO 15926 part4,7927
CFIHOS-30000908,POSC CAESAR,RDS412306721
CFIHOS-30000909,ISO 15926 part4,7255
CFIHOS-30000912,ISO 15926 part4,4711
CFIHOS-30000912,POSC CAESAR,RDS5761886
CFIHOS-30000915,ISO 15926 part4,7727
CFIHOS-30000915,POSC CAESAR,RDS380178235
CFIHOS-30000916,ISO 14224:2016,ER
CFIHOS-30000919,ISO 15926 part4,5339
CFIHOS-30000919,POSC CAESAR,RDS5789846
CFIHOS-30000921,ISO 14224:2016,ER
CFIHOS-30000922,POSC CAESAR,RDS1300122521
CFIHOS-30000923,ISO 15926 part4,3453
CFIHOS-30000926,POSC CAESAR,RDS1295511221
CFIHOS-30000927,POSC CAESAR,RDS1287915601
CFIHOS-30000928,POSC CAESAR,RDS1287915601
CFIHOS-30000930,POSC CAESAR,RDS291239
CFIHOS-30000930,ISO 14224:2016,TU
CFIHOS-30000931,ISO 14224:2016,FF
CFIHOS-30000933,ISO 15926 part4,8317
CFIHOS-30000934,ISO 14224:2016,FF
CFIHOS-30000935,POSC CAESAR,RDS1066600871
CFIHOS-30000938,ISO 15926 part4,7407
CFIHOS-30000938,POSC CAESAR,RDS13029297
CFIHOS-30000939,ISO 15926 part4,1811
CFIHOS-30000939,POSC CAESAR,RDS898262151
CFIHOS-30000940,ISO 15926 part4,8369
CFIHOS-30000940,POSC CAESAR,RDS11589940
CFIHOS-30000942,ISO 14224:2016,HP
CFIHOS-30000942,POSC CAESAR,RDS5800917
CFIHOS-30000943,ISO 15926 part4,4499
CFIHOS-30000943,POSC CAESAR,RDS5784405
CFIHOS-30000946,ISO 15926 part4,5214
CFIHOS-30000946,POSC CAESAR,RDS416294
CFIHOS-30000949,POSC CAESAR,RDS1300690551
CFIHOS-30000950,POSC CAESAR,RDS13016965
CFIHOS-30000951,ISO 15926 part4,4743
CFIHOS-30000951,POSC CAESAR,RDS5777698
CFIHOS-30000952,ISO 15926 part4,7268
CFIHOS-30000952,POSC CAESAR,RDS13050740
CFIHOS-30000953,POSC CAESAR,RDS1299021101
CFIHOS-30000955,POSC CAESAR,RDS312569
CFIHOS-30000956,POSC CAESAR,RDS17918239
CFIHOS-30000957,ISO 15926 part4,3615
CFIHOS-30000957,POSC CAESAR,RDS7124200
CFIHOS-30000959,ISO 15926 part4,9896
CFIHOS-30000962,ISO 15926 part4,10783
CFIHOS-30000964,ISO 15926 part4,10270
CFIHOS-30000964,POSC CAESAR,RDS328274
CFIHOS-30000965,ISO 15926 part4,11402
CFIHOS-30000965,POSC CAESAR,RDS288179
CFIHOS-30000967,ISO 15926 part4,2710
CFIHOS-30000967,POSC CAESAR,RDS475514
CFIHOS-30000969,ISO 15926 part4,18443
CFIHOS-30000969,POSC CAESAR,RDS1202849
CFIHOS-30000972,ISO 15926 part4,13967
CFIHOS-30000972,POSC CAESAR,RDS284759
CFIHOS-30000975,ISO 15926 part4,14719
CFIHOS-30000975,POSC CAESAR,RDS303614
CFIHOS-30000981,ISO 15926 part4,16387
CFIHOS-30000981,POSC CAESAR,RDS329399
CFIHOS-30000990,ISO 15926 part4,20504
CFIHOS-30000990,POSC CAESAR,RDS284849
CFIHOS-30000996,ISO 15926 part4,21015
CFIHOS-30000996,POSC CAESAR,RDS222261
CFIHOS-30001003,ISO 15926 part4,13854
CFIHOS-30001003,POSC CAESAR,RDS282239
CFIHOS-30001005,ISO 15926 part4,22862
CFIHOS-30001005,POSC CAESAR,RDS13119180
CFIHOS-30001008,ISO 15926 part4,4741
CFIHOS-30001008,POSC CAESAR,RDS648674
CFIHOS-30001009,ISO 15926 part4,13441
CFIHOS-30001009,POSC CAESAR,RDS485999
CFIHOS-30001032,POSC CAESAR,RDS417104
CFIHOS-40000001,POSC CAESAR,RDS373094
CFIHOS-40000062,STEPLIB,610865
