parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name
other mechanical equipment,CFIHOS-30000535,gear box,A physical object that is a casing with an arrangement of two or more gear-wheels transmitting rotating motion from the input shaft to the output shaft.,no,yes,,gearbox
other mechanical equipment,CFIHOS-30000537,hood,An enclosure intended to protect equipment from weather influences or to protect surroundings of equipment from equipment noise.,no,yes,,
vessel,CFIHOS-30000538,hydraulic cylinder,A cylinder where the piston is actuated by pressurized hydraulic fluid.,no,yes,,cylinder
motor,CFIHOS-30000539,hydraulic motor,A motor that is intended to generate power by means of high pressure oil.,no,yes,,
other mechanical equipment,CFIHOS-30000541,lubrication system,A system that provides lubricant to rotating or moving items.,no,no,,
mechanical equipment class,CFIHOS-30000542,mechanical seal,"A seal that comprises of a set of one or more rotating and stationary seal faces, together with auxiliary hardware, separated by a film of fluid intended to reduce flow loss around a rotating shaft to an acceptable level.",no,yes,,
other mechanical equipment,CFIHOS-30000543,mixer,A physical object intended to be used for fluid mixing processes typically a rotating piece of equipment comprised of a driver such as a motor which rotates an agitator immersed in the fluid(s) that need to be mixed.,yes,yes,,
engine,CFIHOS-30000544,petrol engine,An internal combustion engine that is an induction compression ignition exhaust engine which ignites a petrol air mixture with an electric spark.,no,yes,,
motor,CFIHOS-30000548,pneumatic motor,A motor that is driven by compressed gas. Typically air.,no,yes,,
damper,CFIHOS-30000549,pulsation damper,"A pressure vessel located in both pump- and compressor piping systems in order to reduce residual pulsation fluctuations, as a result of discontinue operation effects, within an allowable level specified.",no,yes,,
mechanical equipment class,CFIHOS-30000550,pump,"A physical object that adds or removes mechanical energy to a fluid, either constantly or periodically.",no,no,,
compressor,CFIHOS-30000551,reciprocating compressor,A positive displacement compressor in which forced reduction of gas volume takes place by the movement of a displacing element in a cylinder or enclosure.,no,no,,
compressor,CFIHOS-30000552,rotary compressor,A positive displacement compressor in which compression displacement is effected by the positive action of rotating elements.,no,no,,
piping and pipeline equipment,CFIHOS-30000555,spacer,A physical object that is intended to keep other physical objects at a predefined distance and hence having a spacer function.,no,no,,
turbine,CFIHOS-30000556,steam turbine,A thermodynamic turbine in which steam is made to do work by expanding so as to create kinetic energy by acting on moving blades attached to a disc or drum.,no,yes,,
other mechanical equipment,CFIHOS-30000557,torque converter,A fluid coupling intended to allow a smooth start of a driven equipment and then keeping a nearly constant speed.,no,yes,,
driver,CFIHOS-30000558,turbo expander,An expander of the turbine type used to reduce the pressure of a gas flow by leading it through a turbine rotor by which the recovered energy is transferred into rotational energy for either power generation or mechanical drive application.,no,yes,,axial turbo expander; centrifugal turbo expander
tool,CFIHOS-30000561,yoke,"A physical object that is an arched device intended to embrace two parts to hold or unite them in position, or to divide loads.",no,yes,,
conveyor,CFIHOS-30000562,belt conveyor,A conveyor that consists of a suitably tensioned endless belt made from hard wearing materials and arranged to run over rollers.,no,yes,,
conveyor,CFIHOS-30000563,chain conveyor,"A conveyor in which endless chains are used to support slats, apron, pans, buckets, as distinct from the use of single band.",no,yes,,
mechanical equipment class,CFIHOS-30000564,conveyor,A physical object for moving articles or bulk material from place to place (as by an endless moving belt or a chain of receptacles).,yes,no,,
tool,CFIHOS-30000565,cutter,"A physical object that is an instrument, machine, machine part, or tool that cuts.",no,yes,,
other mechanical equipment,CFIHOS-30000566,feeder,A closed transport device that is a gathering line tied into a trunk line.,no,yes,,
vehicle,CFIHOS-30000567,forklift truck,"A vehicle with power operated prongs that can be raised and lowered by will, for loading, transporting and unloading goods; chiefly used in factories and warehouses.",no,no,,
tool,CFIHOS-30000568,hydraulic press,A physical object that applies force for pressing by using fluid pressure for force multiplication.,no,yes,,
conveyor,CFIHOS-30000569,roller conveyor,"A conveyor comprising a series of closely spaced rollers set so that their crests can support articles to be conveyed. They may be power-driven, or freely revolving. Tapered rollers are used to form bends in the conveyor line.",no,yes,,
conveyor,CFIHOS-30000570,slat conveyor,A conveyor consisting of a series of slats generally made of metal or wood  attached to an endless chain.,no,yes,,
other mechanical equipment,CFIHOS-30000571,beam,A support that is a large and straight piece of normally timber or iron forming one of the main structural member of a building or supporting structure.,no,no,,
vessel,CFIHOS-30000572,coalescer,A gravity separator where two liquid substances separates and where the substance with the less gravity can be skimmed off.,no,yes,,
other mechanical equipment,CFIHOS-30000573,demister,A physical object intended to catch fluid droplets.,no,yes,,
other mechanical equipment,CFIHOS-30000574,electrostatic precipitator,A separator intended to separate material from a solution or suspension by electrostatic charge.,no,yes,,
other mechanical equipment,CFIHOS-30000575,filter,A separator intended to remove solids from vapour or liquid.,no,yes,,
other mechanical equipment,CFIHOS-30000576,filter cartridge,A filter element intended to collect particles from a stream in a filter or strainer.,no,yes,,
other mechanical equipment,CFIHOS-30000578,gas distributor,A distributor intended to distribute or redistribute a vapour.,no,no,,
other mechanical equipment,CFIHOS-30000579,gutter,A trough that is located along the eaves to catch and carry liquid.,no,no,,
other mechanical equipment,CFIHOS-30000580,hatch way door,"A hatch door used to provide and secure access into a void, vessel or riser. To enable maintenance or inspection.",no,no,,
separator,CFIHOS-30000581,hydro cyclone,A cyclone separator intended to separate a fluid by hydraulic forces.,no,yes,,hydrocyclone
other mechanical equipment,CFIHOS-30000582,ladder,"A physical object intended to provide access to a certain part or level of equipment, and that consists of rungs between two profiles.",no,no,,
mechanical equipment class,CFIHOS-30000583,lifting device,A physical object intended to lift or to enable lifting equipment or a part of equipment.,yes,no,,
lifting device,CFIHOS-30000584,lifting lug,A lug with a hole for a lifting hook intended to lift the item or a part of it.,no,no,,
piping and pipeline equipment,CFIHOS-30000585,pipe support,A support intended to support one or more pipes.,no,no,,
vessel,CFIHOS-30000586,process column,A vertical vessel intended to enable chemical reactions or physical processes utilising differences in density of fluids and/or forced flow of fluid.,no,no,,
other mechanical equipment,CFIHOS-30000587,scraper,A physical object intended to mechanically remove a deposit from a surface.,no,yes,,
process column,CFIHOS-30000588,scrubber,A distillation column intended to clean gas by washing the gas flow with water or with another liquid entering at the top of the vessel and sprayed in the gas. Typically to remove dust and small particles.,no,yes,,scrubber column
other mechanical equipment,CFIHOS-30000590,shell,A physical object that is a layer or surface with a shape in two dimensions and length in the third dimension surrounding a space. Typically the cylindrical part of a vessel.,no,yes,,
other mechanical equipment,CFIHOS-30000591,slug catcher,A catcher intended to catch and separate liquid slugs from a fluid stream.,no,yes,,
other mechanical equipment,CFIHOS-30000592,stripper,A distillation column intended to remove light components from a fluid.,no,yes,,
mechanical equipment class,CFIHOS-30000593,tank,A vessel intended to contain fluid for storage. Typically a receiving or collecting function for further distribution. Typically with a vertical and cylindrical or square shape and a flat or conical bottom.,yes,yes,,
mechanical equipment class,CFIHOS-30000594,vessel,A container intended for storage and/or processing of fluids.,yes,yes,,
marine,CFIHOS-30000595,buoy,A physical object that is a floating object made for various purposes.,no,yes,,
lifting device,CFIHOS-30000596,chain,"A mechanical cable that consist of series of interconnected links forming a flexible cable, used for sustaining a tensile load.",no,yes,,
lifting device,CFIHOS-30000597,crane,A lifting appliance that is a tower or derrick equipped with cables and pulleys that can lift or lower and move loads in multiple directions.,no,yes,,
lifting device,CFIHOS-30000598,elevator,A lift that has a chamber or compartment for moving personnel or goods.,no,yes,,
marine,CFIHOS-30000599,fender,A physical object that is a body intended to protect as a cushion (as a foam rubber or a wood float) between a boat and a dock or between two boats that lessens shocks and prevents chafing.,no,no,,
infrastructure,CFIHOS-30000600,helideck,A deck that is intended to provide a landing and take-off capability for helicopters.,no,no,,
boat,CFIHOS-30000601,life boat,A boat that is intended to rescue people in an emergency case.,no,yes,,
lifting device,CFIHOS-30000602,loading arm,"A physical object that is designed to load or unload products into or from vehicles, wagons or vessels at variable positions.",no,yes,,
lifting device,CFIHOS-30000603,rope,A mechanical cable that is a large stout cord of strands of fibres twisted or braided together.,no,no,,
lifting device,CFIHOS-30000604,trolley,A vehicle that is intended for transporting heavy loads.,no,yes,,
vehicle,CFIHOS-30000605,truck,"An motor vehicle that is long, low and open intended for carrying goods by road.",no,yes,,
mechanical equipment class,CFIHOS-30000606,vehicle,"A physical object that is any conveyance (usually wheel, e.g. a cart, lorry, motorcar, but also a sledge) for goods or passengers on land.",yes,no,,
general instrument,CFIHOS-30000607,actuator,A physical object for changing a signal into a corresponding movement.,no,yes,Identified as part of RDL Alignment Activity BP Tagging Specification,
IT and telecom equipment,CFIHOS-30000608,automatic identification system,An automatic tracking system used on ships and by vessel traffic services (VTS) for identifying and locating vessels.,no,no,Required by owner-operators BP Tagging Specification,
wall,CFIHOS-30000609,blast rated wall,A wall that is designed to retain its integrity against a defined blast loading and fire that may subsequently follow.,no,no,BP Tagging Specification,
piping and pipeline equipment,CFIHOS-30000610,buckle initiator,A structure to control the formation of lateral buckles along a pipeline or flowline.,no,yes,BP & Chevron Tagging Specification,
infrastructure,CFIHOS-30000611,bund wall,"A constructed retaining wall around storage where potentially polluting substances are handled, processed or stored, for the purposes of containing any unintended escape of material from that area until such time as remedial action can be taken.",no,no,BP & Shell Tagging Specification,bunding
electrical equipment class,CFIHOS-30000612,bus duct,"A physical object that is an assembly of busbar, bus duct enclosure, busbar insulation mounts etc.",no,yes,"missing from CFIHOS - in other OO RDLs BP, Chevron & Shell Tagging Specification",
IT and telecom equipment,CFIHOS-30000613,compass,"An instrument that indicates either a) magnetic bearings by alignment of its needle on the magnetic poles, or b) reference bearing by radio signal, or c) change of orientation in relation to a gyromaintained line.",no,no,Required by owner-operators BP Tagging Specification,
"health, safety and environment equipment class",CFIHOS-30000614,defibrillator,An artefact that is used to control fibrillation of the heart.,no,yes,"BP, Chevron & Shell Tagging Specification",AED equipment
piping and pipeline equipment,CFIHOS-30000615,diverter,A 'device' that is providing diversion of something from an expected course or direction.,no,yes,BP Tagging Specification,
electrical equipment class,CFIHOS-30000616,electrical reactor,A physical object that provides reactance in a circuit.,no,yes,"missing from CFIHOS - in other OO RDLs BP, Chevron & Shell Tagging Specification",reactor / inductor; current limiting reactor; current limiting device
electrical equipment class,CFIHOS-30000617,electrical switch,A switch that turns electrical current on and/or off.,no,yes,Required by owner-operators BP Tagging Specification,
IT and telecom equipment,CFIHOS-30000618,emergency position indicating radio beacon,A radio beacon in the mobile service the emissions of which are intended to facilitate search and rescue operations (EPIRB).,no,no,Required by owner-operators Shell Tagging Specification,
wall,CFIHOS-30000619,fire wall,A wall which is also a fire divider.,no,no,BP Tagging Specification,
other mechanical equipment,CFIHOS-30000620,hvac duct,"A large sheet-metal duct or casing through which air is passed for forced-draught, ventilation or air-conditioning purposes.",no,yes,BP Tagging Specification,
lifting device,CFIHOS-30000622,lifting jack,"A lifting device, usually portable, for lifting heavy weights by force acting from below; in the commonest form, having a rack and a pinion wheel or screw and a handle turned by hand.",no,no,Required by owner-operators BP Tagging Specification,
switchgear and controlgear,CFIHOS-30000623,motor control centre,A switchgear and controlgear that houses motor starters to control electric motors.,no,yes,"missing from CFIHOS - in other OO RDLs BP, Chevron & Shell Tagging Specification",MCC; motor control center
damper,CFIHOS-30000624,pressure relief damper,A gas flow damper that is used to relieve built-up pressure in a duct system to prevent damage to HVAC equipment.,no,yes,"Required by owner-operators BP, Chevron & Shell Tagging Specification",
IT and telecom equipment,CFIHOS-30000626,radar,"A physical object for detecting the presence of objects at a distance, or ascertaining their position or motion, by transmitting short radio waves and detecting or measuring their return after being reflected.",no,yes,"Required by owner-operators BP, Chevron & Shell Tagging Specification",
IT and telecom equipment,CFIHOS-30000627,radio beacon,"A radio transmitter, usually non-directional, that emits identifiable signals intended for radio direction-finding.",no,yes,BP Tagging Specification,
electrical equipment class,CFIHOS-30000629,slip ring,"A ring of conducting material which is attached to and rotates with a shaft, so that the electric current may be transferred to a stationary circuit through a fixed brush pressing against it.",no,no,Required by owner-operators BP Tagging Specification,
mixer,CFIHOS-30000630,static mixer,A physical object that is intended to mix fluid by means of diverging the flow with static obstacles or by increasing locally the velocity.,no,yes,BP & Chevron Tagging Specification,
marine,CFIHOS-30000631,thruster,A physical object that includes a water jet or propeller used on vessels intended to provide a means to move the vessel sideways for maintaining the vessel's position without anchors.,no,yes,BP Tagging Specification,
infrastructure,CFIHOS-30000632,wall,Which is flat and typically vertical suitable for separation.,yes,no,Add to maintain hierarchy,
pressure relief device,CFIHOS-30000634,vacuum relief valve,A relief valve that is used for pressure compensation purposes by admitting (letting in) a pressure to prevent that vacuum is forming when filling or emptying a system.,no,yes,"Identified as part of RDL Alignment Activity BP, Chevron & TOTAL Tagging Specification",
valve,CFIHOS-30000636,check valve,A valve that permits fluid to flow in one direction only.,no,yes,"Added to maintain hierarchy Chevron, Shell & TOTAL Tagging Specification",
other mechanical equipment,CFIHOS-30000637,compensator,A device compensating for axial or radial movement between two elements that is connected.,no,no,Required by owner-operators BP Tagging Specification,heave compensator
valve,CFIHOS-30000638,control valve,"A valve that can be used to modify (regulate) the fluid flow rate in a process control system. It usually includes an actuator, which responds to a signal from the controlling system and changes the position of the flow controlling element in the valve.",no,no,"Identified as part of RDL Alignment Activity BP, Chevron, Shell & Total Tagging Specification",actuated modulating valve; actuated valve - control; actuated valve
control valve,CFIHOS-30000639,deluge valve,"A control valve that is intended to operate at high temperature, and admit water into a deluge system.",no,yes,Identified as part of RDL Alignment Activity Chevron & Shell Tagging Specification,
instrument equipment,CFIHOS-30000640,detector,"A physical object that is an assembly of a sensing element and necessary ancillary devices making it able of detecting a state, e.g. pressure, temperature, or detect the presence of a selected substance, and produce a signal based on the detection.",yes,no,"Owner Operator RDL Alignment BP, Chevron, Shell & Total Tagging Specification",
general instrument,CFIHOS-30000641,electronic circuit board,"A physical object that comprises a printed circuit board with electronic components intended for receive, process/transform and transmit electrical signals.",no,yes,BP Tagging Specification,circuit board
transmitter,CFIHOS-30000643,flow transmitter,A flow transmitter providing an output signal that is proportional to the flow inputs from a flow element.,no,no,"Owner Operator RDL Alignment BP, Chevron, Shell & Total Tagging Specification",
miscellaneous equipment,CFIHOS-30000644,galley equipment,An 'equipment class' that is a class of devices whose members normally is a part of the outfitting of a galley.,no,no,Required by owner-operators BP Tagging Specification,food processing equipment; kitchen equipment
transmitter,CFIHOS-30000646,level transmitter,A transmitter that produces a continuous standardized output signal dependent of a received input signal from a level sensor.,no,no,"Owner Operator RDL Alignment BP, Chevron, Shell & Total Tagging Specification",
valve,CFIHOS-30000649,manual valve,A valve that is regulated with hand power.,no,no,"Identified as part of RDL Alignment Activity BP, Chevron, Shell & Total Tagging Specification",hand operated valve; manual operated valve; piping valve
damper,CFIHOS-30000650,non-return damper,A gas flow damper that prevents back flow in a duct.,no,yes,Required by owner-operators BP & Shell Tagging Specification,
miscellaneous equipment,CFIHOS-30000652,physical access control equipment,"Physical access control equipment and/or systems intended to regulate or control entry into and/or exit from a controlled area, protected area or a restricted area.",no,no,Required by owner-operators BP Tagging Specification,access control turnstile
valve,CFIHOS-30000653,pressure relief device,A fluid regulator that relieves pressure from an enclosed space when the pressure reaches a predetermined value.,yes,no,"Identified as part of RDL Alignment Activity BP, Chevron & Shell Tagging Specification",
transmitter,CFIHOS-30000654,pressure transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a pressure element.,no,no,"Owner Operator RDL Alignment BP, Chevron, Shell & Total Tagging Specification",
nozzle,CFIHOS-30000655,process nozzle,A nozzle intended to enable transfer of process material.,no,yes,TOTAL Tagging Specification,
infrastructure,CFIHOS-30000656,riser support,A support connecting a riser to a structure.,no,yes,BP Tagging Specification,riser tower
nozzle,CFIHOS-30000657,spray nozzle,A nozzle where liquid is introduced under pressure.,no,yes,BP & TOTAL Tagging Specification,
IT and telecom equipment,CFIHOS-30000658,telecom gateway,"In a communications network, a network node equipped for interfacing with another network that uses different protocols.",no,no,"Required by owner-operators BP, Shell & TOTAL Tagging Specification",media gateway
IT and telecom equipment,CFIHOS-30000659,termination panel,An 'artefact' intended for the termination of cables.,no,no,"Required by owner-operators BP, Chevron & TOTAL Tagging Specification",patch panel
class,CFIHOS-30000660,valve,"A fluid regulator that can be used to control (i.e. permit, obstruct, regulate or divert) a fluid stream.",yes,no,Added to maintain hierarchy,
instrument equipment,CFIHOS-30000661,transmitter,A physical object that is an element that receives a process variable signal from a sensor and converts it into an output signal.,yes,no,"Owner Operator RDL Alignment BP, Chevron, Shell & Total Tagging Specification",
instrument equipment,CFIHOS-30000662,flow totalizer,A totalizer that adds up flow measurements.,no,yes,Owner Operator RDL Alignment Chevron & Total Tagging Specification,
instrument equipment,CFIHOS-30000663,signal converter,An electric signal transducer that is intended to convert one type of standardized transmission signal into another.,no,no,"Owner Operator RDL Alignment BP, Chevron & TOTAL Tagging Specification",
instrument equipment,CFIHOS-30000664,orifice plate,A physical object that is a thin plate with a specified hole in the middle. It is usually placed in a pipe to measure the rate of fluid flow.,yes,no,Owner Operator RDL Alignment Hierarchy consistency,
instrument equipment,CFIHOS-30000665,detecting element,A physical object that is the primary element of a measuring chain which converts the input variable into a signal suitable for measurement.,yes,no,Owner Operator RDL Alignment Hierarchy consistency,instrument element; sensing element
instrument equipment,CFIHOS-30000666,controller,A regulator that operates automatically to affect a controlled variable by comparing the value of the controlled variable with the value of a reference variable in order to reduce the difference between them.,no,no,"Build Hierarchy BP, Chevron, Shell & Total Tagging Specification",local controller
class,CFIHOS-30000667,drilling equipment,Equipment intended to enable the drilling of holes. Typically in the earth for oil and/or gas production.,yes,no,hierarchy consistency,
drilling equipment,CFIHOS-30000670,pipe doping machine,A device that is designed for easy washing and dope application of drill pipe threads and collar threads.,no,yes,BP Tagging Specification,
detecting element,CFIHOS-30000671,flow element,A detecting element that is producing a signal that is proportional to a flow rate.,no,yes,Owner Operator RDL Alignment Hierarchy consistency,flow sensor
detecting element,CFIHOS-30000672,level element,A detecting element that is intended to determine a level.,no,no,Owner Operator RDL Alignment Hierarchy consistency,level sensor
detecting element,CFIHOS-30000673,pressure element,A detecting element intended to sense pressure.,no,yes,Owner Operator RDL Alignment Hierarchy consistency,pressure sensor
detecting element,CFIHOS-30000674,temperature element,A detecting element intended to sense temperature.,no,yes,Owner Operator RDL Alignment Hierarchy consistency,temperature sensing element
instrument equipment,CFIHOS-30000675,gauge,A detecting instrument that is used for measuring or testing.,yes,no,Owner Operator RDL Alignment Hierarchy consistency,
instrument equipment,CFIHOS-30000676,control switch,A switch intended to switch or give an on/off signal when the measured variable has reached a pre-set value.,yes,no,Owner Operator RDL Alignment Hierarchy consistency,functional switch; instrument switch
control switch,CFIHOS-30000677,level switch,A functional switch that is intended to give an on/off signal when particulate material or fluid level have reached a pre-set value.,no,yes,Owner Operator RDL Alignment Hierarchy consistency,
control switch,CFIHOS-30000678,position switch,"A pilot switch the actuating system of which is operated by a moving part of a machine, when this part reaches a predetermined position.",no,yes,Owner Operator RDL Alignment Hierarchy consistency,
subsea instrument equipment,CFIHOS-30000679,subsea distribution unit,"An artefact where hydraulics, chemicals, electrical power and signals are distributed from the main umbilicals to different subsea systems.",no,yes,missing from CFIHOS - in other OO RDLs BP & TOTAL Tagging Specification,subsea distribution module
drilling equipment,CFIHOS-30000680,iron roughneck,"An integral part of the drilling process, iron roughnecks connect and disconnect drill pipe. Whether pipe is being fed into the wellbore or it is being taken out, the iron roughneck uses a rotary table and torque wrench(es) to make up or break down pipe.",no,yes,BP Tagging Specification,
control valve,CFIHOS-30000681,solenoid valve,A valve that has linear action which is fitted with a solenoid for quick operation.,no,yes,"Identified as part of RDL Alignment Activity BP, Chevron, Shell & Total Tagging Specification",solenoid operated valve
valve,CFIHOS-30000682,self operating valve,"A valve that includes a means of operation (e.g. spring / gravity / fluid pressure / counter balance), and is not depending on an external source of energy.",no,yes,"Identified as part of RDL Alignment Activity BP, Chevron, Shell & Total Tagging Specification",self actuating valve; self acting valve; regulator; self regulating valve
driver,CFIHOS-30000683,engine,An internal combustion engine that is an induction compression ignition exhaust engine which ignites a fuel air mixture.,no,yes,Assist with hierarchy,
driver,CFIHOS-30000684,motor,A device that generates rotational kinetic energy.,yes,no,Assist with hierarchy,
driver,CFIHOS-30000685,turbine,A physical object that is intended to rotate within a fluid and to transform energy within a fluid into mechanical power.,no,no,Assist with hierarchy,
detector,CFIHOS-30000686,dust detector,"A 'detector' for measuring the velocity, mass, charge, flight direction, and number of dust particles in space.",no,yes,Requested by BP,
gauge,CFIHOS-30000687,level gauge,A gauge that is intended to display a representation of a measured level.,no,no,Owner Operator RDL Alignment,
detecting element,CFIHOS-30000688,multiphase meter,A flow meter for the metering a mixture of two or more fluid phases.,no,yes,Owner Operator RDL Alignment,
detector,CFIHOS-30000689,oil mist detector,A mist detector that is intended to detect oil mist.,no,yes,Owner Operator RDL Alignment,
control switch,CFIHOS-30000690,speed switch,A switch intended to give a on/off signal when the speed have reached a pre-set value.,no,yes,Requested by ExxonMobil as part of owner operators alignment,
vessel,CFIHOS-30000697,knock out drum,A drum intended to separate relatively small quantities of liquid from a vapour stream.,no,no,missing from CFIHOS - in other OO RDLs,knock out vessel; knock out pot; foam trap; defoamer tank
vessel,CFIHOS-30000698,separator,A 'device' intended to separate different types of substances.,no,yes,missing from CFIHOS - in other OO RDLs,
class,CFIHOS-30000699,subsea equipment class,An 'equipment class' that is a class whose members are used in conjunction with subsea or subaquatic installations and/or operations.,yes,no,missing from CFIHOS - in other OO RDLs,subaquatic
subsea equipment class,CFIHOS-30000700,subsea infrastructure,Subsea equipment class that contains classes of artefacts which are infrastructure equipment.,yes,no,missing from CFIHOS - in other OO RDLs,
subsea equipment class,CFIHOS-30000701,subsea instrument equipment,Subsea or subaquatic equipment class that contains classes of artefacts which are instrumentation equipment.,yes,no,missing from CFIHOS - in other OO RDLs,
subsea tool,CFIHOS-30000702,subsea intervention and installation tool,Device or remotely operated tool deployed by an intervention system to mate or interface with an intervention fixture.,yes,no,missing from CFIHOS - in other OO RDLs,subsea intervention tool
subsea equipment class,CFIHOS-30000703,subsea mechanical equipment,Subsea or subaquatic equipment class that contains classes of artefacts which are mechanical equipment.,yes,no,missing from CFIHOS - in other OO RDLs,
subsea infrastructure,CFIHOS-30000704,subsea structure,Subsea infrastructure class that contains classes of artefacts which are structures.,yes,no,missing from CFIHOS - in other OO RDLs,
subsea equipment class,CFIHOS-30000705,subsea tool,A device that is made as a tool to be used for a subsea or subaquatic purpose.,yes,no,missing from CFIHOS - in other OO RDLs,
subsea instrument equipment,CFIHOS-30000706,chemical injection unit,"An injection system which provides service for injection of inhibitors etc. into the process. Serves as utility for make-up purposes of water, products and when required by process.",no,yes,missing from CFIHOS - in other OO RDLs,
subsea instrument equipment,CFIHOS-30000707,flying lead,"Flying Leads are used to link connections between subsea structures such as manifolds, trees, Umbilical Termination Units and Subsea Distribution Units.",no,yes,missing from CFIHOS - in other OO RDLs,
subsea structure,CFIHOS-30000708,jacket structure,A functional unit which is consisting of a bottom founded framework structure with three or more legs.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea structure,CFIHOS-30000709,mid-water arch,Structure used to support and restrain flexible risers.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea instrument equipment,CFIHOS-30000710,piping purge unit,A piping system that is situated within the frame and distributes purge gas inside the frame.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea tool,CFIHOS-30000711,sample vessel,"Container in which the sample is collected, stored, and transported to the analytical equipment.",no,yes,missing from CFIHOS - in other OO RDLs,sample cylinder
subsea intervention and installation tool,CFIHOS-30000712,subsea bore protector,A wear bushing that is run into and set in the wellhead or christmas tree to protect the inside wall against wear from the drill bit and drill pipe during drilling operations.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea instrument equipment,CFIHOS-30000713,subsea distributed temperature sensing fiber optic pod,A 'fibre optic pod' for use in a Distributed Temperature Sensing (DTS) system.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea mechanical equipment,CFIHOS-30000714,subsea flexible flowline,"Flexible pipe, wholly or in part, resting on the seafloor or buried below the seafloor, and used in a static application.",no,no,missing from CFIHOS - in other OO RDLs,
subsea intervention and installation tool,CFIHOS-30000715,subsea hanger recovery,Tools or devices that enable the installation and/or retrieval of a subsea casing hanger.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea infrastructure,CFIHOS-30000716,subsea hang-off and pull assembly,Assembly used to attach umbilicals to host structure.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea intervention and installation tool,CFIHOS-30000717,subsea installation workover control,"System that controls and monitors the deployment, the operation and the retrieval of subsea production equipment and is used during installation, workover, and intervention of a single subsea tree from a moored or dynamically positioned deepwater mobile offshore drilling unit (MODU) or multi-service vessel (MSV).",no,yes,missing from CFIHOS - in other OO RDLs,
subsea mechanical equipment,CFIHOS-30000718,subsea jumper,An artefact for connecting a well or a manifold to a subsea flowline.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea structure,CFIHOS-30000719,subsea manifold support frame,A frame that is a structural framework to provide strength and protection for a subsea manifold.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea infrastructure,CFIHOS-30000720,subsea mudmat,A device intended to prevent excessive jacket penetration into the soil.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea structure,CFIHOS-30000721,subsea pipeline crossing support,A pipeline crossing which is subsea and located above or below a specific object or geographic feature.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea structure,CFIHOS-30000722,subsea protection structure,"The protection structure that covers the subsea equipment (template, manifold, trees, etc. ) to protect the equipment from third party damages as e.g. dropped objects, anchors or trawl equipment.",no,yes,missing from CFIHOS - in other OO RDLs,
subsea tool,CFIHOS-30000723,subsea remote operated tool,"Dedicated, unmanned, subsea or subaquatic tools used for installation and inspection, maintenance, and repair (IMR) tasks that require a handling capacity beyond that of free-swimming ROV systems.",no,yes,missing from CFIHOS - in other OO RDLs,
subsea tool,CFIHOS-30000724,subsea remotely operated vehicle,A submarine or subaquatic ROV which is a nearly neutral buoyancy submarine that is manipulated from a surface platform by an umbilical.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea instrument equipment,CFIHOS-30000725,subsea umbilical,An umbilical for subsea or subaquatic use between a surface platform and subaquatic equipment or installation.,no,yes,missing from CFIHOS - in other OO RDLs,
subsea instrument equipment,CFIHOS-30000726,umbilical termination assembly,"A termination head for a umbilical, having means for aligning fluid, electrical and optical lines to a mating assembly.",no,yes,missing from CFIHOS - in other OO RDLs,
electrical equipment class,CFIHOS-30000727,electrical isolator,An isolator that isolates electrical conductors.,no,yes,missing from CFIHOS - in other OO RDLs,
relay,CFIHOS-30000728,protection relay,"A measuring relay that, either solely or in combination with other relays, is a constituent of a protection equipment.",no,yes,missing from CFIHOS - in other OO RDLs,protective relay
switchgear and controlgear,CFIHOS-30000729,ring main unit,"A physical object that is a totally sealed, gas-insulated compact switchgear unit. The primary switching devices can be either switch disconnectors or fused switch disconnectors or circuit breakers.",no,yes,missing from CFIHOS - in other OO RDLs,electrical ring main unit
electrical equipment class,CFIHOS-30000731,automatic switching equipment,A physical object that is automatic and designed to initiate the operation of circuit-breakers and/or disconnectors in a substation according to a specific programme.,no,yes,missing from CFIHOS - in other OO RDLs,transfer switch; ATS; electrical transfer switch
electrical equipment class,CFIHOS-30000732,surge protection,A physical object that is protecting against a large but momentary increase in the voltage of an electric circuit.,no,yes,missing from CFIHOS - in other OO RDLs,surge arrestor; lightning arrestor; surge protection device
electrical equipment class,CFIHOS-30000733,capacitor,A physical object that stores electricity during part of an operation.,no,yes,missing from CFIHOS - in other OO RDLs,
electrical equipment class,CFIHOS-30000734,electrical connector,A connector for holding two parts of a conductor in intimate contact.,no,yes,missing from CFIHOS - in other OO RDLs,
electrical equipment class,CFIHOS-30000735,electrical distribution unit,An electrical conductor that has several power distribution points.,no,yes,missing from CFIHOS - in other OO RDLs,distributer frame; distribution frame
subsea instrument equipment,CFIHOS-30000736,subsea control module,A control module that is used to control a subsea production system.,no,no,Required by owner-operators,
