tag class CFIHOS unique code,tag class name,equipment class CFIHOS unique code,equipment class name,tag or equipment class relationship reason for mapping
CFIHOS-30000713,subsea distributed temperature sensing fiber optic pod,CFIHOS-30000713,subsea distributed temperature sensing fiber optic pod,
CFIHOS-30000679,subsea distribution unit,CFIHOS-30000679,subsea distribution unit,
CFIHOS-30000714,subsea flexible flowline,CFIHOS-30000714,subsea flexible flowline,
CFIHOS-30000737,subsea guide base,CFIHOS-30000737,subsea guide base,
CFIHOS-30000716,subsea hang-off and pull assembly,CFIHOS-30000716,subsea hang-off and pull assembly,
CFIHOS-30000715,subsea hanger recovery,CFIHOS-30000715,subsea hanger recovery,
CFIHOS-30000717,subsea installation workover control,CFIHOS-30000717,subsea installation workover control,
CFIHOS-30000718,subsea jumper,CFIHOS-30000718,subsea jumper,
CFIHOS-30000719,subsea manifold support frame,CFIHOS-30000719,subsea manifold support frame,
CFIHOS-30000720,subsea mudmat,CFIHOS-30000720,subsea mudmat,
CFIHOS-30000721,subsea pipeline crossing support,CFIHOS-30000721,subsea pipeline crossing support,
CFIHOS-30000953,subsea power and communication unit,CFIHOS-30000953,subsea power and communication unit,
CFIHOS-30000722,subsea protection structure,CFIHOS-30000722,subsea protection structure,
CFIHOS-30000723,subsea remote operated tool,CFIHOS-30000723,subsea remote operated tool,
CFIHOS-30000724,subsea remotely operated vehicle,CFIHOS-30000724,subsea remotely operated vehicle,
CFIHOS-30000954,subsea suction pile,CFIHOS-30000954,subsea suction pile,
CFIHOS-30000725,subsea umbilical,CFIHOS-30000725,subsea umbilical,
CFIHOS-30000254,sump,CFIHOS-30000254,sump,
CFIHOS-30001003,superstructure,CFIHOS-30001003,superstructure,
CFIHOS-30001004,surface water collection system,CFIHOS-30001004,surface water collection system,
CFIHOS-30000732,surge protection,CFIHOS-30000732,surge protection,
CFIHOS-30000873,swing check valve,CFIHOS-30000873,swing check valve,
CFIHOS-30000369,switchboard,CFIHOS-30000369,switchboard,
CFIHOS-30000370,switchgear and controlgear,CFIHOS-30000370,switchgear and controlgear,
CFIHOS-30000255,swivel joint,CFIHOS-30000255,swivel joint,
CFIHOS-30000925,system panel,CFIHOS-30000925,system panel,
CFIHOS-30000593,tank,CFIHOS-30000593,tank,
CFIHOS-30000955,tap,CFIHOS-30000955,tap,
CFIHOS-30000257,tape drive,CFIHOS-30000257,tape drive,
CFIHOS-30000658,telecom gateway,CFIHOS-30000658,telecom gateway,
CFIHOS-30000371,telephone,CFIHOS-30000371,telephone,
CFIHOS-30000372,temperature detector,CFIHOS-30000372,temperature detector,
CFIHOS-30000674,temperature element,CFIHOS-30000463,resistance temperature element,
CFIHOS-30000674,temperature element,CFIHOS-30000478,thermocouple,
CFIHOS-30000473,temperature gauge,CFIHOS-30000473,temperature gauge,
CFIHOS-30000258,temperature instrument,CFIHOS-30000258,temperature instrument,
CFIHOS-30000474,temperature regulator,CFIHOS-30000474,temperature regulator,
CFIHOS-30000475,temperature switch,CFIHOS-30000475,temperature switch,
CFIHOS-30000476,temperature transmitter,CFIHOS-30000476,temperature transmitter,
CFIHOS-30000659,termination panel,CFIHOS-30000659,termination panel,
CFIHOS-30000477,thermal conductivity analyser,CFIHOS-30000477,thermal conductivity analyser,
CFIHOS-30000259,thermal flow element,CFIHOS-30000259,thermal flow element,
CFIHOS-30000478,thermocouple,CFIHOS-30000478,thermocouple,
CFIHOS-30001028,thermoelectric generator,CFIHOS-30001028,thermoelectric generator,Required by owner-operators
CFIHOS-30000373,thermostatic switch,CFIHOS-30000373,thermostatic switch,
CFIHOS-30000479,thermowell,CFIHOS-30000479,thermowell,
CFIHOS-30000631,thruster,CFIHOS-30000631,thruster,
CFIHOS-30000374,thyristor,CFIHOS-30000374,thyristor,
CFIHOS-30000480,timer,CFIHOS-30000480,timer,
CFIHOS-30000928,top drive drilling system,CFIHOS-30000927,top drive,
CFIHOS-30000557,torque converter,CFIHOS-30000557,torque converter,
CFIHOS-30001029,tote tank,CFIHOS-30001029,tote tank,Required by owner-operators
CFIHOS-30000929,tractor,CFIHOS-30000929,tractor,
CFIHOS-30000263,trailer,CFIHOS-30000263,trailer,
CFIHOS-30000362,transformer,CFIHOS-30000823,dry transformer,
CFIHOS-30000362,transformer,CFIHOS-30000877,wet transformer,
CFIHOS-30000481,transponder,CFIHOS-30000481,transponder,
CFIHOS-30000956,tree cap,CFIHOS-30000956,tree cap,
CFIHOS-30001005,trench,CFIHOS-30001005,trench,
CFIHOS-30000375,trip amplifier,CFIHOS-30000375,trip amplifier,
CFIHOS-30001030,trip and throttle valve,CFIHOS-30001030,trip and throttle valve,Required by owner-operators
CFIHOS-30000604,trolley,CFIHOS-30000604,trolley,
CFIHOS-30000605,truck,CFIHOS-30000605,truck,
CFIHOS-30000507,tubing hanger,CFIHOS-30000507,tubing hanger,
CFIHOS-30000685,turbine,CFIHOS-30000534,gas turbine,
CFIHOS-30000685,turbine,CFIHOS-30000843,hydraulic turbine,
CFIHOS-30000685,turbine,CFIHOS-30000556,steam turbine,
CFIHOS-30000482,turbine flow meter,CFIHOS-30000482,turbine flow meter,
CFIHOS-30000558,turbo expander,CFIHOS-30000558,turbo expander,
CFIHOS-30000930,turret,CFIHOS-30000930,turret,
CFIHOS-30001006,tv access plug,CFIHOS-30001006,tv access plug,
CFIHOS-30000931,twin agent skid,CFIHOS-30000931,twin agent skid,
CFIHOS-30000483,ultrasonic flow meter,CFIHOS-30000483,ultrasonic flow meter,
CFIHOS-30000266,ultrasonic level element,CFIHOS-30000266,ultrasonic level element,
CFIHOS-30000484,ultrasonic level transmitter,CFIHOS-30000484,ultrasonic level transmitter,
CFIHOS-30000267,umbilical,CFIHOS-30000267,umbilical,
CFIHOS-30000726,umbilical termination assembly,CFIHOS-30000726,umbilical termination assembly,
CFIHOS-30001031,underground storage tank,CFIHOS-30001031,underground storage tank,Required by owner-operators
CFIHOS-30000376,ups unit,CFIHOS-30000376,ups unit,
CFIHOS-30000268,UV sterilizer,CFIHOS-30000268,UV sterilizer,
CFIHOS-30000485,v-cone flow meter,CFIHOS-30000485,v-cone flow meter,
CFIHOS-30000874,vacuum circuit-breaker,CFIHOS-30000874,vacuum circuit-breaker,
CFIHOS-30000875,vacuum column,CFIHOS-30000875,vacuum column,
CFIHOS-30001032,vacuum pump,CFIHOS-30001032,vacuum pump,Required by owner-operators
CFIHOS-30000634,vacuum relief valve,CFIHOS-30000634,vacuum relief valve,
CFIHOS-30000271,vapour pressure analyser,CFIHOS-30000271,vapour pressure analyser,
CFIHOS-30000377,variable speed drive unit,CFIHOS-30000377,variable speed drive unit,
CFIHOS-30001007,vault,CFIHOS-30001007,vault,
CFIHOS-30000932,vent head,CFIHOS-30000496,pipe,
CFIHOS-30000486,venturi tube,CFIHOS-30000486,venturi tube,
CFIHOS-30001033,vibrating conveyor,CFIHOS-30001033,vibrating conveyor,Required by owner-operators
CFIHOS-30000487,vibration element,CFIHOS-30000487,vibration element,
CFIHOS-30000273,vibration switch,CFIHOS-30000273,vibration switch,
CFIHOS-30000378,vibration transmitter,CFIHOS-30000378,vibration transmitter,
CFIHOS-30000274,video converter,CFIHOS-30000274,video converter,
CFIHOS-30000275,video monitor,CFIHOS-30000275,video monitor,
CFIHOS-30000488,video recorder,CFIHOS-30000488,video recorder,
CFIHOS-30001008,viewport,CFIHOS-30001008,viewport,
CFIHOS-30000489,viscosity analyser,CFIHOS-30000489,viscosity analyser,
CFIHOS-30000957,voltage regulator,CFIHOS-30000957,voltage regulator,
CFIHOS-30000490,voltage to current converter,CFIHOS-30000490,voltage to current converter,
CFIHOS-30000746,voltage transformer,CFIHOS-30000746,voltage transformer,
CFIHOS-30000276,voltage transmitter,CFIHOS-30000276,voltage transmitter,
CFIHOS-30000491,vortex flow meter,CFIHOS-30000491,vortex flow meter,
CFIHOS-30000876,wafer check valve,CFIHOS-30000876,wafer check valve,
CFIHOS-30000278,waste compactor,CFIHOS-30000278,waste compactor,
CFIHOS-30000279,water cooler,CFIHOS-30000279,water cooler,
CFIHOS-30000280,water desalination system,CFIHOS-30000280,water desalination system,
CFIHOS-30000281,water maker,CFIHOS-30000281,water maker,
CFIHOS-30000934,water mist skid,CFIHOS-30000934,water mist skid,
CFIHOS-30000633,watercraft,CFIHOS-30000881,barge,
CFIHOS-30000633,watercraft,CFIHOS-30000902,marine vessel,
CFIHOS-30000380,weight transmitter,CFIHOS-30000380,weight transmitter,
CFIHOS-30000381,welding set,CFIHOS-30000381,welding set,
CFIHOS-30000283,well,CFIHOS-30000283,well,
CFIHOS-30000284,wellhead,CFIHOS-30000284,wellhead,
CFIHOS-30000877,wet transformer,CFIHOS-30000877,wet transformer,
CFIHOS-30000285,winch,CFIHOS-30000285,winch,
CFIHOS-30000492,wind sensor,CFIHOS-30000492,wind sensor,
CFIHOS-30001035,wind turbine,CFIHOS-30001035,wind turbine,Required by owner-operators
CFIHOS-30000935,window,CFIHOS-30000935,window,
CFIHOS-30001034,windsock,CFIHOS-30001034,windsock,Required by owner-operators
CFIHOS-30000287,wire hoist,CFIHOS-30000287,wire hoist,
CFIHOS-30000288,wire line unit,CFIHOS-30000288,wire line unit,
CFIHOS-30000289,wire sling,CFIHOS-30000289,wire sling,
CFIHOS-30000290,wireless access point,CFIHOS-30000290,wireless access point,
CFIHOS-30000493,wobbe index meter,CFIHOS-30000493,wobbe index meter,
CFIHOS-30000561,yoke,CFIHOS-30000561,yoke,
