Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68000304,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-70,Fire test protocol,fire test procedure,"For fire scenario engineered solutions, fire test protocols shall be developed as per the normative reference prEN 14972-1:2018 (E) Annex A",To develop a system (solution) for an application where a water mist solution or international fire test protocol does not currently exist. The protocol is a collaboration between all relevant parties.,equipment,technical information deliverables,prEN 14972-1:2018 (E) Annex A : 17.2.3,,,CFIHOS-70000332,test procedure,no,no,yes,,WPTT,,WPTT,,,AFD,no,PDF
CFIHOS-68000305,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-71,Training manual,training manual,"System training, certificate of attendance and training manual","System training, certificate of attendance and training manual, generally carried out at the commissioning phase.",equipment,technical information deliverables,17.18,,,CFIHOS-70000339,training manual,no,yes,yes,,,,,,WPTD,AFD,no,hard copy
CFIHOS-68000306,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-72,Materials test report (2.2),materials test report (2.2),"A document in which the supplier declares that the products supplied are in compliance with the requirements of the PO, and in which test results are supplied based on non-specific inspection and testingNOTE: see ISO/IEC 17000, clause 5.5 and ISO 10474 /",,equipment,technical information deliverables,ISO 10474 / EN 10204 : 17.1.4.4,,,CFIHOS-70000412,material certificate,no,yes,yes,,,,,,WAT,AFD,no,PDF
CFIHOS-68000308,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-74,Foundation loading diagram,foundation loading diagram,"A diagram detailing static and dynamic forces or movements acting on foundations or other load bearing supports, anchor bolt details, lengths and pre-tensioning. May include Civil Structural for loads imposed, and Civil Foundations for foundation design.",,equipment,technical information deliverables,17.7.9,,,CFIHOS-70000151,foundation loading diagram,no,no,no,,,,,,,AFD,no,PDF
CFIHOS-68000309,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-75,Name plate drawing,name plate drawing,A drawing that depicts layout information required either by the nominated standard or supplementary specification,,equipment,technical information deliverables,"14.2.7, 17.17",,,CFIHOS-70000445,name plate diagram,no,no,no,,,,,,,AFC,no,PDF
CFIHOS-68000310,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-77,Non destructive test (NDT) procedure,non destructive test procedure,"This document is a part of the Quality Assurance Plan, and herein the Quality Assurance work process and verification.This document provides a procedure for NDT operator to ensure repeatability and formalism and hence prove the quality of the NDT work. D",,equipment,technical information deliverables,,,,CFIHOS-70000227,non destructive test procedure,no,no,no,,,,,,,AFD,no,PDF
CFIHOS-68000311,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-78,Lifting procedure,lifting procedure,"The [suppliers] proposed and acceptable transportation, lifting requirements and handling methods. Drawings shall be provided indicating size of containers / packages, centre of gravity, number off weight, identification, and packing list of contents..No",,equipment,technical information deliverables,17.7.9,,,CFIHOS-70000200,"lifting, hoisting, and rigging plan",no,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000312,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-79,Technical file / technical manual,design review report,"A set of documents for fire scenario engineered solutions, the Technical File / Technical Manual shall give evidence that the system has been designed and tested in accordance with internationally recognized standards and protocols pertinent to the risk t",May be supplied in both PDF and hard copy format.,equipment,technical information deliverables,13.4.7,,,CFIHOS-70000092,design review report,no,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000313,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-8,Non-conformance records,nonconformance history,Details of non-conformances raised by or to the [vendor/sub-vendors] against technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the [vendor] in accordance with ISO 9001 Clause 8.7 and associat,,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000226,non conformance report,no,yes,yes,,,,,,WAO,AFC,no,PDF
CFIHOS-68000314,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-80,Fluid schedule,fluid schedule,"The Fluid schedule shall identify all fluid and liquid used within the equipment.May include for example:(1) corrosion inhibitors(2) fire fighting additives, including foams(3) anti freezing additive(4) greasing or lubrications.",,equipment,technical information deliverables,"11.2.1, 6.2.2.6.1, 6.7.2, 7.5, 8.8.4.4, A.7.5",,,CFIHOS-70000444,lubrication list,no,yes,yes,,,,,,WAO,AFD,no,PDF
CFIHOS-68000315,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-83,Welder qualification certificate,welder qualification certificate,Certification demonstrating that a welder is qualified to perform work to welding procedure specification(s).,"Welder Qualification Certificate is required when welding is required above the manufacturer's standard, when JIP33 Supplementary Specification for welding (S-705) is required.",equipment,technical information deliverables,,,,CFIHOS-70000413,welder qualification certificate,no,no,no,,,,,,,AFD,no,PDF
CFIHOS-68000316,CFIHOS-30000934,water mist skid,CFIHOS-90000076,IOGP S-719:2020,S719-IR-9,Concession requests,concession request,"Formal submission seeking [purchaser] agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Requ",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000389,technical deviation request,no,no,yes,,WAO,,WAO,,,AFC,no,PDF
CFIHOS-68000317,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-100,IED INTERROGATION AND PROGRAMMING SOFTWARE,software configuration file,,,equipment,technical information deliverables,"S-560, Clause 8.6.2.3",,,CFIHOS-70000012,application software,,no,no,,,,,,,AFD,yes,
CFIHOS-68001090,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #01,Pump performance curves,Performance Curves,"As per the requirements of L.2.4 of API Standard 610, with the addition, as applicable, of the following:- all duty points, including the guarantee point;- all pump performance curves shall be based on running clearances selected by the vendor inclusive o",,equipment,technical information deliverables,"ANSI/API Std 610 6.1, 9.3.1.1, 10.2.4, Annex L, S-615, 6.1, 6.7.4.d",,,CFIHOS-70000449,performance report,yes,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001091,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #02,Noise data sheets,Noise Data Sheets,"For Proposal : Predicted overall package noise data including any noise attenuation devices (if included in the Vendor's scope).For Acceptance: noise data sheets including individual pump, driver, gear (if any) and auxiliary equipment octave band centre f",,equipment,technical information deliverables,"ANSI/API Std 610, 6.1.14, 10.2.3.b, Annex L,",,,CFIHOS-70000225,noise datasheet,yes,no,yes,,,,,,WAO,ASB,yes,PDF
CFIHOS-68001092,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #03,"Installation, operation and maintenance instructions index","Installation, Operation and Maintenance Manual Index","Installation, Operation and Maintenance Instructions Index is to be agreed prior to submission of the manual. Each manual and sub-vendor manual is to include the below listed sections as a minimum. Index to also include full sub-indices details.",,equipment,technical information deliverables,"ANSI/API Std 610 6.4.3.14, 6.11.2, 10.3.5, Annex L, S-615, 7.6.3",,,CFIHOS-70000178,index of documents,no,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001093,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #04,"Installation, operation and maintenance instructions","Installation, Operation and Maintenance Manual","Provides sufficient information to install, operate and maintain the equipment, as well as sufficient information for troubleshooting.Description of methods of installing a piece of equipment. Installation refers to the mounting, setting, erection, etc.",,equipment,technical information deliverables,"ANSI/API Std 610 6.4.3.14 6.11.2, 10.3.5, Annex L, S-615, 7.6.3",,,CFIHOS-70000228,operating manual,no,no,yes,,,,,,WPTD,AFC,yes,PDF
CFIHOS-68001094,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #05,Shaft and rotor total indicator (TIR) reading certificates,Shaft and rotor TIR certificates,"Certificates detailing all shaft run-out checks, including phase relation for each displacement probe location on pumps, motors, steam turbines and gear units.",,equipment,technical information deliverables,"ANSI/API Std 610 6.6, 9.3.3.1, 9.3.12.2.d, Table 17, Table 19",,,CFIHOS-70000239,general certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001095,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #06,Wear part running clearance certificates,Wear part running clearance certificates,Certificates detailing all as-built close clearances and those specified at Purchase.,,equipment,technical information deliverables,"ANSI/API Std 610 Table 6;, S-615 6.7.4",,,CFIHOS-70000239,general certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001096,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #07,Torsional critical speed analysis,Speed Analysis,As per the requirements of 6.9.2.10 of ANSI/API Std 610.,,equipment,technical information deliverables,"ANSI/API Std 610 6.9.2.10, Annex L, S-615, 6.9.2.10",,,CFIHOS-70000449,performance report,no,yes,yes,,WAO,,WAO,,,AFC,yes,PDF
CFIHOS-68001097,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #08,Performance test data,Performance Test Data,"As per the requirements of L.2.1 u) of ANSI/API Std 610, with the following change:- performance test data is to include Fast Fourier Transform spectra for each test point.",Submit within 24 h after test,equipment,technical information deliverables,"ANSI/API Std 610 6.9.3, 8.3.3, 10.3.2.2, Annex L, S-615, 6.9.3, 8.3.3.",,,CFIHOS-70000449,performance report,no,yes,yes,,WAT,,WAT,,,AFC,yes,PDF
CFIHOS-68001098,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #09,Rotating component balancing certificates,Impeller balancing certificates,The certificate to be provided by the manufacturer recording the results of the balancing of all rotating elements to the specified grade in accordance with the Purchaser accepted balancing procedure. To include residual unbalance check.,,equipment,technical information deliverables,"ANSI/API Std 610 6.9.4, 9.1.3.7, 9.2.4;, S-615 6.9.4, 9.1.3.7, 9.2.4;, S-615D",,,CFIHOS-70000013,approval certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001099,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #10,Non-destructive examination records,NDE certificates,"Detailed non-destructive examination reports describing procedure used, results obtained and action for visual, radiographic, ultrasonic, magnetic particle, and dye-penetrant examinations. Reports shall be signed and dated by an authorized operator and id",,equipment,technical information deliverables,"ANSI/API Std 610 6.12.1.5, 8.2.1.3",,,CFIHOS-70000446,non destructive test report,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001100,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #11,Material certificates,Material certificates,"Certificate type shall be as required by the QRS/Project requirements. Material test certificates shall include as a minimum chemical analysis, mechanical test results and heat treatment condition. Additional data to satisfy Project requirements.",,equipment,technical information deliverables,"ANSI/API Std 610 6.12.1.8, 6.12.4.3, 8.2.2.7, Annex H Tables H.2 and H.4;, S-615 6.12.1.8, 8.2.2.7;, S-615D",,,CFIHOS-70000412,material certificate,no,yes,yes,,WPTF,,WPTF,,,ASB,yes,PDF
CFIHOS-68001101,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #12,"Weld procedures, procedure qualification records and weld maps",Weld Procedures,"WPSs and PQRs proposed for each different weld and materials type including weld maps to clearly show the location and type of the proposed weld.For proposed major weld repairs, weld repair maps showing location and major dimensions of weld repair cavitie",,equipment,technical information deliverables,"ANSI/API Std 610 6.12.2, 6.12.3, 6.12.4, Annex L, S-615, 6.12.2,",,,CFIHOS-70000408,welding procedure specification,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001102,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #13,Surface preparation and painting inspection certificates,Surface preparation and inspection certificates,"Certification confirming that the unpainted equipment meets the visual requirements of MSS SP-55. Certificate to include Purchaser's PO number; item or tag number, and shall verify that painting and/or insulation is in accordance with the Purchaser's spec",,equipment,technical information deliverables,"ANSI/API Std 610 6.12.2.1, 7.3.12, 8.4.2.4;, S-615 6.1.37.3, 8.4.2.4, 9.3.8.3.3",,,CFIHOS-70000239,general certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001103,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #14,Major weld repair certificates,Major weld repair certificates,Certification that major weld repairs have been satisfactorily completed and inspected according to the same quality standard used to inspect the casting.,,equipment,technical information deliverables,"ANSI/API Std 610 6.12.2.3;, S-615 6.12.2.3, 6.12.2.5",,,CFIHOS-70000362,welding procedure qualification,no,yes,yes,,WAT,,WAT,,,ASB,yes,PDF
CFIHOS-68001104,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #15,Welders qualifications,Welders qualifications,"Qualification of all welders or welding operators using approved weld procedures and by weld position in accordance with project specifications. Welders name, identification and positions to be recorded to code requirements with approval by third party in",,equipment,technical information deliverables,"ANSI/API Std 610 Table 11;, S-615D",,,CFIHOS-70000413,welder qualification certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001105,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #16,Heat treatment certificates,Heat treatment certificates,Scanned Original or wet stamped verified copies of pyrometric charts or certificates confirming the heat treatment cycles have been conducted to the Purchaser's/Material specification's requirements. To include charts for any heat treatment conducted such,,equipment,technical information deliverables,"ANSI/API Std 610 Table 11;, S-615D",,,CFIHOS-70000423,heat treatment records,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001106,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #17,Nameplate Drawing,Nameplate Drawings,Nameplate data content is to be as per API 610 clause 6.13.2/S-615 clause 6.13.2. Font size minimum 5mm. Nameplate language per PO.,,equipment,technical information deliverables,"ANSI/API Std 610 6.13.2; , S-615, 6.13.2",,,CFIHOS-70000445,name plate diagram,no,yes,yes,,WPTD,,WPTD,,,AFC,yes,PDF
CFIHOS-68001107,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #18,Baseplate flatness and coplanarity certificates,Baseplate flatness and coplanarity certificates,"Certification confirming that all the machinery mounting pads of the baseplate have been fully machined flat and that their surfaces are in the same plane within 150 ?m/m (0,002 in/ft) of distance between the pads.",,equipment,technical information deliverables,"ANSI/API Std 610 7.3;, S-615 7.3",,,CFIHOS-70000239,general certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001108,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #19,Nozzle forces and moments testing certificates,Nozzle forces and moments testing certificates,"Certification confirming that when subjected to moments MYc and MZc applied to either nozzle, the shaft displacement the drive end or at the register fit of the coupling hub are within the values shown in ANSI/API Std 610 11th ed., Table 13.",,equipment,technical information deliverables,ANSI/API Std 610 7.3.21,,,CFIHOS-70000239,general certificate,no,yes,yes,,WAT,,WAT,,,ASB,yes,PDF
CFIHOS-68001109,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #20,Special tools list,Special Tools List,As per the requirements of L.2.1 g) of ANSI/API Std 610.,,equipment,technical information deliverables,"ANSI/API Std 610 7.6, 10.2.3.g",,,CFIHOS-70000454,special tools list,yes,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001110,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #21,Positive material identification certificates,PMI certificates,Certification that the alloying element percentages of materials subject to verification are in accordance with the proposed recognised material specification.,,equipment,technical information deliverables,"ANSI/API Std 610 8.2.2.8;, S-615 8.2.2.8;, S-615D",,,CFIHOS-70000245,inspection report,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001111,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #22,Performance and mechanical run test procedures,Test Procedures,"As per the requirements of 8.3.1.1, 8.3.1.2, 8.3.3.3 of ANSI/API Std 610 with the following change:- add description of the test setup and instrumentation.",,equipment,technical information deliverables,"ANSI/API Std 610 8.3.1, 8.3.3, 8.3.4; , S-615, 8.3.1, 8.3.3, 8.3.4, 9.3.9.1, 10.2.3.q",,,CFIHOS-70000332,test procedure,yes,no,yes,,,,,,WPTT,AFC,yes,PDF
CFIHOS-68001112,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #23,Optional test procedures,Test procedures,Procedures for all optional tests (when specified in the data sheet) to determine that equipment is satisfactory for the specified service and meets all Purchaser requirements.,Outline of the procedures are also be submitted with proposal,equipment,technical information deliverables,"ANSI/API Std 610 8.3.1, 8.3.4, 10.2.3 j), 10.2.5, S-615, 8.3.1, 10.2.5",,,CFIHOS-70000332,test procedure,yes,no,yes,,,,,,WPTT,AFC,yes,PDF
CFIHOS-68001113,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #24,Certified hydrostatic test data,Test Data,Certified Hydrostatic Test Data at a minimum of 1.5 times the maximum allowable working pressure including full details of any areas machined post hydrotest.,"Where ANSI/API Std 610, 8.3.2.10 and 8.2.2.3 apply, test report is to be submitted as quickly as possible to minimise delay in post hydrotest machining",equipment,technical information deliverables,"ANSI/API Std 610 8.3.2, Annex L;, S-615L 8.3.2.",,,CFIHOS-70000245,inspection report,no,yes,yes,,WAT,,WAT,,,AFC,yes,PDF
CFIHOS-68001114,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #25,Disassembly after testing certificates,Disassembly after testing certificates,Certification that the condition of the pump internals after all running testing has not been adversely affected to the extent that they are outside the acceptance criteria of their 'as new' condition.,,equipment,technical information deliverables,ANSI/API Std 610 8.3.3.8,,,CFIHOS-70000239,general certificate,no,yes,yes,,WAT,,WAT,,,ASB,yes,PDF
CFIHOS-68001115,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #26,Optional test data and reports,Test Reports,"As per the requirements of L.2.1 v) of ANSI/API Std 610, where such testing is specified in the data sheet, with the following change:- add minimum submergence testing (vertically submerged pumps).",,equipment,technical information deliverables,"ANSI/API Std 610 8.3.4, Annex L; , S-615, 8.3.4.",,,CFIHOS-70000245,inspection report,no,yes,yes,,WAT,,WAT,,,AFC,yes,PDF
CFIHOS-68001116,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #27,Structural resonance test certificates,Structural resonance test certificates,Certificate detailing the pump structure/driver stand natural frequency which shall have at least 10 % separation from the minimum and maximum continuous operating speeds.,,equipment,technical information deliverables,ANSI/API Std 610 9.3.9.2,,,CFIHOS-70000239,general certificate,no,yes,yes,,WAT,,WAT,,,ASB,yes,PDF
CFIHOS-68001117,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #28,Certified dimensional outline drawings,Dimensional Data,"For Proposal: Outline dimensioned drawings for each pump skid, driver and auxiliary systems where applicable including: size and location of major Purchaser connections; overall dimensions; maintenance clearance dimensions; overall masses; erection masses",,equipment,technical information deliverables,"ANSI/API Std 610 10.2.2.1.a, 10.2.2.2, 10.3.2.1, Annex L",,,CFIHOS-70000439,dimensional report,yes,yes,yes,,WAO,,WAO,,,ASB,yes,native
CFIHOS-68001118,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #29,Cross-sectional drawings and bills of materials,Drawings,"For Proposal: Cross-sectional drawings showing the details of the proposed pump and driver.For Acceptance Cross-Sectional drawings showing details of all furnished equipment parts, including drivers and auxiliary systems and instrumentation where applicab",,equipment,technical information deliverables,"ANSI/API Std 610 10.2.2.1.b, 10.2.2.2, 10.3.4.1, Annex L",,,CFIHOS-70000116,equipment cross section diagram,yes,no,yes,,,,,,WAO,ASB,yes,PDF
CFIHOS-68001119,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #30,Overall package piping and instrument diagram,Piping and Instrument Diagrams,"For proposal: Overall pump, driver and systems (where applicable) package P&ID showing all piping and instrumentation included in the Vendor's scope.For acceptance: Overall pump, driver and systems (where applicable) package P&ID including: summary of the",,equipment,technical information deliverables,"ANSI/API Std 610 10.2.2.1 c), 10.2.2, Annex L",,,CFIHOS-70000292,piping and instrumentation diagram,yes,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001120,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #31,Data sheets,Data Sheets,"In all cases the pump performance data is, where applicable, be based on the specified viscous duty, the clearances proposed by Vendor after making allowances for any added clearance based on temperature, viscosity and wear component galling tendencies an",,equipment,technical information deliverables,"ANSI/API Std 610 10.2.3.a), Annex L;, S-615, 6.8.1",,,CFIHOS-70000416,manufacturer datasheet,yes,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001121,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #32,Recommended spare parts,List of recommended spare parts and SPIR forms for complete package,"For Proposal: As per the requirements of 10.2.3 f) of ANSI/API Std 610, with the following changes:- applies to parts for all equipment furnished by Vendor.For Acceptance: As per the requirements of 10.3.4 of ANSI/API Std 610, with the following changes:-",,equipment,technical information deliverables,"ANSI/API Std 610 10.2.3.f, 10.3.4, Annex L;, S-615, 10.3.4",,,CFIHOS-70000374,spare part list,yes,no,yes,,,,,,WPTD,ASB,yes,native
CFIHOS-68001122,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #33,Utility requirements,Utlity Schedule,"For Proposal: As per the requirements of 10.2.3 i) of ANSI/API Std 610, with the following changes:- remove all references to lubricating oil.For Acceptance: As per the requirements of L.2.1 g) 4) of ANSI/API Std 610.",,equipment,technical information deliverables,"ANSI/API Std 610 10.2.3i, Annex L",,,CFIHOS-70000259,general report,yes,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001123,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #34,Lubrication schedule,Lubrication Schedule,"The lubricant table is to indicate, for each complete unit and for each device or point to be lubricated, the following data:- Make and tag of the lubricant to be utilized and of other makes, if required in the Project specifications;- Physical and chemic",,equipment,technical information deliverables,"ANSI/API Std 610 10.2.3i, Annex L",,,CFIHOS-70000444,lubrication list,no,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001124,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #35,Inspection and test equipment calibration certificates,Inspection and test equipment calibration certificates,Current calibration certificates for all shop instrumentation to be used during inspection and testing activities.,,equipment,technical information deliverables,"ANSI/API Std 610 10.3.2.2;, S-615 10.3.2.2",,,CFIHOS-70000415,calibration certificate,no,no,no,,,,,,,AFD,yes,PDF
CFIHOS-68001125,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #36,Lateral critical speed analysis,Speed Analysis,As per the requirements of I.3 of ANSI/API Std 610.,,equipment,technical information deliverables,"ANSI/API Std 610 Annex I, Annex L",,,CFIHOS-70000449,performance report,no,yes,yes,,WAO,,WAO,,,AFC,yes,PDF
CFIHOS-68001126,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #37,Damped unbalanced response analysis,,As per the requirements of I.1.4 of ANSI/API Std 610.,,equipment,technical information deliverables,"ANSI/API Std 610 Annex I, Annex L",,,CFIHOS-70000233,general analysis,no,yes,yes,,WAO,,WAO,,,AFC,yes,PDF
CFIHOS-68001127,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #38,Material safety data sheets,Material Safety Data Sheets,"Material safety data sheets are to be in accordance with local standards for the specific paints, preservatives, coatings, lubricants, cooling media and chemicals supplied with, or applied to the supplied machinery or equipment. E.g. OSHA Form 174.",,equipment,technical information deliverables,ANSI/API Std 610 Annex L,,,CFIHOS-70000211,safety datasheet,yes,no,yes,,,,,,WAO,AFC,yes,PDF
CFIHOS-68001128,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #39,Electrical and instrumentation wiring diagrams,Electrical Diagrams,"The Vendor standard drawings are to be submitted. The diagrams are also to show the connections, terminal/pin/socket and cable detail between different items within the package, including earthing and spare terminals. The diagram is also identify all conn",,equipment,technical information deliverables,ANSI/API Std 610 Annex L,,,CFIHOS-70000268,wiring diagram,no,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001129,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #40,Motor performance data,Motor Perfomance Data,As per the requirements of L.2.2 e) of ANSI/API Std 610.,,equipment,technical information deliverables,ANSI/API Std 610 Annex L,,,CFIHOS-70000449,performance report,no,yes,yes,,WAO,,WAO,,,AFC,yes,PDF
CFIHOS-68001130,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #41,Shaft coupling assembly drawing and bill of materials,Assembly Drawings,"Shaft coupling assembly drawing and bill of materials, including coupling specification, fit, full dimensions, allowable misalignment tolerances, balance grade, service factor, weights, machining/mounting details, keys detail and maintenance details.The c",,equipment,technical information deliverables,ANSI/API Std 610 Annex L,,,CFIHOS-70000017,assembly diagram,no,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001131,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #42,Shaft seal drawing and bills of materials,Assembly Drawings,"For Proposal: Shaft seal preliminary drawing and materials of construction.For Acceptance: Shaft seal drawing showing details of equipment including direction of rotation, seal harness connection details, seal harness pressures and flowrates, maximum and ",,equipment,technical information deliverables,ANSI/API Std 610 Annex L,,,CFIHOS-70000017,assembly diagram,yes,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001132,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #43,Overall package piping systems schematics and bills of materials,Piping systems schematics and bills of materials,Overall pump and driver package piping systems schematics and bills of material including as applicable for all systems: applicable WPS (fabrications); parts list; quantities; sizes; dimensions; specifications; materials of construction.,,equipment,technical information deliverables,ANSI/API Std 610 Annex L;,,,CFIHOS-70000328,schematic diagram,no,yes,yes,,WAO,,WAO,,,ASB,yes,PDF
CFIHOS-68001133,CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019,API 610 #44,Pump speed-torque curve superimposed on motor driver speed-torque curves,Performance Curves,Pump speed-torque curve superimposed on the motor driver speed-torque curves.,,equipment,technical information deliverables,"ANSI/API Std 610 Annex L;, S-615 7.1.6",,,CFIHOS-70000017,assembly diagram,no,yes,yes,,WAO,,WAO,,,AFC,yes,PDF
