CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-60001522,DKK,Danish Krone,property picklist value
CFIHOS-60001523,DOP,Dominican Peso,property picklist value
CFIHOS-60001524,DZD,Algerian Dinar,property picklist value
CFIHOS-60001525,EGP,Egyptian Pound,property picklist value
CFIHOS-60001526,ERN,Nakfa,property picklist value
CFIHOS-60001527,ETB,Ethiopian Birr,property picklist value
CFIHOS-60001528,EUR,Euro,property picklist value
CFIHOS-60001529,FJD,Fiji Dollar,property picklist value
CFIHOS-60001530,FKP,Falkland Islands Pound,property picklist value
CFIHOS-60001531,GBP,Pound Sterling,property picklist value
CFIHOS-60001532,GEL,Lari,property picklist value
CFIHOS-60001533,GHS,Ghana Cedi,property picklist value
CFIHOS-60001534,GIP,Gibraltar Pound,property picklist value
CFIHOS-60001535,GMD,Dalasi,property picklist value
CFIHOS-60001536,GNF,Guinean Franc,property picklist value
CFIHOS-60001537,GTQ,Quetzal,property picklist value
CFIHOS-60001538,GYD,Guyana Dollar,property picklist value
CFIHOS-60001539,HKD,Hong Kong Dollar,property picklist value
CFIHOS-60001540,HNL,Lempira,property picklist value
CFIHOS-60001541,HRK,Kuna,property picklist value
CFIHOS-60001542,HTG,Gourde,property picklist value
CFIHOS-60001543,HUF,Forint,property picklist value
CFIHOS-60001544,IDR,Rupiah,property picklist value
CFIHOS-60001545,ILS,New Israeli Sheqel,property picklist value
CFIHOS-60001546,INR,Indian Rupee,property picklist value
CFIHOS-60001547,IQD,Iraqi Dinar,property picklist value
CFIHOS-60001548,IRR,Iranian Rial,property picklist value
CFIHOS-60001549,ISK,Iceland Krona,property picklist value
CFIHOS-60001550,JMD,Jamaican Dollar,property picklist value
CFIHOS-60001551,JOD,Jordanian Dinar,property picklist value
CFIHOS-60001552,JPY,Yen,property picklist value
CFIHOS-60001553,KES,Kenyan Shilling,property picklist value
CFIHOS-60001554,KGS,Som,property picklist value
CFIHOS-60001555,KHR,Riel,property picklist value
CFIHOS-60001556,KMF,Comorian Franc,property picklist value
CFIHOS-60001557,KPW,North Korean Won,property picklist value
CFIHOS-60001558,KRW,Won,property picklist value
CFIHOS-60001559,KWD,Kuwaiti Dinar,property picklist value
CFIHOS-60001560,KYD,Cayman Islands Dollar,property picklist value
CFIHOS-60001561,KZT,Tenge,property picklist value
CFIHOS-60001562,LAK,Lao Kip,property picklist value
CFIHOS-60001563,LBP,Lebanese Pound,property picklist value
CFIHOS-60001564,LKR,Sri Lanka Rupee,property picklist value
CFIHOS-60001565,LRD,Liberian Dollar,property picklist value
CFIHOS-60001566,LSL,Loti,property picklist value
CFIHOS-60001567,LYD,Libyan Dinar,property picklist value
CFIHOS-60001568,MAD,Moroccan Dirham,property picklist value
CFIHOS-60001569,MDL,Moldovan Leu,property picklist value
CFIHOS-60001570,MGA,Malagasy Ariary,property picklist value
CFIHOS-60001571,MKD,Denar,property picklist value
CFIHOS-60001572,MMK,Kyat,property picklist value
CFIHOS-60001573,MNT,Tugrik,property picklist value
CFIHOS-60001574,MOP,Pataca,property picklist value
CFIHOS-60001575,MRO,Ouguiya,property picklist value
CFIHOS-60001576,MUR,Mauritius Rupee,property picklist value
CFIHOS-60001577,MVR,Rufiyaa,property picklist value
CFIHOS-60001578,MWK,Malawi Kwacha,property picklist value
CFIHOS-60001579,MXN,Mexican Peso,property picklist value
CFIHOS-60001580,MYR,Malaysian Ringgit,property picklist value
CFIHOS-60001581,MZN,Mozambique Metical,property picklist value
CFIHOS-60001582,NAD,Namibia Dollar,property picklist value
CFIHOS-60001583,NGN,Naira,property picklist value
CFIHOS-60001584,NIO,Cordoba Oro,property picklist value
CFIHOS-60001585,NOK,Norwegian Krone,property picklist value
CFIHOS-60001586,NPR,Nepalese Rupee,property picklist value
CFIHOS-60001587,NZD,New Zealand Dollar,property picklist value
CFIHOS-60001588,OMR,Rial Omani,property picklist value
CFIHOS-60001589,PAB,Balboa,property picklist value
CFIHOS-60001590,PEN,Sol,property picklist value
CFIHOS-60001591,PGK,Kina,property picklist value
CFIHOS-60001592,PHP,Philippine Peso,property picklist value
CFIHOS-60001593,PKR,Pakistan Rupee,property picklist value
CFIHOS-60001594,PLN,Zloty,property picklist value
CFIHOS-60001595,PYG,Guarani,property picklist value
CFIHOS-60001596,QAR,Qatari Rial,property picklist value
CFIHOS-60001597,RON,Romanian Leu,property picklist value
CFIHOS-60001598,RSD,Serbian Dinar,property picklist value
CFIHOS-60001599,RUB,Russian Ruble,property picklist value
CFIHOS-60001600,RWF,Rwanda Franc,property picklist value
CFIHOS-60001601,SAR,Saudi Riyal,property picklist value
CFIHOS-60001602,SBD,Solomon Islands Dollar,property picklist value
CFIHOS-60001603,SCR,Seychelles Rupee,property picklist value
CFIHOS-60001604,SDG,Sudanese Pound,property picklist value
CFIHOS-60001605,SEK,Swedish Krona,property picklist value
CFIHOS-60001606,SGD,Singapore Dollar,property picklist value
CFIHOS-60001607,SHP,Saint Helena Pound,property picklist value
CFIHOS-60001608,SLL,Leone,property picklist value
CFIHOS-60001609,SOS,Somali Shilling,property picklist value
CFIHOS-60001610,SRD,Surinam Dollar,property picklist value
CFIHOS-60001611,SSP,South Sudanese Pound,property picklist value
CFIHOS-60001612,STD,Dobra,property picklist value
CFIHOS-60001613,SVC,El Salvador Colon,property picklist value
CFIHOS-60001614,SYP,Syrian Pound,property picklist value
CFIHOS-60001615,SZL,Lilangeni,property picklist value
CFIHOS-60001616,THB,Baht,property picklist value
CFIHOS-60001617,TJS,Somoni,property picklist value
CFIHOS-60001618,TMT,Turkmenistan New Manat,property picklist value
CFIHOS-60001619,TND,Tunisian Dinar,property picklist value
CFIHOS-60001620,TOP,Pa'anga,property picklist value
CFIHOS-60001621,TRY,Turkish Lira,property picklist value
CFIHOS-60001622,TTD,Trinidad and Tobago Dollar,property picklist value
CFIHOS-60001623,TWD,New Taiwan Dollar,property picklist value
CFIHOS-60001624,TZS,Tanzanian Shilling,property picklist value
CFIHOS-60001625,UAH,Hryvnia,property picklist value
CFIHOS-60001626,UGX,Uganda Shilling,property picklist value
CFIHOS-60001627,USD,US Dollar,property picklist value
CFIHOS-60001628,UYU,Peso Uruguayo,property picklist value
CFIHOS-60001629,UZS,Uzbekistan Sum,property picklist value
CFIHOS-60001630,VEF,Bolivar,property picklist value
CFIHOS-60001631,VND,Dong,property picklist value
CFIHOS-60001632,VUV,Vatu,property picklist value
CFIHOS-60001633,WST,Tala,property picklist value
CFIHOS-60001634,XAF,CFA Franc BEAC,property picklist value
CFIHOS-60001635,XCD,East Caribbean Dollar,property picklist value
CFIHOS-60001636,XOF,CFA Franc BCEAO,property picklist value
CFIHOS-60001637,XPF,CFP Franc,property picklist value
CFIHOS-60001638,YER,Yemeni Rial,property picklist value
CFIHOS-60001639,ZAR,Rand,property picklist value
CFIHOS-60001640,ZMW,Zambian Kwacha,property picklist value
CFIHOS-60001641,ZWL,Zimbabwe Dollar,property picklist value
CFIHOS-60001644,"External Hard Drive (USB drive, ZIP drive, etc.)",External storage device used to house electronic files,property picklist value
CFIHOS-60001645,ISO 15926 part4,"A standard for data integration, sharing, exchange and hand-over between computer system in the process industry",property picklist value
CFIHOS-60001646,STEPLIB,Standard Template for Electronic Publishing,property picklist value
CFIHOS-60001647,POSC CAESAR,An organization promoting standards for interoperability of data,property picklist value
CFIHOS-60001648,UNSPSC,United Nations Standard Products and Services Classification,property picklist value
CFIHOS-60001649,SI,Metric (Systeme International),property picklist value
CFIHOS-60001650,Imperial,Imperial System for Units of Measure,property picklist value
CFIHOS-60001651,process design,process design is conceptual designing of a process and its process conditions,property picklist value
CFIHOS-60001652,product configuration,product configuration is configuring a product by selecting one or more options next to the standard characteristics,property picklist value
CFIHOS-60001653,in-line maintenance,in-line maintenance is maintaining without uninstalling the maintained object,property picklist value
CFIHOS-60001654,shop maintenance,shop maintenance is maintaining in a maintenance shop,property picklist value
CFIHOS-60001655,asset management,asset management is managing the assets of an organization or a person,property picklist value
CFIHOS-60001656,logistics management,logistics management is managing the logistical activities of an organization or a person,property picklist value
CFIHOS-60001657,plant design,plant design is designing the layout of a process plant,property picklist value
CFIHOS-60001658,product sales,product sales is selling a manufactured product,property picklist value
CFIHOS-60001659,procurement,procuring is the activity of buying to specification,property picklist value
CFIHOS-60001660,prefabrication,prefabricating is the activity of fabricating an item under optimized conditions at location other than where it has to be installed,property picklist value
CFIHOS-60001661,operations,"operating is the activity of causing something to function, such as a piece of machinery, process, or system, or a business",property picklist value
CFIHOS-60001662,manufacturing,"manufacturing is the activity of making wares or other material products by hand or machinery, especially when carried on systematically with division of labour",property picklist value
CFIHOS-60001663,inspecting,"inspecting is the activity of viewing closely and critically in order to ascertain quality or state, detect errors, or otherwise appraise",property picklist value
CFIHOS-60001664,demolition,demolishing is the activity of destroying by pulling or tearing down and breaking in parts,property picklist value
CFIHOS-60001665,construction,"constructing is the activity of making or forming, or creating by combining parts or elements",property picklist value
CFIHOS-60001666,commissioning,commissioning is the activity of bringing in a state where readiness for active service is warranted,property picklist value
CFIHOS-60001667,analysing,"analysing is the Activity of studying and weighing various aspects, factors, or elements in order to arrive at an answer, result or solution",property picklist value
CFIHOS-60001668,process engineering,process engineering is detailed engineering of a process and its process conditions,property picklist value
CFIHOS-60001669,detailed engineering,detailed engineering is engineering to a detailed level,property picklist value
CFIHOS-60001670,not specified,The representation type is not specified.,property picklist value
CFIHOS-60001671,not specified,The review type is not specified.,property picklist value
CFIHOS-60001672,IFD,Issued for Design,property picklist value
CFIHOS-60001673,AFD,Approved for Design,property picklist value
CFIHOS-60001674,IFT,Issued for Tender of Bid,property picklist value
CFIHOS-60001675,AFT,Approved for Tender or Bid,property picklist value
CFIHOS-60001676,IFP,Issued for Purchase,property picklist value
CFIHOS-60001677,AFP,Approved for Purchase,property picklist value
CFIHOS-60001678,IFC,Issued for Construction,property picklist value
CFIHOS-60001679,AFC,Approved for Construction/Use,property picklist value
CFIHOS-60001680,IFA,Issued for Approval,property picklist value
CFIHOS-60001681,IFH,Issued for HAZOP,property picklist value
CFIHOS-60001682,IFI,Issued for Information,property picklist value
CFIHOS-60001683,IFQ,Issued for Quotation,property picklist value
CFIHOS-60001684,IFR,Issued for Review,property picklist value
CFIHOS-60001685,IFV,Issued for Field Verification,property picklist value
CFIHOS-60001686,SUP,Document has been superseded by another document,property picklist value
CFIHOS-60001687,APP,document approved,property picklist value
CFIHOS-60001689,CAN,Cancelled or Void; document deemed obsolete; not for use,property picklist value
CFIHOS-60001690,Web-services and/or Cloud,Web-services and/or Cloud,property picklist value
CFIHOS-60001691,de,German,property picklist value
CFIHOS-60001692,nl,Dutch; Flemish,property picklist value
CFIHOS-60001693,ru,Russian,property picklist value
CFIHOS-60001694,es,Spanish; Castilian,property picklist value
CFIHOS-60001695,zh,Chinese,property picklist value
CFIHOS-60001697,CONT,Content type,property picklist value
CFIHOS-60001698,DOCT,Document type,property picklist value
CFIHOS-60001707,Class I,"Allowable leakage as agreed between Contractor and Manufacturer; A modification of any Class II, III or IV valve where design intent is the same as the basic class, but by agreement between user and supplier, no test is required.",property picklist value
CFIHOS-60001708,Class II,No more leakage than 0.5 % of rated flow capacity; 0.5% of rated valve capacity,property picklist value
CFIHOS-60001709,Class III,No more leakage than 0.1 % of rated flow capacity; 0.1% of rated valve capacity,property picklist value
CFIHOS-60001710,Class IV,No more leakage than 0.01 % of rated flow capacity; 0.01% of rated valve capacity,property picklist value
CFIHOS-60001711,Class V,No more leakage than 10.8 x 10-6 x D Nm3/h (D is the seat diameter in mm);See Table 1 of ANSI B16.104/FCI 70-2,property picklist value
CFIHOS-60001712,Class VI,"For values, refer to IEC 60534-4 Table 3; Leakage per Paragraph 5.4.4 of ANSI B16.104/FCI 70-2 as expressed in ml per minute versus seat diameter",property picklist value
CFIHOS-60001713,soft-seated,soft-seated,property picklist value
CFIHOS-60001714,metal-to-metal seated,metal-to-metal seated,property picklist value
CFIHOS-60001715,socket welded,socket welded,property picklist value
CFIHOS-60001716,threaded,threaded,property picklist value
CFIHOS-60001717,butt-welded,butt-welded,property picklist value
CFIHOS-60001718,flanged,flanged,property picklist value
CFIHOS-60001719,fail-closed,a condition wherein the valve closure member moves to a closed position when the actuating energy source fails,property picklist value
CFIHOS-60001720,fail-in-place,a condition wherein the valve closure member stays in its last position when the actuating energy source fails,property picklist value
CFIHOS-60001721,fail-open,a condition wherein the valve closure member moves to an open position when the actuating energy source fails,property picklist value
CFIHOS-60001722,SIL 0,tolerable risk (0-10 Risk Reduction Factor),property picklist value
CFIHOS-60001723,SIL 1,minimal risk (>10 to less than or equal to 100 Risk Reduction Factor),property picklist value
CFIHOS-60001724,SIL 2,medium risk (>100 to less than or equal to 1000 Risk Reduction Factor),property picklist value
CFIHOS-60001725,SIL 3,"high risk (>1000 to less than or equal to 10,000 Risk Reduction Factor)",property picklist value
CFIHOS-60001726,SIL 4,"highest risk (>10,000 to less than or equal to 100,000 Risk Reduction Factor)",property picklist value
CFIHOS-60001727,anti-cavitation trim,trim style that by its geometry reduces or eliminates the tendency of the controlled liquid to cavitate,property picklist value
CFIHOS-60001728,anti-noise trim,a control valve trim style that by its geometry reduces the noise generated by fluid flowing through the valve,property picklist value
CFIHOS-60001729,balanced trim,"control valve trim designed to minimize the net static and dynamic fluid flow forces, from fluid pressure, acting on the trim",property picklist value
CFIHOS-60001730,reduced trim,control valve trim that has a flow area smaller than the full flow area for that valve,property picklist value
CFIHOS-60001731,soft-seated trim,"valve trim with an elastomeric, plastic, or other readily deformable material used either in the closure member component or seat ring to provide tight shutoff with minimal actuator forces",property picklist value
CFIHOS-60001732,pneumatic,"the input/output signals are usually 3 psig to 15 psig (20 kPa to 100kPa) and can be direct connected to the process, providing control capability using mechanical technology that uses process fluids and/or compressed air",property picklist value
CFIHOS-60001733,analog electronic,a signal (usually 4 mA to 20 mA) representing a variable which may be continuously observed and continuously represented,property picklist value
CFIHOS-60001734,digital electronic,"A signal (usually 4 mA to 20 mA, but sometimes fieldbus or other digital format) representing information by a set of discrete values in accordance with a prescribed law.  These values are represented by numbers.",property picklist value
CFIHOS-60001735,HART,HART,property picklist value
CFIHOS-60001736,FF,Foundation Fieldbus,property picklist value
CFIHOS-60001737,Profibus,Profibus,property picklist value
CFIHOS-60001738,DA,Very High Protection,property picklist value
CFIHOS-60001739,DB,High Protection,property picklist value
CFIHOS-60001740,DC,Normal Protection,property picklist value
CFIHOS-60001741,GC,Normal Protection,property picklist value
CFIHOS-60001742,GA,Very High Protection,property picklist value
CFIHOS-60001743,GB,High Protection,property picklist value
CFIHOS-60001744,MA,Very High Protection,property picklist value
CFIHOS-60001745,MB,High Protection,property picklist value
CFIHOS-60001746,T2A,Maximum temperature 536°F (280°C),property picklist value
CFIHOS-60001747,T2B,Maximum temperature 500°F (260°C),property picklist value
CFIHOS-60001748,T2C,Maximum temperature 446°F (230°C),property picklist value
CFIHOS-60001749,T2D,Maximum temperature 419°F (215°C),property picklist value
CFIHOS-60001750,T3A,Maximum temperature 356°F (180°C),property picklist value
CFIHOS-60001751,T3B,Maximum temperature 329°F (165°C),property picklist value
CFIHOS-60001752,T3C,Maximum temperature 320°F (160°C),property picklist value
CFIHOS-60001753,T4A,Maximum temperature 248°F (120°C),property picklist value
CFIHOS-60001754,"Class I, Division 1","Class I, Division 1 as defined in ANSI/NFPA 70 NEC Article 500.5",property picklist value
CFIHOS-60001755,"Class I, Division 2","Class I, Division 2 as defined in ANSI/NFPA 70 NEC Article 500.5",property picklist value
CFIHOS-60001756,"Class II, Division 1","Class II, Division 1 as defined in ANSI/NFPA 70 NEC Article 500.5",property picklist value
CFIHOS-60001757,"Class II, Division 2","Class II, Division 2 as defined in ANSI/NFPA 70 NEC Article 500.5",property picklist value
CFIHOS-60001758,"Class III, Division 1","Class III, Division 1 as defined in ANSI/NFPA 70 NEC Article 500.5",property picklist value
CFIHOS-60001759,"Class III, Division 2","Class III, Division 2 as defined in ANSI/NFPA 70 NEC Article 500.5",property picklist value
CFIHOS-60001760,Zone 20,An hazardous area in which an explosive atmosphere consisting of a mixture with air of flammable substances in the form of dust is present continuously or for long periods or frequently.,property picklist value
CFIHOS-60001761,Zone 21,An hazardous area in which an explosive atmosphere consisting of a mixture with air of flammable substances in the form of dust is likely to occur in normal operation occasionally,property picklist value
CFIHOS-60001762,Zone 22,"An hazardous area in which an explosive atmosphere consisting of a mixture with air of flammable substances in the form of dust is not likely to occur in normal operation, but if it does occur, will persist for a short period only.",property picklist value
CFIHOS-60001763,A,Acetylene,property picklist value
CFIHOS-60001764,B,"Flammable gas, flammable liquid-produced vapour, or combustible liquid-produced vapour mixed with air that may burn or explode, having either a maximum experimental safe gap (MESG) value less than or equal to 0.45 mm or a minimum igniting current ratio (MIC ratio) less than or equal to 0.40",property picklist value
CFIHOS-60001765,C,"Flammable gas, flammable liquid-produced vapour, or combustible liquid-produced vapour mixed with air that may burn or explode, having either a maximum experimental safe gap (MESG) value greater than 0.45 mm and less than or equal to 0.75 mm, or a minimum igniting current ratio (MIC ratio) greater than 0.40 and less than or equal to 0.80.",property picklist value
CFIHOS-60001766,D,"Flammable gas, flammable liquid-produced vapour, or combustible liquid-produced vapour mixed with air safe gap (MESG) value greater than 0.75 mm or a minimum igniting current (MIC) ratio greater than 0.80.",property picklist value
CFIHOS-60001767,E,"Atmospheres containing combustible metal dusts, including aluminium, magnesium, and their commercial alloys, or other combustible dusts whose particle size, abrasiveness, and conductivity present similar hazards in the use of electrical equipment.",property picklist value
CFIHOS-60001768,F,"Atmospheres containing combustible carbonaceous dusts that have more than 8 percent total entrapped volatiles (see ASTM D3175-11, Standard Test Method for Volatile Matter in the Analysis Sample for Coal and Coke, for coal and coke dusts) or that have been sensitized by other materials so that they present an explosion hazard.",property picklist value
CFIHOS-60001769,G,"Atmospheres containing combustible dusts not included in Group E or Group F, including flour, grain, wood, plastic, and chemicals.",property picklist value
CFIHOS-60001770,process control,process control,property picklist value
CFIHOS-60001771,emergency shutdown,emergency shutdown,property picklist value
CFIHOS-60001772,process shutdown,process shutdown,property picklist value
CFIHOS-60001773,pressure reduction,pressure reduction,property picklist value
CFIHOS-60001774,bypass,bypass,property picklist value
CFIHOS-60001775,blowdown,blowdown,property picklist value
CFIHOS-60001776,monitoring,monitoring,property picklist value
CFIHOS-60001777,combined,combined,property picklist value
CFIHOS-60001778,BB1,Centrifugal pump; Between-bearings; 1- and 2-stage; Axially split,property picklist value
CFIHOS-60001779,BB2,Centrifugal pump; Between-bearings; 1- and 2-stage; Radially split,property picklist value
CFIHOS-60001780,BB3,Centrifugal pump; Between-bearings; Multistage; Axially split,property picklist value
CFIHOS-60001781,BB4,Centrifugal pump; Between-bearings; Multistage; Radially split; Single casing,property picklist value
CFIHOS-60001782,BB5,Centrifugal pump; Between-bearings; Multistage; Radially split; Double casing,property picklist value
CFIHOS-60001783,OH1,Centrifugal pump; Overhung; Flexibly coupled; Horizontal; Foot-mounted,property picklist value
CFIHOS-60001784,OH2,Centrifugal pump; Overhung; Flexibly coupled; Horizontal; Centreline-supported,property picklist value
CFIHOS-60001785,OH3,Centrifugal pump; Overhung; Flexibly coupled; Vertical in-line with bearing bracket,property picklist value
CFIHOS-60001786,OH4,Centrifugal pump; Overhung; Rigidly coupled; Vertical in-line,property picklist value
CFIHOS-60001787,OH5,Centrifugal pump; Close-coupled; Vertical in-line,property picklist value
CFIHOS-60001788,OH6,Centrifugal pump; Close-coupled; High-speed integrally geared,property picklist value
CFIHOS-60001789,VS1,Centrifugal pump; Vertically suspended; Single casing; Discharge through column; Diffuser,property picklist value
CFIHOS-60001790,VS2,Centrifugal pump; Vertically suspended; Single casing; Discharge through column; Volute,property picklist value
CFIHOS-60001791,VS3,Centrifugal pump; Vertically suspended; Single casing; Discharge through column; Axial flow,property picklist value
CFIHOS-60001792,VS4,Centrifugal pump; Vertically suspended; Single casing; Separate discharge; Line shaft,property picklist value
CFIHOS-60001793,VS5,Centrifugal pump; Vertically suspended; Single casing; Separate discharge; Cantilever,property picklist value
CFIHOS-60001794,VS6,Centrifugal pump; Vertically suspended; Double casing; Diffuser,property picklist value
CFIHOS-60001795,VS7,Centrifugal pump; Vertically suspended; Double casing; Volute,property picklist value
CFIHOS-60001796,direct-acting pump,consisting of a piston-powered drive end connected directly to a liquid end to which power is directly transmitted by the action of the motive fluid on the piston.,property picklist value
CFIHOS-60001797,piston pump,having a seal attached to the piston and moving within a cylinder.,property picklist value
CFIHOS-60001798,plunger pump,having a uniform-section plunger that moves in a static seal.,property picklist value
CFIHOS-60001799,power pump,consisting of a power end and a liquid end connected by a frame or distance piece.,property picklist value
CFIHOS-60001800,diaphragm,A pump designed such that the process fluid is isolated from the plunger by means of a hydraulically actuated flat or shaped diaphragm.,property picklist value
CFIHOS-60001801,plunger,having a uniform-section plunger that moves in a static seal.,property picklist value
CFIHOS-60001802,GET,Rotary pump; gear; external gears (timed),property picklist value
CFIHOS-60001803,GEU,Rotary pump; gear; external gears (untimed),property picklist value
CFIHOS-60001804,GI,Rotary pump; gear; internal gears (with crescent),property picklist value
CFIHOS-60001805,LM,Rotary pump; lobe; multiple,property picklist value
CFIHOS-60001806,LS,Rotary pump; lobe; single,property picklist value
CFIHOS-60001807,SMT,Rotary pump; screw; multiple timed,property picklist value
CFIHOS-60001808,SS,Rotary pump; screw; single,property picklist value
CFIHOS-60001809,VR,Rotary pump; vane; vane in rotor,property picklist value
CFIHOS-60001810,VS,Rotary pump; vane; vane in stator,property picklist value
CFIHOS-60001811,coupled motor shaft,Liquid ring pump; coupled motor shaft,property picklist value
CFIHOS-60001812,cradle mounted,Liquid ring pump; cradle mounted,property picklist value
CFIHOS-60001813,horizontal,Liquid ring pump; horizontal,property picklist value
CFIHOS-60001814,vertical in-line,Liquid ring pump; vertical in-line.,property picklist value
CFIHOS-60001815,cylindrical,cylindrical,property picklist value
CFIHOS-60001816,spherical,spherical,property picklist value
CFIHOS-60001817,Modulating,Modulating,property picklist value
CFIHOS-60001818,On Off,On Off,property picklist value
CFIHOS-60001819,aa,Afar,property picklist value
CFIHOS-60001820,ab,Abkhazian,property picklist value
CFIHOS-60001821,ae,Avestan,property picklist value
CFIHOS-60001822,af,Afrikaans,property picklist value
CFIHOS-60001823,ak,Akan,property picklist value
CFIHOS-60001824,am,Amharic,property picklist value
CFIHOS-60001825,an,Aragonese,property picklist value
CFIHOS-60001826,ar,Arabic,property picklist value
CFIHOS-60001827,as,Assamese,property picklist value
CFIHOS-60001828,av,Avaric,property picklist value
CFIHOS-60001829,ay,Aymara,property picklist value
CFIHOS-60001830,az,Azerbaijani,property picklist value
CFIHOS-60001831,ba,Bashkir,property picklist value
CFIHOS-60001832,be,Belarusian,property picklist value
CFIHOS-60001833,bg,Bulgarian,property picklist value
CFIHOS-60001834,bh,Bihari languages,property picklist value
CFIHOS-60001835,bi,Bislama,property picklist value
CFIHOS-60001836,bm,Bambara,property picklist value
CFIHOS-60001837,bn,Bengali,property picklist value
CFIHOS-60001838,bo,Tibetan,property picklist value
CFIHOS-60001839,br,Breton,property picklist value
CFIHOS-60001840,bs,Bosnian,property picklist value
CFIHOS-60001841,ca,Catalan; Valencian,property picklist value
CFIHOS-60001842,ce,Chechen,property picklist value
CFIHOS-60001843,ch,Chamorro,property picklist value
CFIHOS-60001844,co,Corsican,property picklist value
CFIHOS-60001845,cr,Cree,property picklist value
CFIHOS-60001846,cs,Czech,property picklist value
CFIHOS-60001847,cu,Church Slavic; Old Slavonic; Church Slavonic;,property picklist value
CFIHOS-60001848,cv,Chuvash,property picklist value
CFIHOS-60001849,cy,Welsh,property picklist value
CFIHOS-60001850,da,Danish,property picklist value
CFIHOS-60001851,dv,Divehi; Dhivehi; Maldivian,property picklist value
CFIHOS-60001852,dz,Dzongkha,property picklist value
CFIHOS-60001853,ee,Ewe,property picklist value
CFIHOS-60001854,el,Greek,property picklist value
CFIHOS-60001855,eo,Esperanto,property picklist value
CFIHOS-60001856,et,Estonian,property picklist value
CFIHOS-60001857,eu,Basque,property picklist value
CFIHOS-60001858,fa,Persian,property picklist value
CFIHOS-60001859,ff,Fulah,property picklist value
CFIHOS-60001860,fi,Finnish,property picklist value
CFIHOS-60001861,fj,Fijian,property picklist value
CFIHOS-60001862,fl,Filipino,property picklist value
CFIHOS-60001863,fo,Faroese,property picklist value
CFIHOS-60001864,fr,French,property picklist value
CFIHOS-60001865,fy,Western Frisian,property picklist value
CFIHOS-60001866,ga,Irish,property picklist value
CFIHOS-60001867,gd,Gaelic; Scottish Gaelic,property picklist value
CFIHOS-60001868,gl,Galician,property picklist value
CFIHOS-60001869,gn,Guarani,property picklist value
CFIHOS-60001870,gu,Gujarati,property picklist value
CFIHOS-60001871,gv,Manx,property picklist value
CFIHOS-60001872,ha,Hausa,property picklist value
CFIHOS-60001873,he,Hebrew,property picklist value
CFIHOS-60001874,hi,Hindi,property picklist value
CFIHOS-60001875,ho,Hiri Motu,property picklist value
CFIHOS-60001876,hr,Croatian,property picklist value
CFIHOS-60001877,ht,Haitian; Haitian Creole,property picklist value
CFIHOS-60001878,hu,Hungarian,property picklist value
CFIHOS-60001879,hy,Armenian,property picklist value
CFIHOS-60001880,hz,Herero,property picklist value
CFIHOS-60001881,ia,Interlingua,property picklist value
CFIHOS-60001882,id,Indonesian,property picklist value
CFIHOS-60001883,ie,Interlingue; Occidental,property picklist value
CFIHOS-60001884,ig,Igbo,property picklist value
CFIHOS-60001885,ii,Sichuan Yi; Nuosu,property picklist value
CFIHOS-60001886,ik,Inupiaq,property picklist value
CFIHOS-60001887,io,Ido,property picklist value
CFIHOS-60001888,is,Icelandic,property picklist value
CFIHOS-60001889,it,Italian,property picklist value
CFIHOS-60001890,iu,Inuktitut,property picklist value
CFIHOS-60001891,ja,Japanese,property picklist value
CFIHOS-60001892,jv,Javanese,property picklist value
CFIHOS-60001893,ka,Georgian,property picklist value
CFIHOS-60001894,kg,Kongo,property picklist value
CFIHOS-60001895,ki,Kikuyu; Gikuyu,property picklist value
CFIHOS-60001896,kj,Kuanyama; Kwanyama,property picklist value
CFIHOS-60001897,kk,Kazakh,property picklist value
CFIHOS-60001898,kl,Kalaallisut; Greenlandic,property picklist value
CFIHOS-60001899,km,Central Khmer,property picklist value
CFIHOS-60001900,kn,Kannada,property picklist value
CFIHOS-60001901,ko,Korean,property picklist value
CFIHOS-60001902,kr,Kanuri,property picklist value
CFIHOS-60001903,ks,Kashmiri,property picklist value
CFIHOS-60001904,ku,Kurdish,property picklist value
CFIHOS-60001905,kv,Komi,property picklist value
CFIHOS-60001906,kw,Cornish,property picklist value
CFIHOS-60001907,ky,Kirghiz; Kyrgyz,property picklist value
CFIHOS-60001908,la,Latin,property picklist value
CFIHOS-60001909,lb,Luxembourgish; Letzeburgesch,property picklist value
CFIHOS-60001910,lg,Ganda,property picklist value
CFIHOS-60001911,li,Limburgan; Limburger; Limburgish,property picklist value
CFIHOS-60001912,ln,Lingala,property picklist value
CFIHOS-60001913,lo,Lao,property picklist value
CFIHOS-60001914,lt,Lithuanian,property picklist value
CFIHOS-60001915,lu,Luba-Katanga,property picklist value
CFIHOS-60001916,lv,Latvian,property picklist value
CFIHOS-60001917,mg,Malagasy,property picklist value
CFIHOS-60001918,mh,Marshallese,property picklist value
CFIHOS-60001919,mi,Maori,property picklist value
CFIHOS-60001920,mk,Macedonian,property picklist value
CFIHOS-60001921,ml,Malayalam,property picklist value
CFIHOS-60001922,mn,Mongolian,property picklist value
CFIHOS-60001923,mr,Marathi,property picklist value
CFIHOS-60001924,ms,Malay,property picklist value
CFIHOS-60001925,mt,Maltese,property picklist value
CFIHOS-60001926,my,Burmese,property picklist value
CFIHOS-60001927,na,Nauru,property picklist value
