property group allowed for purpose CFIHOS unique code,property grouping or decomposition purpose CFIHOS unique code,property grouping purpose code,property grouping purpose description,source standard CFIHOS unique code,source standard code,property group CFIHOS unique code,property group code,property group description,property to group assignment CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,property sequence number,,,,,,,
CFIHOS-42000311,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000055,S615-FLD-1128,Operating conditions,CFIHOS-44000527,CFIHOS-30000521,centrifugal pump,CFIHOS-40000796,alternate flow positive suction head available,,,,,,,,
CFIHOS-42000311,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000055,S615-FLD-1128,Operating conditions,CFIHOS-44000528,CFIHOS-30000521,centrifugal pump,CFIHOS-40000799,alternate operating temperature,,,,,,,,
CFIHOS-42000311,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000055,S615-FLD-1128,Operating conditions,CFIHOS-44000529,CFIHOS-30000521,centrifugal pump,CFIHOS-40000791,alternate operating volume flow rate,,,,,,,,
CFIHOS-42000311,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000055,S615-FLD-1128,Operating conditions,CFIHOS-44000530,CFIHOS-30000521,centrifugal pump,CFIHOS-40000805,alternative design differential pressure,,,,,,,,
CFIHOS-42000311,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000055,S615-FLD-1128,Operating conditions,CFIHOS-44000531,CFIHOS-30000521,centrifugal pump,CFIHOS-40000807,alternative operating differential head pressure,,,,,,,,
CFIHOS-42000311,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000055,S615-FLD-1128,Operating conditions,CFIHOS-44000532,CFIHOS-30000521,centrifugal pump,CFIHOS-40000801,alternative operating pressure,,,,,,,,
CFIHOS-42000331,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000075,S615-FLD-1155,General information,CFIHOS-44000533,CFIHOS-30000521,centrifugal pump,CFIHOS-40001115,applicable to,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000534,CFIHOS-30000521,centrifugal pump,CFIHOS-40001201,"auxiliary process-liquid lines, fittings and other connections to casing, including seal plans material",,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000535,CFIHOS-30000521,centrifugal pump,CFIHOS-40001149,auxiliary process-liquid piping construction,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000536,CFIHOS-30000521,centrifugal pump,CFIHOS-40000763,average ambient operating pressure at equipment location,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000537,CFIHOS-30000521,centrifugal pump,CFIHOS-40001156,bearing housing cooling method,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000538,CFIHOS-30000521,centrifugal pump,CFIHOS-40001218,bearing lubrication lines material,,,,,,,,
CFIHOS-42000320,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000064,S615-FLD-1141,Bearings and lubrication,CFIHOS-44000539,CFIHOS-30000521,centrifugal pump,CFIHOS-40001180,bearing lubrication method,,,,,,,,
CFIHOS-42000320,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000064,S615-FLD-1141,Bearings and lubrication,CFIHOS-44000540,CFIHOS-30000521,centrifugal pump,CFIHOS-40001182,bearing lubrication specification,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000541,CFIHOS-30000521,centrifugal pump,CFIHOS-40001214,bearing retainer or spider material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000542,CFIHOS-30000521,centrifugal pump,CFIHOS-40001208,bellmouth/suction cover material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000543,CFIHOS-30000521,centrifugal pump,CFIHOS-40001219,bowl bearing material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000544,CFIHOS-30000521,centrifugal pump,CFIHOS-40001212,bowl shaft material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000545,CFIHOS-30000521,centrifugal pump,CFIHOS-40001207,bowl/casing material,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000546,CFIHOS-30000521,centrifugal pump,CFIHOS-40001190,case and case cover material,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000547,CFIHOS-30000521,centrifugal pump,CFIHOS-40001198,case wear ring material,,,,,,,,
CFIHOS-42000326,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000070,S615-FLD-1149,Utility conditions,CFIHOS-44000548,CFIHOS-30000521,centrifugal pump,CFIHOS-40000040,chloride concentration,,,,,,,,
CFIHOS-42000334,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000078,S615-FLD-539,Liquid characteristics,CFIHOS-44000549,CFIHOS-30000521,centrifugal pump,CFIHOS-40000040,chloride concentration,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000550,CFIHOS-30000521,centrifugal pump,CFIHOS-40001143,"component balance to ISO 21940-11, Grade G1.0",,,,,,,,
CFIHOS-42000331,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000075,S615-FLD-1155,General information,CFIHOS-44000551,CFIHOS-30000521,centrifugal pump,CFIHOS-40000928,conformity assessment system level,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000552,CFIHOS-30000521,centrifugal pump,CFIHOS-40001157,cooling water piping plan,,,,,,,,
CFIHOS-42000326,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000070,S615-FLD-1149,Utility conditions,CFIHOS-44000553,CFIHOS-30000521,centrifugal pump,CFIHOS-40001132,cooling water type,,,,,,,,
CFIHOS-42000334,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000078,S615-FLD-539,Liquid characteristics,CFIHOS-44000554,CFIHOS-30000521,centrifugal pump,CFIHOS-40001135,corrosion due to,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000555,CFIHOS-30000521,centrifugal pump,CFIHOS-40000929,country region,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000556,CFIHOS-30000521,centrifugal pump,CFIHOS-40001150,design approval prior to fabrication,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000557,CFIHOS-30000521,centrifugal pump,CFIHOS-40001192,diffuser material,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000558,CFIHOS-30000521,centrifugal pump,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000559,CFIHOS-30000521,centrifugal pump,CFIHOS-40001204,discharge column material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000560,CFIHOS-30000521,centrifugal pump,CFIHOS-40001206,discharge elbow and pipe material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000561,CFIHOS-30000521,centrifugal pump,CFIHOS-40001203,discharge head material,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000562,CFIHOS-30000521,centrifugal pump,CFIHOS-40001147,discharge nozzle position,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000563,CFIHOS-30000521,centrifugal pump,CFIHOS-40000828,drain nominal size,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000564,CFIHOS-30000521,centrifugal pump,CFIHOS-40001151,drain valve supplied by,,,,,,,,
CFIHOS-42000327,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000071,S615-FLD-1150,Performance,CFIHOS-44000565,CFIHOS-30000521,centrifugal pump,CFIHOS-40000495,efficiency,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000566,CFIHOS-30000521,centrifugal pump,CFIHOS-40000739,elevation over mean sea level,,,,,,,,
CFIHOS-42000327,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000071,S615-FLD-1150,Performance,CFIHOS-44000567,CFIHOS-30000521,centrifugal pump,CFIHOS-40000817,end of allowable operating flow region,,,,,,,,
CFIHOS-42000327,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000071,S615-FLD-1150,Performance,CFIHOS-44000568,CFIHOS-30000521,centrifugal pump,CFIHOS-40000815,end of operating flow region,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000569,CFIHOS-30000521,centrifugal pump,CFIHOS-40000944,environmental location,,,,,,,,
CFIHOS-42000334,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000078,S615-FLD-539,Liquid characteristics,CFIHOS-44000570,CFIHOS-30000521,centrifugal pump,CFIHOS-40001136,erosion due to,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000571,CFIHOS-30000521,centrifugal pump,CFIHOS-40000110,explosion protection gas group,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000572,CFIHOS-30000521,centrifugal pump,CFIHOS-40000112,explosion protection temperature class,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000573,CFIHOS-30000521,centrifugal pump,CFIHOS-40000113,explosion protection zone,,,,,,,,
CFIHOS-42000312,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000056,S615-FLD-1129,Instrumentation,CFIHOS-44000574,CFIHOS-30000521,centrifugal pump,CFIHOS-40001260,flat surface provision for mounting accelerometers only,,,,,,,,
CFIHOS-42000312,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000056,S615-FLD-1129,Instrumentation,CFIHOS-44000575,CFIHOS-30000521,centrifugal pump,CFIHOS-40001264,flat surface provision for mounting vibration probes only,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000576,CFIHOS-30000521,centrifugal pump,CFIHOS-40001128,floating applications motion design criteria,,,,,,,,
CFIHOS-42000326,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000070,S615-FLD-1149,Utility conditions,CFIHOS-44000577,CFIHOS-30000521,centrifugal pump,CFIHOS-40001133,fouling factor,,,,,,,,
CFIHOS-42000337,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000081,S615-FLD-573,Vertical pump sump dimensions,CFIHOS-44000578,CFIHOS-30000521,centrifugal pump,CFIHOS-40001175,grade (underside of pump mounting plate or top of foundation) elevation,,,,,,,,
CFIHOS-42000337,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000081,S615-FLD-573,Vertical pump sump dimensions,CFIHOS-44000579,CFIHOS-30000521,centrifugal pump,CFIHOS-40000840,grade to first stage impeller centerline dimension,,,,,,,,
CFIHOS-42000337,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000081,S615-FLD-573,Vertical pump sump dimensions,CFIHOS-44000580,CFIHOS-30000521,centrifugal pump,CFIHOS-40000841,grade to liquid minimum submergence level dimension,,,,,,,,
CFIHOS-42000320,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000064,S615-FLD-1141,Bearings and lubrication,CFIHOS-44000581,CFIHOS-30000521,centrifugal pump,CFIHOS-40001184,grease grade,,,,,,,,
CFIHOS-42000320,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000064,S615-FLD-1141,Bearings and lubrication,CFIHOS-44000582,CFIHOS-30000521,centrifugal pump,CFIHOS-40001183,grease type,,,,,,,,
CFIHOS-42000316,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000060,S615-FLD-1135,Vertical Pumps,CFIHOS-44000583,CFIHOS-30000521,centrifugal pump,CFIHOS-40001174,hardened sleeves under line shaft bearings,,,,,,,,
CFIHOS-42000336,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000080,S615-FLD-566,Material Inspection,CFIHOS-44000584,CFIHOS-30000521,centrifugal pump,CFIHOS-40001222,"hardness testing of parts, welds and heat-affected zones",,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000585,CFIHOS-30000521,centrifugal pump,CFIHOS-40001129,hazardous area certification standard,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000586,CFIHOS-30000521,centrifugal pump,CFIHOS-40001205,head column material,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000587,CFIHOS-30000521,centrifugal pump,CFIHOS-40000543,heat tracing,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000588,CFIHOS-30000521,centrifugal pump,CFIHOS-40001159,heat tracing and insulation location,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000589,CFIHOS-30000521,centrifugal pump,CFIHOS-40001160,heat tracing supplied by,,,,,,,,
CFIHOS-42000319,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000063,S615-FLD-1140,Mechanical seal,CFIHOS-44000590,CFIHOS-30000521,centrifugal pump,CFIHOS-40001240,heating jacket required,,,,,,,,
CFIHOS-42000326,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000070,S615-FLD-1149,Utility conditions,CFIHOS-44000591,CFIHOS-30000521,centrifugal pump,CFIHOS-40001131,heating medium,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000592,CFIHOS-30000521,centrifugal pump,CFIHOS-40001162,heating tracing specification,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000593,CFIHOS-30000521,centrifugal pump,CFIHOS-40001130,ignition hazard assessment,,,,,,,,
CFIHOS-42000327,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000071,S615-FLD-1150,Performance,CFIHOS-44000594,CFIHOS-30000521,centrifugal pump,CFIHOS-40000547,impeller diameter,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000595,CFIHOS-30000521,centrifugal pump,CFIHOS-40001193,impeller material,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000596,CFIHOS-30000521,centrifugal pump,CFIHOS-40001142,impeller type,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000597,CFIHOS-30000521,centrifugal pump,CFIHOS-40001197,impeller wear component hardness,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000598,CFIHOS-30000521,centrifugal pump,CFIHOS-40001196,impeller wear component material,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000599,CFIHOS-30000521,centrifugal pump,CFIHOS-40001195,impeller wear component type,,,,,,,,
CFIHOS-42000331,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000075,S615-FLD-1155,General information,CFIHOS-44000600,CFIHOS-30000521,centrifugal pump,CFIHOS-40001122,individual pump flow control,,,,,,,,
CFIHOS-42000323,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000067,S615-FLD-1146,Materials,CFIHOS-44000601,CFIHOS-30000521,centrifugal pump,CFIHOS-40001194,inducer material,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000602,CFIHOS-30000521,centrifugal pump,CFIHOS-40001144,inlet flange facing,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000603,CFIHOS-30000521,centrifugal pump,CFIHOS-40000174,inlet flange rating,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000604,CFIHOS-30000521,centrifugal pump,CFIHOS-40000485,inlet flange size,,,,,,,,
CFIHOS-42000331,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000075,S615-FLD-1155,General information,CFIHOS-44000605,CFIHOS-30000521,centrifugal pump,CFIHOS-40001119,instantaneous start up requirement,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000606,CFIHOS-30000521,centrifugal pump,CFIHOS-40000652,insulation required,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000607,CFIHOS-30000521,centrifugal pump,CFIHOS-40001163,insulation specification,,,,,,,,
CFIHOS-42000317,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000061,S615-FLD-1136,Construction,CFIHOS-44000608,CFIHOS-30000521,centrifugal pump,CFIHOS-40001161,insulation supplied by,,,,,,,,
CFIHOS-42000316,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000060,S615-FLD-1135,Vertical Pumps,CFIHOS-44000609,CFIHOS-30000521,centrifugal pump,CFIHOS-40001173,line shaft bearing lube,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000610,CFIHOS-30000521,centrifugal pump,CFIHOS-40001215,line shaft bearing material,,,,,,,,
CFIHOS-42000316,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000060,S615-FLD-1135,Vertical Pumps,CFIHOS-44000611,CFIHOS-30000521,centrifugal pump,CFIHOS-40000834,line shaft bearing quantity,,,,,,,,
CFIHOS-42000316,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000060,S615-FLD-1135,Vertical Pumps,CFIHOS-44000612,CFIHOS-30000521,centrifugal pump,CFIHOS-40001172,line shaft configuration,,,,,,,,
CFIHOS-42000316,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000060,S615-FLD-1135,Vertical Pumps,CFIHOS-44000613,CFIHOS-30000521,centrifugal pump,CFIHOS-40001171,line shaft connection,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000614,CFIHOS-30000521,centrifugal pump,CFIHOS-40001216,line shaft hard facing material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000615,CFIHOS-30000521,centrifugal pump,CFIHOS-40001210,line shaft material,,,,,,,,
CFIHOS-42000324,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000068,S615-FLD-1147,Materials (additional for vertical pumps),CFIHOS-44000616,CFIHOS-30000521,centrifugal pump,CFIHOS-40001217,line shaft sleeves material,,,,,,,,
CFIHOS-42000334,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000078,S615-FLD-539,Liquid characteristics,CFIHOS-44000617,CFIHOS-30000521,centrifugal pump,CFIHOS-40000205,liquid name,,,,,,,,
CFIHOS-42000334,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000078,S615-FLD-539,Liquid characteristics,CFIHOS-44000618,CFIHOS-30000521,centrifugal pump,CFIHOS-40001134,liquid type,,,,,,,,
CFIHOS-42000325,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000061,IOGP S-615:2019,CFIHOS-42000069,S615-FLD-1148,Site data,CFIHOS-44000619,CFIHOS-30000521,centrifugal pump,CFIHOS-40001123,location heated or unheated,,,,,,,,
