CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-00000054,A.6.05,entity:,document type classification,,,A classification of document types according to their nature,,,,,,RDL Pick list,,
CFIHOS-10000210,,attribute:,document type classification,document type classification code,,A code that uniquely identifies a document type classification,,Example : CONT,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000211,,attribute:,document type classification,document type classification description,,A description of what the document type classification represents,,Example : Content type,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000056,A.6.09,entity:,asset type,,,A classification of discipline document types according to the type of asset they refer to,,,,,,RDL Pick list,,
CFIHOS-10000101,,attribute:,asset type,asset type code,,A code that uniquely identifies the type of asset,,Example : Tag,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000212,,attribute:,asset type,asset type description,,A description of what the asset type represents,,Example : Tag,Mandatory,"Text, max 300 characters",,,,
CFIHOS-00000057,A.6.10,entity:,document representation type,,,A classification of the documents according to how they should be represented,,,,,,RDL Pick list,,
CFIHOS-10000112,,attribute:,document representation type,documentation representation type code,,A code that uniquely identifies the document representation type,,Example : PDF,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000213,,attribute:,document representation type,documentation representation type description,,A description of what the document representation type is or represents,,Example : Technical publication or Text,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000135,A.6.12,entity:,native file delivery timing,,,An indication of when the native file should be available,,,,,,RDL,,
CFIHOS-10000355,,attribute:,native file delivery timing,native file delivery timing code,,A code that uniquely identifies the timing for the native file delivery,,Example : during project,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000356,,attribute:,native file delivery timing,native file delivery timing description,,A description of what the timing of the native file delivery represents,,Example : The native file should be delivered during project,Optional,"Text, max 100 characters",,,,
CFIHOS-00000058,A.6.13,entity:,document format,,,"A format, or package, that has to be used to provide a given type of document",,,,,,RDL Pick list,,
CFIHOS-10000214,,attribute:,document format,document format code,,A code that uniquely identifies a format that a document can take,,Example : AutoCAD,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000215,,attribute:,document format,document format description,,A description of what the document format represents,,Example : AutoCAD,Optional,"Text, max 100 characters",,,,
CFIHOS-00000133,A.6.16,entity:,handover event,,,"A phase, a moment, at which handover of information is taking place",,,,,,RDL,,
CFIHOS-10000353,,attribute:,handover event,handover event description,,The description of what the handover event represents,,Example : Project milestone for information handover for the start of the detailed engineering activity,Optional,"Text, max 100 characters",,,,
CFIHOS-10000352,,attribute:,handover event,handover event name,,A name that uniquely identifies the event during which handover of information is taking place,,Example : Detailed engineering,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000354,,attribute:,handover event,handover event reporting sequence number,,"A sequence number, used to determine in which order the handover phases should be reported",,Example : 10,Mandatory,Integer,,,,
CFIHOS-00000134,A.6.17,entity:,discipline document type handover requirement,,,"An indication of the status that a document type should have, if any, at a given handover event, for a given discipline",,,,,,RDL,,
CFIHOS-10000153,,attribute:,discipline document type handover requirement,discipline code,,The discipline to which refers the discipline document type requirement,The discipline / document type documented from the RDL could be overwritten by the Owner / Operator.,Example : MP,Identifier,"Text, max 2 characters",discipline document type,,,is subject to
CFIHOS-10000083,,attribute:,discipline document type handover requirement,document status code,required document status for the handover event,"The status that the document should have, as required for this discipline, this document type at this handover phase.","A document is classified by a single state, which changes as the document advances through this lifecycle.",Example : IFC,Optional,"Text, max 40 characters",document status,,,is required for
CFIHOS-10000100,,attribute:,discipline document type handover requirement,document type short code,,The document type to which refers this discipline document type requirement,,Example : 6067,Identifier,"Text, max 4 characters",discipline document type,,,is subject to
CFIHOS-10000352,,attribute:,discipline document type handover requirement,handover event name,,The event prior to which document types for a given discipline have to be handed over,,Example : Detailed engineering,Identifier,"Text, max 40 characters",handover event,,,specifies the timing of
CFIHOS-00000022,A.7.02,entity:,document master,,,A placeholder that allows a project to identify a particular information content to be created or updated,"A document master is identified by a document number, and it groups all the document revisions created to mature the information content.An index of document masters is called a Master Document Register (MDR), and it allows a project to plan when the information content will reach a particular status (e.g., AFC, ASB). Remark: The first issuance of the document Master will be the baseline plan. Subsequent issuances will reflect any changes in forecast dates.",,,,,EPC,,
CFIHOS-10000207,,attribute:,document master,discipline document type short code,,At alternate way of identifying uniquely a combination of discipline and document type,This attribute is calculated as a concatenation of the discipline code and the document type short code.,Example : MP6067,Mandatory,"Text, max 6 characters",discipline document type,,,classifies
CFIHOS-10000154,,attribute:,document master,document number,,The unique identifier for the document according to the Owner/Operator document numbering scheme,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000064,,attribute:,document master,document review type code,document review type,A code that uniquely identifies a document review type,,Example : not specified,Mandatory,"Text, max 40 characters",document review type,,,applies to
CFIHOS-10000168,,attribute:,document master,document title,,"A description, in a short and concise manner, of the content of the document",The title of the document usually appears on the front page of the document or in title block.,Example : Laydown Area & Pipe Rack North / South,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000067,,attribute:,document master,forecast approval date,,The latest forecast date at which the document is expected to be issued for approval,The first issuance of the Document_Master will be the baseline plan.,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000071,,attribute:,document master,forecast approved for construction date,,The latest forecast date at which the document is expected to be issued approved for construction,The first issuance of the Document_Master will be the baseline plan.,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000069,,attribute:,document master,forecast approved for design date,,The latest forecast date at which the document is expected to be issued approved for design,The first issuance of the Document_Master will be the baseline plan.,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000073,,attribute:,document master,forecast as built date,,The latest forecast date at which the document is expected to be issued as-built,The first issuance of the Document_Master will be the baseline plan.,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000065,,attribute:,document master,forecast review date,,The latest forecast date at which the document is expected to be issued for review,The first issuance of the Document_Master will be the baseline plan.,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-00000044,A.7.03,entity:,ISO language,,,"A language, as recognised by ISO in its 639-1 standard",,,,,,RDL Pick list,,
CFIHOS-10000147,,attribute:,ISO language,ISO language code,,"The code by which ISO designates a language, in its ISO639-1 standard",,Example : EN,Identifier,"Text, max 2 characters",,,,
CFIHOS-10000197,,attribute:,ISO language,ISO language name,,"The name that ISO assigns to a language, in its ISO639-1 standard",,Example : English,Mandatory,"Text, max 45 characters",,,,
CFIHOS-00000060,A.7.04,entity:,document review type,,,A type of review that is required for a document,,,,,,RDL Pick list,,
CFIHOS-10000064,,attribute:,document review type,document review type code,,A code that uniquely identifies a document review type,,Example : not specified,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000216,,attribute:,document review type,document review type description,,A description of what the document review type represents,,Example : The review type is not specified.,Optional,"Text, max 100 characters",,,,
CFIHOS-00000035,A.8.01,entity:,document revision,,,A user-readable set of data structured in order to be printed and stored as a whole (includes drawings),"Disciplines specify the content of the documents delivered.The file provided (See FILE_NAME property) shall be:- The most used rendition (when than one rendition is given for the same document).- The entry point for the document (e.g., the table of content, when the document has been split into multiple files).Remark: - All files generated in PDF format shall be text-searchable with commenting enabled.- All files shall be fully virus checked by the Contractor before submission.",,,,,EPC,,
CFIHOS-10000068,,attribute:,document revision,actual approval date,,The date at which the document revision has been issued for approval,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000072,,attribute:,document revision,actual approved for construction date,,The date at which the document revision has been issued approved for construction,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000070,,attribute:,document revision,actual approved for design date,,The date at which the document revision has been issued approved for design,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000074,,attribute:,document revision,actual as built date,,The date at which the document revision has been issued as-built,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000066,,attribute:,document revision,actual review date,,The date on which the document revision was actually reviewed.,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000154,,attribute:,document revision,document number,,The document master to which this revision is related,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document master,,,is subject to
CFIHOS-10000375,,attribute:,document revision,document return status code,,A status assigned to a document revision after review,,Example : Approved,Optional,"Text, max 40 characters",document return status,,,qualifies
CFIHOS-10000079,,attribute:,document revision,document revision approver,,The name (or the user ID) of the person who has approved the document revision,,Example : Marc Brown,Optional,"Text, max 50 characters",,,,
CFIHOS-10000078,,attribute:,document revision,document revision author,,The name of the person who created the document revision,"This should be an individual name, not a role, i.e. Initials and last name, not just initials.",Example : John Stephen,Optional,"Text, max 70 characters",,,,
CFIHOS-10000162,,attribute:,document revision,document revision code,,A code used to identify the content of a document at a certain point in time,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",,,,
CFIHOS-10000085,,attribute:,document revision,document revision comment,,Any additional comment / explanation for a document revision,,Example : Does not include package A-1001,Optional,"Text, max 255 characters",,,,
CFIHOS-10000076,,attribute:,document revision,document revision date,,The date the document was revised,,Example : 2022-11-15,Mandatory,Date,,,,
CFIHOS-10000080,,attribute:,document revision,document revision file name,,The name of the electronic file (including the file extension) with the full path,"The file name shall consist of the document number, Document revision and a sequence number followed by the file extension. When this attribute is populated the attribute physical storage location shall be left empty.",Example : P-36-03-D-8120-01-D-01.pdf,Optional,"Text, max 255 characters",,,,
CFIHOS-10000093,,attribute:,document revision,document revision physical storage location,,The location of a media when not stored as an electronic file,When this field is populated the attribute file name shall be left empty.,Example : Box1523,Optional,"Text, max 40 characters",,,,
CFIHOS-10000091,,attribute:,document revision,document revision recipient,,The full name of the recipient of the document. revision,,Example : O.Paap,Optional,"Text, max 70 characters",,,,
CFIHOS-10000083,,attribute:,document revision,document status code,,A code that uniquely identifies the status of document revisions,"A document is classified by a single state, which changes as the document advances through this lifecycle.",Example : IFC,Optional,"Text, max 40 characters",document status,,,qualifies
CFIHOS-10000086,,attribute:,document revision,export control classification code,export control classification,"The Export Control Rule that is applicable for the document revision (e.g., ECCN, EAR)",,Example : Controlled Content,Optional,"Text, max 40 characters",export control classification,,,applies to
CFIHOS-10000147,,attribute:,document revision,ISO language code,,The primary language that the document revision is written in.,,Example : EN,Optional,"Text, max 2 characters",iso language,,,is actually used for
CFIHOS-10000077,,attribute:,document revision,originator company,,The name of the company who has generated the document revision,,Example : Engineering and co Ltd,Mandatory,"Text, max 30 characters",company,,,generates
CFIHOS-10000160,,attribute:,document revision,originator document number,,The unique identifier for the Document according to the originator document numbering scheme,One potential use is to allow Owner/Operator to identify duplicate documents provided by multiple subcontractors but from the same OEM.,Example : ECO-001-0045-978,Optional,"Text, max 40 characters",,,,
CFIHOS-10000081,,attribute:,document revision,originator document revision code,,A code used to identify the content of a document at a certain point in time according to the originator which doesn't necessarily conform to the Owner/Operator's document revision coding scheme.,One potential use is to allow Owner/Operator to identify duplicate documents provided by multiple subcontractors but from the same OEM.,Example : 00013,Optional,"Text, max 5 characters",,,,
CFIHOS-10000082,,attribute:,document revision,originator file name,,The name of the file as provided by the manufacturer,"Remark: One potential use is to allow Owner/Operator to identify duplicate documents provided by multiple subcontractors but from the same OEM. This document shall not contain any project specific cover page, but only the manufacturer cover page.",Example : P-36-03-D-8120-01-D-01.pdf,Optional,"Text, max 255 characters",,,,
CFIHOS-10000005,,attribute:,document revision,plant code,,The plant that the document revision is related to,This is a very ''high level'' grouping of documents used to segregate documents dealing with different Plants. ''Low level'' document references shall also be provided for the Document (See ''Document References'').,Example : 6000,Mandatory,"Text, max 40 characters",plant,,,has
CFIHOS-10000161,,attribute:,document revision,project code,,The code that identifies the project the document revision refers to,,Example : FLNG,Optional,"Text, max 10 characters",project,,,delivers
CFIHOS-10000096,,attribute:,document revision,project stage code,project stage,A code that uniquely identifies the stage of projects,,Example : D,Optional,"Text, max 40 characters",project stage,,,qualifies
CFIHOS-10000195,,attribute:,document revision,regulatory required indicator,,An indication whether this document is to be developed to meet regulatory compliance requirements,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000094,,attribute:,document revision,storage media code,storage media,An Indication of the media type used for storing the content. of the document revision,,Example : Paper,Mandatory,"Text, max 40 characters",storage media,,,qualifies how is stored
CFIHOS-10000087,,attribute:,document revision,transmittal number,,The transmittal through which this document revision was communicated,,Example : FFDF-2007-0071-TE-SH-KW-01149,Optional,"Text, max 100 characters",transmittal,,,includes
CFIHOS-00000024,A.8.02,entity:,transmittal,,,An exchange of information between two companies,,,,,,EPC,,
CFIHOS-10000129,,attribute:,transmittal,number of media,,The number of media provided with the transmittal,,Example : 1,Mandatory,Integer,,,,
CFIHOS-10000161,,attribute:,transmittal,project code,,The project for which the transmittal has been issued,,Example : FLNG,Identifier,"Text, max 10 characters",project,,,is the context for
CFIHOS-10000142,,attribute:,transmittal,reason for issue code,reason for issue,The reason for issuing the transmittal,The reason for issuing a transmittal is independent of the statuses of the document revisions that the transmittal includes.,Example : issued for information,Mandatory,"Text, max 40 characters",reason for issue,,,explains
CFIHOS-10000252,,attribute:,transmittal,sending company name,,The name of the company who has sent the transmittal,,Example : Flowserve,Identifier,"Text, max 30 characters",company,,,sends
CFIHOS-10000087,,attribute:,transmittal,transmittal number,,A unique transmittal identifier generated by the document control system of the company sending the transmittal,,Example : FFDF-2007-0071-TE-SH-KW-01149,Identifier,"Text, max 100 characters",,,,
CFIHOS-10000144,,attribute:,transmittal,transmittal send date,,The date of sending the transmittal,,Example : 2022-11-15,Mandatory,Date,,,,
CFIHOS-00000048,A.8.03,entity:,reason for issue,,,The reason for which transmittals are issued,,,,,,Owner/Operator,,
CFIHOS-10000142,,attribute:,reason for issue,reason for issue code,,A code that uniquely identifies the reason for issue,,Example : issued for information,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000201,,attribute:,reason for issue,reason for issue description,,A description of what the reason for issue represents,,Example : Superseded / Obsolete,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000023,A.8.04,entity:,additional file,,,A file that makes up a particular document revision.,"In some circumstances, a particular document revision can be made up of more than one file. Examples include:- Native files- Translations of a document- Large documents that have been split into several smaller files. When this is the case, all these files shall be provided as a ''set of files''.",,,,,EPC,,
CFIHOS-10000154,,attribute:,additional file,document number,,"The unique identifier for the document according to the Owner/Operator document numbering scheme, to which the additional file is associated",,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,"is complemented by zero, one or more"
CFIHOS-10000162,,attribute:,additional file,document revision code,,A code used to identify the content of a document at a certain point in time according to the Owner/Operator Document Revision Coding scheme,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,"is complemented by zero, one or more"
CFIHOS-10000127,,attribute:,additional file,file name,,The unique name of the electronic file (including its extension),,Example : T-10000001_001_001.dwg,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000126,,attribute:,additional file,file title,,A description in a short and concise manner of the content of the additional file,This is not meant to repeat the document title. The FILE_TITLE shall be unique within a particular document revision. Refer to the chapter Set of Files for more information.,Example : PEFS Crude Oil Booster Pumps (Native),Identifier,"Text, max 255 characters",,,,
CFIHOS-10000147,,attribute:,additional file,ISO language code,,The language in which is expressed the additional file,,Example : EN,Optional,"Text, max 2 characters",iso language,,,"qualifies, for the translation"
CFIHOS-10000094,,attribute:,additional file,storage media code,storage media,The type of media used to store the content of the additional file,,Example : Paper,Optional,"Text, max 40 characters",storage media,,,qualifies how is stored
CFIHOS-00000078,A.8.05,entity:,document revision site reference,,,A reference to a site that is included in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision site reference,document number,,A document master that refers to a site,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision site reference,document revision code,,A document revision that refers to a site,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000003,,attribute:,document revision site reference,site code,,A site that is referred to in a document revision,,Example : KAS,Identifier,"Text, max 40 characters",site,,,is referenced by
CFIHOS-00000079,A.8.06,entity:,document revision plant reference,,,A reference to a plant that is included in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision plant reference,document number,,A document master that refers to a plant,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision plant reference,document revision code,,A document revision that refers to a plant,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000005,,attribute:,document revision plant reference,plant code,,A plant that is referred to by a document revision,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is referenced by
CFIHOS-00000080,A.8.07,entity:,document revision process unit reference,,,A process unit that is referred to in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision process unit reference,document number,,A document master that refers to a process unit,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision process unit reference,document revision code,,A document revision that refers to a process unit,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000005,,attribute:,document revision process unit reference,plant code,,A plant that is referred to by a document revision,,Example : 6000,Identifier,"Text, max 40 characters",process unit,,,is referenced by
CFIHOS-10000157,,attribute:,document revision process unit reference,process unit code,,A process unit that is referred to by a document revision,,Example : 36,Identifier,"Text, max 40 characters",process unit,,,is referenced by
CFIHOS-00000081,A.8.08,entity:,document revision plant area reference,,,A facility area that is referred to in a document revision,,,,,,EPC,,
CFIHOS-10000001,,attribute:,document revision plant area reference,area code,,An area that is referred to in a document revision,,Example : Topsides,Identifier,"Text, max 10 characters",area,,,is referenced by
CFIHOS-10000154,,attribute:,document revision plant area reference,document number,,A document master that refers to an area,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision plant area reference,document revision code,,A document revision that refers to an area,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000005,,attribute:,document revision plant area reference,plant code,,A plant that is referred to in a document revision,,Example : 6000,Identifier,"Text, max 40 characters",area,,,is referenced by
CFIHOS-00000082,A.8.09,entity:,document revision tag reference,,,A tag that is referred to in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision tag reference,document number,,A document master that refers to a tag,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision tag reference,document revision code,,A document revision that refers to a tag,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000005,,attribute:,document revision tag reference,plant code,,A plant that is referred to in a document revision,,Example : 6000,Identifier,"Text, max 40 characters",tag,,,is referenced by
CFIHOS-10000166,,attribute:,document revision tag reference,tag name,,A tag that is referred to in a document revision,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Identifier,"Text, max 33 characters",tag,,,is referenced by
CFIHOS-00000084,A.8.10,entity:,document revision model part reference,,,A model part that is referred to in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision model part reference,document number,,A document master that refers to a model / part,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision model part reference,document revision code,,A document revision that refers to a model / part,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000158,,attribute:,document revision model part reference,manufacturer company name,,A manufacturer company name that is referred to in a document revision,,Example : Flowserve,Identifier,"Text, max 30 characters",model part,,,is referenced by
CFIHOS-10000159,,attribute:,document revision model part reference,model part name,,A model part that is referred to in a document revision.,,Example : A4 V726 PN 40,Identifier,"Text, max 100 characters",model part,,,is referenced by
CFIHOS-00000083,A.8.11,entity:,document revision equipment reference,,,An equipment that is referred to in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision equipment reference,document number,,A document master that refers to an equipment,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision equipment reference,document revision code,,A document revision that refers to an equipment,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000031,,attribute:,document revision equipment reference,equipment code,,An equipment that is referred to in a document revision,"The number is sometimes generated by the company maintenance management system. Different companies use different naming conventions for their equipment code, like e.g. Equip_<plant_code>_<tag_name>, where plant_code/tag_name represent where the equipment is installed.",Example : 31000465212,Identifier,"Text, max 40 characters",equipment,,,is referenced by
CFIHOS-00000086,A.8.12,entity:,document revision cross reference,,,A reference to a document revision in another document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision cross reference,document number,,The unique identifier for the document according to the Owner/Operator document numbering scheme,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,refers to
CFIHOS-10000162,,attribute:,document revision cross reference,document revision code,,A code used to identify the content of a document at a certain point in time,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,refers to
CFIHOS-10000253,,attribute:,document revision cross reference,referenced document number,,The unique identifier for the document according to the Owner/Operator document numbering scheme,,Example : T-10000001,Identifier,"Text, max 40 characters",document revision,,,is referred to
CFIHOS-10000254,,attribute:,document revision cross reference,referenced document revision code,,A code used to identify the content of a document at a certain point in time,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,is referred to
CFIHOS-00000085,A.8.13,entity:,document revision purchase order reference,,,A purchase order that is referred to in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision purchase order reference,document number,,A document master that refers to a purchase order,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision purchase order reference,document revision code,,A document revision that refers to a purchase order,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000180,,attribute:,document revision purchase order reference,purchase order issuer company name,,The name of the company issuing the purchase order that is referred to in a document revision,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order,,,is referenced by
CFIHOS-10000128,,attribute:,document revision purchase order reference,purchase order number,,A purchase order that is referred to in a document revision,,Example : 00058,Identifier,"Text, max 50 characters",purchase order,,,is referenced by
CFIHOS-00000030,A.8.14,entity:,project,,,A temporary endeavour undertaken to create an asset or a service,,,,,,Owner/Operator,,
CFIHOS-10000161,,attribute:,project,project code,,A code that uniquely identifies the project,,Example : FLNG,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000084,,attribute:,project,project name,,A unique name used to identify the project,,Example : Floating LNG,Mandatory,"Text, max 50 characters",,,,
CFIHOS-00000087,A.8.15,entity:,document revision project reference,,,A project that is referred to in a document revision,,,,,,EPC,,
CFIHOS-10000154,,attribute:,document revision project reference,document number,,A document master that refers to a project,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document revision,,,includes references to
CFIHOS-10000162,,attribute:,document revision project reference,document revision code,,A document revision that refers to a project,It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.,Example : 001,Identifier,"Text, max 5 characters",document revision,,,includes references to
CFIHOS-10000161,,attribute:,document revision project reference,project code,,A project that a document revision refers to,,Example : FLNG,Identifier,"Text, max 10 characters",project,,,uses
CFIHOS-00000043,A.8.17,entity:,document status,,,"A status that a document, revision can have during its lifecycle",,,,,,RDL Pick list,,
CFIHOS-10000083,,attribute:,document status,document status code,,A code that uniquely identifies the status of document revisions,"A document is classified by a single state, which changes as the document advances through this lifecycle.",Example : IFC,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000196,,attribute:,document status,document status description,,The description of what the document status represents,,Example : Document Deleted,Optional,"Text, max 100 characters",,,,
CFIHOS-00000045,A.8.18,entity:,export control classification,,,A rule that applies to some goods and services when being exported,,,,,,Owner/Operator,,
CFIHOS-10000086,,attribute:,export control classification,export control classification code,,A code that uniquely identifies an export control classification,,Example : Controlled Content,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000198,,attribute:,export control classification,export control classification description,,A description of what the export control classification represents,,Example : Controlled Content,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000047,A.8.19,entity:,project stage,,,A phase through which a project goes from conception to implementation,,,,,,Owner/Operator,,
CFIHOS-10000096,,attribute:,project stage,project stage code,,A code that uniquely identifies the stage of projects,,Example : D,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000200,,attribute:,project stage,project stage name,,The name of the project stage,,Example : Conceptual Design,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000088,A.8.20,entity:,storage media,,,A type of technology used to store some documents,,,,,,RDL Pick list,,
CFIHOS-10000094,,attribute:,storage media,storage media code,,A code that uniquely identifies the storage media,,Example : Paper,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000255,,attribute:,storage media,storage media description,,A description of what the storage media represents,,Example : Digital Video Disc,Optional,"Text, max 100 characters",,,,
CFIHOS-00000068,A.8.22,entity:,life cycle activity class,,,A classification of activities in the life cycle of a capital asset,,,,,,RDL Pick list,,
CFIHOS-10000230,,attribute:,life cycle activity class,life cycle activity class code,,A code that uniquely identifies a class of activities in the life cycle of a capital asset,,Example : COMMISSIONING,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000231,,attribute:,life cycle activity class,life cycle activity class description,,A description of what the life cycle activity class represents,,Example : The activity of bringing in a state where readiness for active service is warranted.,Mandatory,"Text, max 255 characters",,,,
CFIHOS-00000147,A.8.23,entity:,document return status,,,A status assigned to a document revision after review,,,,,,RDL,,
CFIHOS-10000375,,attribute:,document return status,document return status code,,A status assigned to a document revision after review,,Example : Approved,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000376,,attribute:,document return status,document return status description,,A description of what the document status represents,,Example : Applicable to documents with Review Type ''review and approve'',Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000155,A.8.24,entity:,model part type,,,Indicates the type of model part for the item in this SPIR,,,,,,RDL Pick list,,
CFIHOS-10000396,,attribute:,model part type,model part type,,The name of the model part type.,,"Example : CONSUMABLE, EQUIPMENT MODEL PART, KIT, SPARE PART or SPECIAL TOOL",Identifier,"Text, max 40 characters",,,,
CFIHOS-10000397,,attribute:,model part type,model part type description,,A description of the model part type.,,"Example : A part, either non-repairable or repairable, from the associated bill of material used to maintain or repair machinery or equipment.",Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000156,A.9.01,entity:,spare part interchangeability record,,,A recommendation from the Vendor or Manufacturer of the spares they think the owner operator should purchase for the equipment supplied. Also commonly known as a SPIL or RSPL,,,,,,Manufacturer/Vendor,,
CFIHOS-10000388,,attribute:,spare part interchangeability record,commercial conditions,,"The quoted commercial conditions such as INCOTERMS (EX-WORKS, FCA, FOB, etc.) and price validity details.",,Example : FOB Rotterdam. Prices valid until 31/12/2015.,Mandatory,"Text, max 132 characters",,,,
