discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20001681,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,MH5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001682,CFIHOS-20000016,JA,information management,CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,JA5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001683,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,MX5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001684,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,MP5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001685,CFIHOS-20000013,HS,safety,CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,HS5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001686,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,CS5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001687,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,TA5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001688,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,FA6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001689,CFIHOS-20000029,SA,logistics management,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,SA6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001690,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,MS6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001691,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,AA6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001692,CFIHOS-20000027,QA,quality management,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,QA6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001693,CFIHOS-20000010,HE,environmental,CFIHOS-70000258,6680,general register,An authoritative collection of values with a relationship to a specific topic or object that could be either technical or business related.  The columns of this collection are specified and controlled.,HE6680,Plant,Structured Data,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001694,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",CX7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001695,CFIHOS-20000043,BC,commissioning,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",BC7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001696,CFIHOS-20000004,CG,geotechnical engineering,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",CG7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001697,CFIHOS-20000029,SA,logistics management,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",SA7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001698,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",CS7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001699,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",UA7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001700,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000261,7480,general review report,A report documenting results of a review.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,FA7480,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001701,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000261,7480,general review report,A report documenting results of a review.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,IN7480,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001702,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000261,7480,general review report,A report documenting results of a review.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,MX7480,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001703,CFIHOS-20000027,QA,quality management,CFIHOS-70000261,7480,general review report,A report documenting results of a review.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,QA7480,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001704,CFIHOS-20000013,HS,safety,CFIHOS-70000261,7480,general review report,A report documenting results of a review.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HS7480,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001705,CFIHOS-20000010,HE,environmental,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HE7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001706,CFIHOS-20000013,HS,safety,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HS7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001707,CFIHOS-20000012,HP,security,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HP7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001708,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000265,5980,general strategy,A document outlining the application of a philosophical stance for decisions and the resulting principles that are to be followed to achieve the intent. Typically developed based on a philosophy.,CB5980,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001709,CFIHOS-20000043,BC,commissioning,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,BC8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001710,CFIHOS-20000032,VA,contracting and procurement management,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,VA8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001711,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,FA8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001712,CFIHOS-20000010,HE,environmental,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HE8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001713,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,MH8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001714,CFIHOS-20000028,RA,materials engineering,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,RA8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001715,CFIHOS-20000013,HS,safety,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HS8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001716,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,UA8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20001717,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000119,2322,installation diagram,"Installation refers to the mounting, setting, erection, etc. of equipment and accessories. These diagrams are for transient activity during installation (eg. sequence of activity) and not finished work.",MH2322,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001718,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000411,0900,insulation diagram,"A diagram detailing insulation, including anchoring and expansion joints, etc.  Includes refractory.",CB0900,Tag,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20001719,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000186,2341,interface diagram,"A diagrams documenting Interfaces and demarcation of responsibilities between different organizations (e.g. battery limits, terminations).",MP2341,Tag,Intelligent vector drawing (CAD),during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,battery limits diagram
CFIHOS-20001720,CFIHOS-20000002,BA,construction,CFIHOS-70000196,4024,key plan,A plan view diagram of a plant/group of plants showing the interfaces of layout diagrams of components.  Typically only shows major equipment and infrastructure to provide context and orientation.,BA4024,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFD,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001721,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",CB4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001722,CFIHOS-20000018,LA,pipeline engineering,CFIHOS-70000277,4033,layout diagram,"A diagram showing the precise location of assets/objects at a plant, process unit, or area basis relative to surrounding structures and equipment.",LA4033,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20001723,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000432,9006,lifting certificate,A document certifying compliance with an applicable standard and can be safely used for lifting and handling for the applicable load stated.,MX9006,Equipment,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001724,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000416,2111,manufacturer datasheet,A datasheet which provides precise information about a equipment/model or package which shows how it meets the 'equipment specification' and the 'design datasheet requirements'; includes noise and other test results prepared by manufacturer/supplier.,CS2111,Model_Part,Structured Data,at handover,,,not specified,IFD,IFD,not specified,IAB,not specified,,,,
CFIHOS-20001725,CFIHOS-20000029,SA,logistics management,CFIHOS-70000269,4336,packing list,A list describing the contents of a shipment received.,SA4336,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,inventory;packing slip;bill of lading
CFIHOS-20001726,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000276,2401,pile details,"A diagram showing all dimensions, length width or diameter depending on square vs round.  Shows welding detail if splices for steel piles.  Show where all reinforcing steel (rebar) or pretensioned cable configuration and tension for concrete.",CX2401,Plant,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20001727,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000286,6046,pressure test procedure,"A procedure documenting specific steps to conduct inspection of an asset/object.  Typically details boundaries of the test, isolations, method of pressurization, required hold intervals etc.  Includes hydrostatic, pneumatic, vacuum and leak test/examinations.",MP6046,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001728,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000289,5306,process control narrative,A document describing the process control functionality (e.g. level control).,EA5306,Process_Unit,Text,during project,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001729,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000289,5306,process control narrative,A document describing the process control functionality (e.g. level control).,MH5306,Process_Unit,Text,during project,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001730,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000289,5306,process control narrative,A document describing the process control functionality (e.g. level control).,UA5306,Process_Unit,Text,during project,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001731,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000289,5306,process control narrative,A document describing the process control functionality (e.g. level control).,TA5306,Process_Unit,Text,during project,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001732,CFIHOS-20000032,VA,contracting and procurement management,CFIHOS-70000407,7303,requisition,"A request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier.",VA7303,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001733,CFIHOS-20000017,KA,information technology,CFIHOS-70000318,0709,risk assessment,An assessment which details the quantitative or qualitative risk related to a specific scenario presented to 'company'.,KA0709,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001734,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000321,2373,routing diagram,A diagram showing alignment of cables and pipelines between plants. Includes alignment sheet for pipelines.,MP2373,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20001735,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000433,9007,safety integrity level (SIL) certificate,This document shall verify the level of the safety integrity level (SIL) and shall include necessary performance data according to authority regulations.,HX9007,Equipment,Raster Image,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001736,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000328,2580,schematic diagram,"A pictorial representation of the main elements and functions of a control circuit for electrical equipment with input/output sources (switches, relays etc.) and their relationships. Details logic functions of the circuit.",MH2580,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20001737,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000428,9002,site acceptance test procedure,A document defining manufacturers recommended site tests for the equipment.,EA9002,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001738,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000428,9002,site acceptance test procedure,A document defining manufacturers recommended site tests for the equipment.,MH9002,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001739,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000428,9002,site acceptance test procedure,A document defining manufacturers recommended site tests for the equipment.,IN9002,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001740,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000428,9002,site acceptance test procedure,A document defining manufacturers recommended site tests for the equipment.,MR9002,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001741,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000428,9002,site acceptance test procedure,A document defining manufacturers recommended site tests for the equipment.,MS9002,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001742,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000428,9002,site acceptance test procedure,A document defining manufacturers recommended site tests for the equipment.,TA9002,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001743,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000430,9004,site acceptance test records,Records demonstrating that the equipment has been tested according to the site acceptance test procedure.,EA9004,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001744,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000430,9004,site acceptance test records,Records demonstrating that the equipment has been tested according to the site acceptance test procedure.,MH9004,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001745,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000430,9004,site acceptance test records,Records demonstrating that the equipment has been tested according to the site acceptance test procedure.,IN9004,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001746,CFIHOS-20000021,MR,mechanical rotating engineering,CFIHOS-70000430,9004,site acceptance test records,Records demonstrating that the equipment has been tested according to the site acceptance test procedure.,MR9004,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001747,CFIHOS-20000022,MS,mechanical static engineering,CFIHOS-70000430,9004,site acceptance test records,Records demonstrating that the equipment has been tested according to the site acceptance test procedure.,MS9004,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001748,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000430,9004,site acceptance test records,Records demonstrating that the equipment has been tested according to the site acceptance test procedure.,TA9004,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001749,CFIHOS-20000043,BC,commissioning,CFIHOS-70000374,4354,spare part list,"A list of recommended listing of spares received from vendor/manufacturer to support installation, commissioning, operation or maintenance.",BC4354,Model_Part,Structured Data,during project,,,not specified,not specified,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001750,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000390,3323,technical note,A communication documenting how an engineering or maintenance issue will be resolved and what the implication of the solution is.,MP3323,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001751,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000390,3323,technical note,A communication documenting how an engineering or maintenance issue will be resolved and what the implication of the solution is.,AA3323,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001752,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,CB6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001753,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,CX6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001754,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,EA6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001755,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,MH6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001756,CFIHOS-20000015,IN,instrumentation engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,IN6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001757,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,MX6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001758,CFIHOS-20000018,LA,pipeline engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,LA6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001759,CFIHOS-20000020,MP,piping engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,MP6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001760,CFIHOS-20000013,HS,safety,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,HS6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001761,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,CS6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001762,CFIHOS-20000031,UA,subsea engineering,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,UA6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001763,CFIHOS-20000030,TA,telecommunications,CFIHOS-70000392,6999,tender evaluation,A document capturing the results of a technical and/or commercial evaluation of tender based on pre-defined criteria and/or conditioning for purposes of selection and award.,TA6999,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20001764,CFIHOS-20000026,PX,process engineering,CFIHOS-70000334,8263,thermal expansion study,A document detailing the result from thermal expansion and informing design regarding the need for loops and expansion joints.,PX8263,Tag,Text,at handover,,,IFD,IFD,IFD,not specified,IFD,not specified,,,,
CFIHOS-20001765,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000357,1231,weight calculation,"Includes mass, buoyancy, and calculations used in the design of weight coating (eg. on submerged pipelines).",CS1231,Tag,Structured Data,not applicable,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20001766,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000366,3375,work instruction,Step by step instruction for the accomplishment of a task. more detailed than a procedure.,AA3375,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20001767,CFIHOS-20000002,BA,construction,CFIHOS-70000414,1457,completion certificate,A document certifying a scope or project activity has been successfully completed and tested for functionality.,BA1457,Tag,Raster Image,not applicable,,,not specified,not specified,not specified,IFU,IFU,not specified,,,,
CFIHOS-20001768,CFIHOS-20000018,LA,pipeline engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",LA6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001769,CFIHOS-20000023,MX,mechanical engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",MX6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001770,CFIHOS-20000028,RA,materials engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",RA6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001771,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",EA6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20001772,CFIHOS-20000019,MH,"heating, ventilating, and air conditioning",CFIHOS-70000332,6061,test procedure,"A procedure to perform a test that equipment or systems are functioning and performing according to the specifications, function descriptions and operating instructions.",MH6061,Tag,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
